,External,Year,session 1,session 2,test 1,forum_Q_phase1,forum_A_phase1,office_hours_phase1,dropped_after_test_1
1473,0,3,4,6,5,1.32,0.66,0.66,0
1474,1,3,8,16,1,0.99,0.33,0.66,0
1475,1,2,59,25,3,0.5,1.0,0.0,0
1476,0,2,6,12,5,0.66,0.33,0.33,0
1477,1,3,76,79,3,4.29,2.97,1.98,0
1478,0,3,8,13,1,1.32,0.99,0.33,0
1479,1,1,3,7,4,1.32,2.64,1.98,0
1480,1,2,73,56,1,4.62,2.97,0.33,0
1481,1,1,10,9,3,0.0,0.0,0.0,1
1482,0,2,66,13,3,1.2000000000000002,1.2000000000000002,0.0,0
1483,0,1,3,29,5,4.95,4.29,2.64,0
1484,0,3,95,90,5,0.33,0.66,1.32,0
1485,1,3,87,25,1,3.3000000000000003,2.31,0.99,0
1486,0,2,3,6,5,1.32,0.99,0.66,0
1487,0,1,18,14,4,7.590000000000001,5.61,2.31,0
1488,1,3,47,13,2,4.62,0.99,0.33,0
1489,1,1,0,13,5,2.0,1.0,0.0,1
1490,1,3,16,52,5,4.95,1.6500000000000001,1.6500000000000001,0
1491,0,1,85,34,1,4.95,2.31,0.66,0
1492,1,3,9,1,5,0.0,0.66,0.66,0
1493,1,2,82,73,5,4.0,0.8,0.0,0
1494,1,3,73,63,1,4.29,3.6300000000000003,0.99,0
1495,1,2,65,95,5,6.2700000000000005,3.3000000000000003,0.33,0
1496,1,3,54,61,1,0.0,1.2000000000000002,0.0,0
1497,1,2,66,54,4,3.3000000000000003,2.64,1.32,0
1498,1,3,21,49,3,1.0,0.0,0.5,0
1499,1,3,5,19,5,1.0,1.0,0.0,1
1500,1,3,48,78,1,1.6500000000000001,1.6500000000000001,0.99,0
1501,0,2,74,90,1,4.95,3.3000000000000003,0.99,0
1502,1,1,28,23,2,1.6,0.8,0.0,0
1503,0,1,18,3,4,1.32,1.32,2.64,0
1504,0,2,9,20,5,9.24,4.29,2.31,0
1505,1,2,57,68,1,3.6300000000000003,2.97,0.66,0
1506,1,1,63,84,3,0.0,0.5,1.0,0
1507,1,1,66,37,4,3.3000000000000003,1.6500000000000001,0.66,0
1508,1,2,17,8,5,2.31,3.6300000000000003,2.64,0
1509,1,3,4,19,3,2.97,0.99,0.33,0
1510,1,3,11,90,5,0.66,4.29,1.32,0
1511,0,2,2,16,1,0.66,0.66,0.33,0
1512,1,3,35,64,1,3.6300000000000003,1.98,0.99,0
1513,0,3,7,3,1,0.66,0.99,0.66,0
1514,1,3,91,17,1,3.96,0.66,1.32,0
1515,0,3,32,10,1,5.94,0.33,0.99,0
1516,0,2,13,96,4,5.61,2.97,2.64,0
1517,1,3,42,91,3,0.33,1.6500000000000001,0.0,0
1518,0,3,65,68,4,1.5,0.0,0.0,0
1519,0,3,15,2,4,2.31,1.6500000000000001,1.98,0
1520,1,3,20,32,4,1.2000000000000002,0.0,0.4,0
1521,1,1,90,73,2,1.32,1.32,0.0,0
1522,0,1,82,69,1,5.94,1.98,1.6500000000000001,0
1523,0,3,8,10,1,0.0,0.66,0.33,0
1524,1,3,30,53,1,4.29,2.64,0.66,0
1525,0,3,1,11,5,0.99,0.66,0.33,0
1526,1,3,60,84,2,1.6500000000000001,0.99,1.32,0
1527,1,3,37,39,5,2.0,0.5,0.0,0
1528,0,2,6,11,2,0.66,0.66,0.33,0
1529,1,3,14,25,4,3.0,0.0,1.0,1
1530,1,2,11,57,4,1.0,1.0,0.0,1
1531,1,3,4,1,2,0.99,0.66,0.66,0
1532,1,1,28,45,4,3.0,0.0,1.0,1
1533,1,3,52,64,1,2.97,1.98,1.6500000000000001,0
1534,0,2,67,47,2,1.98,1.6500000000000001,1.6500000000000001,0
1535,1,1,53,55,3,0.5,0.5,0.0,0
1536,0,3,50,54,2,0.0,1.0,0.5,0
1537,1,3,25,52,4,2.31,2.64,1.6500000000000001,0
1538,0,1,14,6,5,6.6000000000000005,2.31,1.32,0
1539,1,1,59,42,3,0.0,0.0,0.5,0
1540,1,3,69,12,2,0.0,4.95,0.99,0
1541,0,3,54,59,5,2.0,1.5,0.5,0
1542,0,1,15,1,4,6.6000000000000005,3.96,2.31,0
1543,1,2,40,69,1,2.64,1.6500000000000001,0.66,0
1544,0,3,18,21,5,4.62,2.64,1.98,0
1545,1,3,3,13,1,0.0,0.66,0.66,0
1546,1,1,40,75,3,5.28,2.31,1.32,0
1547,0,1,34,9,3,2.64,2.97,2.64,0
1548,1,1,15,22,3,0.0,2.0,1.0,1
1549,0,3,58,51,3,3.5,1.0,1.0,0
1550,1,2,1,6,1,0.33,0.33,0.66,0
1551,1,3,63,51,2,4.29,2.31,1.6500000000000001,0
1552,0,3,90,94,1,3.96,2.97,1.32,0
1553,0,2,87,76,1,1.6500000000000001,1.6500000000000001,0.99,0
1554,0,2,1,15,1,0.66,0.66,0.33,0
1555,1,1,24,20,4,0.0,1.0,1.0,1
1556,0,3,7,16,1,1.32,0.66,0.66,0
1557,1,1,68,89,2,2.31,0.99,0.33,0
1558,1,3,67,93,4,3.96,0.33,0.66,0
1559,1,3,25,54,4,4.29,7.590000000000001,0.99,0
1560,0,3,1,35,5,2.0,2.0,0.0,1
1561,1,3,9,3,2,0.66,0.33,0.33,0
1562,1,2,93,79,4,4.95,1.32,0.66,0
1563,1,3,5,3,5,0.33,0.33,0.66,0
1564,1,1,13,6,5,2.97,4.29,1.98,0
1565,0,3,2,13,5,0.99,0.33,0.66,0
1566,0,1,15,24,4,6.930000000000001,1.6500000000000001,1.32,0
1567,1,1,51,36,3,0.0,0.5,0.5,0
1568,1,3,52,58,3,0.0,0.0,0.5,0
1569,1,2,71,48,2,6.2700000000000005,6.2700000000000005,2.64,0
1570,1,2,92,32,2,0.0,0.8,0.4,0
1571,1,1,9,16,5,0.99,3.3000000000000003,2.64,0
1572,1,2,2,3,1,0.33,0.33,0.33,0
1573,0,1,9,12,4,5.94,5.28,2.31,0
1574,1,3,71,93,1,0.66,0.99,0.33,0
1575,0,2,13,26,5,4.29,4.95,1.6500000000000001,0
1576,0,3,81,90,2,4.0,1.2000000000000002,0.4,0
1577,1,3,7,12,1,1.32,0.99,0.33,0
1578,1,2,64,31,4,2.31,1.32,0.99,0
1579,1,1,10,11,4,3.0,2.0,1.0,1
1580,0,2,2,25,4,0.99,3.6300000000000003,2.31,0
1581,0,3,66,63,2,4.62,1.6500000000000001,0.99,0
1582,0,2,15,8,4,3.96,4.29,2.31,0
1583,0,3,70,31,1,3.6,1.6,0.4,0
1584,1,3,62,88,1,0.66,0.99,0.0,0
1585,1,3,33,37,2,0.0,0.4,0.4,0
1586,1,1,17,9,4,3.0,1.0,1.0,1
1587,1,2,60,90,1,4.62,1.6500000000000001,0.99,0
1588,1,3,48,76,5,3.96,1.98,1.6500000000000001,0
1589,1,3,22,58,1,2.64,2.31,0.66,0
1590,1,3,73,61,5,1.98,1.98,0.66,0
1591,1,2,52,50,2,0.0,0.0,0.5,0
1592,1,3,65,74,1,5.28,1.98,1.32,0
1593,0,3,6,5,1,1.32,0.66,0.66,0
1594,1,1,1,10,4,3.6300000000000003,2.31,1.6500000000000001,0
1595,0,3,6,1,2,1.32,0.66,0.33,0
1596,0,2,68,79,3,5.28,0.99,2.64,0
1597,0,1,38,52,4,5.61,5.61,0.66,0
1598,1,1,46,52,3,2.4000000000000004,0.4,0.4,0
1599,1,3,51,28,1,0.5,0.0,0.5,0
1600,1,1,85,66,2,5.94,1.98,0.99,0
1601,1,1,49,52,2,2.0,0.5,0.0,0
1602,0,2,15,23,4,6.6000000000000005,1.98,1.98,0
1603,0,1,2,26,5,9.24,4.95,2.31,0
1604,1,3,59,59,5,3.3000000000000003,2.97,0.66,0
1605,1,2,4,1,5,0.4,0.4,0.4,0
1606,0,2,30,13,2,0.0,6.2700000000000005,1.6500000000000001,0
1607,0,1,16,19,5,1.32,3.3000000000000003,1.6500000000000001,0
1608,0,3,56,19,4,4.62,1.98,2.64,0
1609,1,2,34,42,4,2.0,0.0,0.0,0
1610,1,1,46,12,4,2.8000000000000003,0.4,0.0,0
1611,1,3,17,69,1,3.96,1.98,1.32,0
1612,1,3,60,58,3,0.33,2.31,1.32,0
1613,0,3,6,12,5,1.32,0.99,0.66,0
1614,0,1,15,26,4,5.28,2.64,1.98,0
1615,1,3,35,78,5,2.64,1.6500000000000001,1.6500000000000001,0
1616,0,2,13,25,5,1.32,5.94,2.64,0
1617,0,3,54,57,2,2.0,1.5,0.0,0
1618,0,3,90,94,5,4.95,3.6300000000000003,1.32,0
1619,1,2,66,64,1,5.94,6.6000000000000005,2.64,0
1620,1,3,7,21,4,8.25,4.95,1.98,0
1621,0,1,5,2,4,5.28,2.64,2.64,0
1622,0,1,64,37,1,4.29,0.33,0.99,0
1623,0,3,26,57,2,5.61,3.96,2.31,0
1624,0,2,69,93,4,5.28,2.97,0.99,0
1625,1,2,77,37,3,4.95,0.99,1.6500000000000001,0
1626,1,3,51,47,2,0.0,0.0,0.5,0
1627,0,2,11,21,3,3.96,5.28,0.99,0
1628,1,1,69,21,1,1.98,0.66,0.0,0
1629,1,3,15,8,5,0.0,0.0,0.0,1
1630,1,3,54,56,5,4.62,2.97,1.32,0
1631,1,3,2,7,5,1.32,0.33,0.66,0
1632,1,3,2,13,2,0.0,0.33,0.66,0
1633,0,3,2,12,1,0.99,0.66,0.66,0
1634,0,3,2,3,1,0.66,0.33,0.33,0
1635,1,1,27,49,4,1.0,0.0,0.5,0
1636,1,1,88,73,4,0.0,0.33,0.66,0
1637,0,2,8,14,4,6.930000000000001,1.6500000000000001,1.6500000000000001,0
1638,0,3,26,10,1,5.61,5.28,1.98,0
1639,0,2,89,48,3,2.97,2.97,0.33,0
1640,1,3,20,69,2,4.62,2.31,1.6500000000000001,0
1641,1,1,11,9,3,1.0,2.0,1.0,1
1642,1,3,63,76,3,3.96,2.64,0.66,0
1643,1,2,31,45,4,0.5,0.5,0.5,0
1644,1,1,4,3,5,2.97,5.28,2.31,0
1645,0,1,16,26,5,1.32,5.61,1.98,0
1646,0,3,48,7,2,5.61,2.97,0.66,0
1647,1,1,45,59,4,0.5,0.5,0.5,0
1648,1,1,31,28,5,5.94,0.99,1.32,0
1649,0,3,3,6,1,0.66,0.99,0.33,0
1650,0,1,7,25,4,6.2700000000000005,5.28,1.98,0
1651,1,3,63,42,2,0.33,7.590000000000001,1.32,0
1652,1,3,61,74,1,3.96,2.64,0.99,0
1653,1,3,48,33,2,1.98,0.66,0.33,0
1654,0,3,98,9,5,1.6,0.4,1.2000000000000002,0
1655,1,1,41,35,4,1.5,0.5,0.5,0
1656,0,3,30,41,4,4.29,1.98,0.66,0
1657,1,3,12,72,1,3.96,1.6500000000000001,0.99,0
1658,1,2,84,52,3,3.6300000000000003,0.66,0.99,0
1659,1,3,5,15,1,1.32,0.66,0.66,0
1660,1,1,99,20,3,5.28,6.6000000000000005,0.33,0
1661,0,3,20,50,4,3.5,1.0,0.5,0
1662,1,3,55,58,5,2.64,1.98,0.66,0
1663,0,1,59,13,2,4.29,1.6500000000000001,0.66,0
1664,0,3,67,98,1,4.29,3.6300000000000003,0.99,0
1665,1,3,4,41,3,4.62,3.3000000000000003,2.64,0
1666,1,3,61,50,5,4.95,2.64,0.66,0
1667,1,3,13,74,4,2.31,2.64,0.99,0
1668,1,1,26,51,4,0.0,0.0,0.5,0
1669,1,1,57,29,3,0.0,1.0,0.0,0
1670,1,1,29,73,3,5.94,4.62,2.31,0
1671,0,2,63,78,4,3.96,2.97,1.6500000000000001,0
1672,0,3,33,67,5,4.95,3.6300000000000003,0.99,0
1673,1,1,17,6,4,3.0,1.0,0.0,1
1674,1,3,16,55,1,4.62,2.97,0.99,0
1675,0,3,8,10,5,8.91,3.6300000000000003,1.98,0
1676,1,2,78,73,1,3.96,1.6500000000000001,0.66,0
1677,1,3,3,11,1,0.66,0.66,0.33,0
1678,1,2,14,50,3,4.95,1.6500000000000001,0.66,0
1679,0,3,51,66,4,0.5,0.5,0.5,0
1680,1,2,55,59,3,0.0,0.5,0.0,0
1681,1,3,64,58,5,5.61,2.64,1.32,0
1682,1,3,48,84,4,4.29,6.930000000000001,0.66,0
1683,1,3,60,3,1,3.6,0.8,0.4,0
1684,1,2,14,5,4,2.64,0.99,1.6500000000000001,0
1685,0,2,5,9,5,0.33,0.33,0.33,0
1686,1,1,41,56,1,2.64,1.32,0.0,0
1687,1,2,69,59,5,6.2700000000000005,2.97,1.32,0
1688,0,2,38,60,1,0.5,0.5,1.0,0
1689,0,1,16,14,5,2.64,2.31,1.98,0
1690,0,3,1,10,1,0.66,0.99,0.66,0
1691,0,2,90,94,3,1.98,1.6500000000000001,1.32,0
1692,1,3,15,33,1,4.0,0.4,0.0,0
1693,0,1,63,76,2,3.6300000000000003,7.260000000000001,1.32,0
1694,0,3,2,7,2,0.99,0.33,0.66,0
1695,1,3,23,37,1,1.2000000000000002,0.8,0.4,0
1696,0,3,40,60,2,2.0,0.0,0.5,0
1697,0,2,3,14,4,6.6000000000000005,0.99,2.64,0
1698,1,3,54,73,4,1.6500000000000001,1.98,1.32,0
1699,1,2,46,48,4,0.5,0.0,0.0,0
1700,0,3,91,74,1,2.31,2.31,1.32,0
1701,1,3,71,58,2,2.64,2.97,0.99,0
1702,0,3,79,93,3,1.98,2.64,2.97,0
1703,1,3,5,29,5,4.62,2.31,2.64,0
1704,1,1,88,74,5,2.31,7.590000000000001,0.33,0
1705,1,3,5,14,5,3.0,0.0,1.0,1
1706,0,2,14,23,4,9.57,0.99,2.64,0
1707,0,3,18,22,4,3.96,1.6500000000000001,1.32,0
1708,1,1,34,55,4,4.62,1.32,2.31,0
1709,1,3,22,74,3,3.3000000000000003,2.97,1.6500000000000001,0
1710,1,1,59,31,1,0.0,1.0,0.0,0
1711,0,3,8,4,1,0.33,0.33,0.66,0
1712,1,1,25,53,5,0.5,0.5,0.0,0
1713,1,1,79,73,1,2.64,0.66,0.66,0
1714,1,1,7,11,3,2.0,1.0,1.0,1
1715,1,2,30,28,2,4.0,0.0,0.0,0
1716,0,1,31,50,4,2.31,3.3000000000000003,2.31,0
1717,0,3,90,49,1,2.97,2.97,0.99,0
1718,1,3,2,13,2,0.33,0.99,0.33,0
1719,1,1,79,18,5,2.31,2.64,0.99,0
1720,1,2,26,24,4,1.0,2.0,1.0,1
1721,1,3,62,29,4,2.4000000000000004,1.2000000000000002,0.4,0
1722,0,1,21,1,2,3.96,4.62,0.66,0
1723,1,3,10,8,2,3.0,0.0,0.0,1
1724,0,2,4,3,1,0.99,0.33,0.66,0
1725,0,3,33,53,4,0.0,0.0,0.0,0
1726,0,2,5,15,1,1.32,0.99,0.33,0
1727,0,3,7,1,2,0.0,0.66,0.66,0
1728,1,1,45,65,4,4.29,1.6500000000000001,0.99,0
1729,1,1,6,25,4,5.28,0.99,1.98,0
1730,1,1,24,25,4,4.0,2.0,1.0,1
1731,1,2,11,20,5,2.64,2.64,2.31,0
1732,1,3,70,61,2,0.99,0.66,1.32,0
1733,0,2,78,10,5,1.98,4.29,0.66,0
1734,1,1,18,19,2,0.0,1.0,1.0,1
1735,1,3,64,15,5,2.31,5.94,0.33,0
1736,0,3,91,87,1,1.0,0.5,0.5,0
1737,1,3,19,71,1,1.98,2.97,1.6500000000000001,0
1738,1,1,20,52,2,0.0,0.0,0.0,0
1739,0,3,89,85,2,2.31,2.97,1.6500000000000001,0
1740,0,2,9,7,4,7.92,1.32,2.64,0
1741,1,3,98,92,4,3.6300000000000003,0.66,0.33,0
1742,0,3,4,5,1,0.99,0.66,0.33,0
1743,1,2,7,10,1,0.99,0.66,0.66,0
1744,0,2,6,4,5,0.99,0.66,0.66,0
1745,0,3,74,67,5,5.61,3.3000000000000003,1.6500000000000001,0
1746,1,1,12,8,4,2.0,0.0,1.0,1
1747,1,1,49,56,5,2.0,0.0,0.0,0
1748,1,2,86,85,2,2.97,2.31,1.32,0
1749,1,1,56,56,3,0.0,0.5,0.5,0
1750,1,1,29,37,4,1.0,0.0,0.0,1
1751,1,1,29,68,4,5.28,1.98,0.99,0
1752,1,1,93,85,5,0.0,0.0,0.0,0
1753,0,3,6,2,5,4.62,5.61,2.64,0
1754,0,1,67,32,1,2.97,2.64,0.99,0
1755,1,1,54,48,3,0.0,0.5,0.0,0
1756,1,3,44,64,4,3.6300000000000003,1.98,0.99,0
1757,1,1,38,21,2,1.98,1.32,0.99,0
1758,1,2,97,50,1,1.98,0.66,1.32,0
1759,1,3,97,23,1,2.97,1.98,0.66,0
1760,0,1,41,66,5,1.32,7.260000000000001,2.31,0
1761,1,1,51,87,4,2.0,0.0,0.0,0
1762,1,1,16,34,1,1.6500000000000001,0.33,0.66,0
1763,0,1,2,5,5,7.92,5.28,2.64,0
1764,1,2,50,30,3,0.0,0.0,0.5,0
1765,0,3,6,94,4,5.94,4.95,0.66,0
1766,1,3,51,55,4,4.29,0.0,0.66,0
1767,1,3,15,10,5,0.0,0.0,0.0,1
1768,1,2,23,38,4,1.5,0.5,0.5,0
1769,0,1,11,13,4,5.28,4.95,2.64,0
1770,1,2,13,52,4,3.0,2.0,1.0,1
1771,1,2,73,23,1,2.97,7.92,2.64,0
1772,0,2,1,24,4,8.91,2.97,1.32,0
1773,1,1,0,20,1,2.8000000000000003,1.2000000000000002,0.0,0
1774,0,3,5,1,4,9.24,5.28,2.31,0
1775,1,3,2,5,1,0.33,0.66,0.66,0
1776,0,3,96,98,1,5.28,2.31,1.6500000000000001,0
1777,1,1,49,20,1,3.96,0.33,0.33,0
1778,1,1,31,79,1,2.64,2.31,0.99,0
1779,0,1,19,24,5,7.590000000000001,5.61,1.32,0
1780,1,3,79,52,1,3.6300000000000003,1.98,1.6500000000000001,0
1781,1,3,32,89,1,2.64,0.99,0.66,0
1782,0,2,74,78,1,3.6300000000000003,0.99,0.33,0
1783,1,1,88,52,1,2.64,1.6500000000000001,0.33,0
1784,0,1,96,30,1,0.99,1.32,0.33,0
1785,1,1,63,59,5,2.0,0.5,0.5,0
1786,1,2,63,64,4,0.66,1.6500000000000001,0.66,0
1787,0,3,1,7,1,0.33,0.66,0.33,0
1788,1,3,24,59,4,0.5,0.0,0.0,0
1789,1,2,63,98,4,3.96,3.3000000000000003,0.33,0
1790,1,3,69,61,2,5.28,2.97,1.32,0
1791,0,1,17,20,4,4.29,0.99,1.98,0
1792,1,3,11,46,5,3.6,0.4,0.0,0
1793,0,3,4,5,2,0.0,0.66,0.66,0
1794,1,3,1,5,2,0.66,0.33,0.66,0
1795,0,1,13,20,4,3.3000000000000003,5.61,1.98,0
1796,0,2,9,6,4,6.6000000000000005,2.31,2.64,0
1797,0,3,4,5,1,1.32,0.33,0.33,0
1798,0,3,63,33,3,2.64,3.3000000000000003,2.64,0
1799,1,3,74,56,1,6.2700000000000005,3.6300000000000003,1.6500000000000001,0
1800,1,2,16,21,5,8.58,4.29,2.31,0
1801,1,3,98,25,2,3.6300000000000003,0.99,0.33,0
1802,1,2,5,58,1,0.66,0.99,0.66,0
1803,0,3,93,92,4,3.96,3.3000000000000003,0.33,0
1804,1,3,57,24,3,0.0,0.5,0.5,0
1805,1,3,71,99,4,0.0,1.2000000000000002,0.4,0
1806,1,1,43,51,4,0.66,0.99,0.0,0
1807,0,1,14,3,5,1.98,0.99,1.32,0
1808,1,1,76,59,2,1.98,2.64,1.6500000000000001,0
1809,0,2,64,93,3,4.62,0.99,0.33,0
1810,0,1,12,29,4,2.64,5.61,1.98,0
1811,1,1,45,80,2,0.0,0.8,0.0,0
1812,1,3,85,24,2,3.6300000000000003,1.32,2.64,0
1813,1,1,11,13,5,2.0,0.0,0.0,1
1814,1,1,41,68,5,2.97,2.97,1.32,0
1815,0,3,6,11,5,0.0,0.99,0.66,0
1816,1,3,35,53,4,2.97,1.6500000000000001,1.6500000000000001,0
1817,1,3,70,84,1,4.29,0.66,0.66,0
1818,1,2,38,92,3,3.96,4.29,0.33,0
1819,1,3,54,24,2,0.0,0.5,0.0,0
1820,0,3,4,15,2,0.99,0.66,0.33,0
1821,0,3,12,3,5,6.2700000000000005,4.95,1.6500000000000001,0
1822,1,2,83,39,4,3.6300000000000003,6.930000000000001,0.33,0
1823,0,1,5,27,5,7.590000000000001,3.6300000000000003,2.64,0
1824,0,3,6,10,1,0.99,0.99,0.33,0
1825,1,2,77,55,1,3.6300000000000003,1.32,0.0,0
1826,1,3,6,16,4,1.0,0.0,1.0,1
1827,1,2,18,28,4,4.4,0.4,0.4,0
1828,0,1,2,22,5,8.58,5.61,1.32,0
1829,1,3,46,41,1,2.31,1.32,0.66,0
1830,1,1,50,21,1,3.6,0.8,0.0,0
1831,1,1,7,5,4,1.32,1.6500000000000001,2.31,0
1832,1,3,2,10,2,0.0,0.66,0.66,0
1833,1,1,87,49,3,5.28,0.99,1.32,0
1834,0,2,84,61,1,1.5,1.0,1.0,0
1835,1,1,40,56,4,0.0,0.0,0.0,0
1836,1,3,33,8,1,3.2,1.2000000000000002,0.0,0
1837,1,3,37,74,2,3.6300000000000003,1.98,1.6500000000000001,0
1838,1,3,8,6,2,0.33,0.33,0.33,0
1839,0,2,6,2,5,0.33,0.33,0.66,0
1840,1,1,16,46,4,4.0,0.0,0.0,1
1841,1,2,6,12,5,8.25,2.64,1.98,0
1842,0,2,7,6,1,0.33,0.66,0.66,0
1843,1,3,18,33,3,0.0,1.0,1.0,1
1844,1,1,19,11,5,1.32,0.0,0.0,0
1845,0,2,5,23,4,5.61,3.96,2.64,0
1846,0,3,16,38,5,7.0,1.0,0.0,1
1847,0,3,6,22,5,7.590000000000001,2.64,2.31,0
1848,0,2,7,5,5,1.32,0.66,0.33,0
1849,1,1,1,4,4,5.94,2.64,2.64,0
1850,1,2,70,81,1,1.32,2.31,0.99,0
1851,1,1,96,31,1,0.0,0.33,0.66,0
1852,1,3,57,24,3,0.0,0.5,0.5,0
1853,0,1,4,70,4,5.94,1.6500000000000001,1.32,0
1854,0,3,75,86,3,2.0,0.0,0.0,0
1855,0,2,5,13,1,0.99,0.66,0.66,0
1856,1,3,20,73,2,3.3000000000000003,2.97,1.6500000000000001,0
1857,1,3,52,58,3,0.0,0.5,0.5,0
1858,0,3,93,33,1,4.4,1.6,1.2000000000000002,0
1859,1,3,17,74,1,3.3000000000000003,2.64,0.66,0
1860,1,3,40,74,1,5.28,1.98,1.32,0
1861,0,1,73,61,4,2.5,0.5,0.0,0
1862,1,3,78,85,3,5.28,0.33,1.6500000000000001,0
1863,1,3,28,72,1,1.6500000000000001,2.97,0.66,0
1864,1,3,37,99,4,2.8000000000000003,1.2000000000000002,0.4,0
1865,1,1,22,25,3,3.0,2.0,1.0,1
1866,1,1,15,13,2,2.0,0.0,1.0,1
1867,0,2,5,27,5,3.96,2.64,2.64,0
1868,0,3,2,10,1,0.66,0.33,0.33,0
1869,1,3,67,66,1,0.66,1.98,0.33,0
1870,1,1,26,55,5,1.0,0.5,0.5,0
1871,1,3,63,46,1,5.28,1.32,1.98,0
1872,1,1,53,55,1,4.29,2.64,1.6500000000000001,0
1873,1,3,85,48,5,4.95,3.6300000000000003,0.33,0
1874,1,1,26,39,4,3.6300000000000003,0.99,0.33,0
1875,0,2,60,81,5,2.64,6.2700000000000005,2.31,0
1876,1,3,71,32,1,4.95,1.98,0.99,0
1877,1,1,19,4,5,0.0,1.0,0.0,1
1878,1,3,57,29,1,0.0,0.33,0.33,0
1879,0,3,67,85,1,4.4,0.4,0.4,0
1880,1,3,90,93,1,1.98,0.99,1.32,0
1881,1,2,87,96,1,0.0,2.31,0.99,0
1882,0,2,51,14,3,2.64,0.33,2.97,0
1883,0,2,2,11,1,0.33,0.66,0.33,0
1884,0,1,96,61,2,2.97,0.33,2.31,0
1885,0,2,81,44,5,3.3000000000000003,3.96,1.32,0
1886,0,2,16,16,4,2.31,6.2700000000000005,2.64,0
1887,1,1,80,65,1,1.98,1.98,1.32,0
1888,1,1,11,4,2,0.0,0.0,0.0,1
1889,0,3,4,35,5,3.0,0.0,0.0,1
1890,0,3,15,16,4,5.61,3.6300000000000003,1.98,0
1891,0,1,5,9,5,4.29,5.61,1.98,0
1892,1,3,59,48,3,0.0,1.0,0.5,0
1893,1,2,46,43,4,1.32,0.99,0.0,0
1894,0,2,7,13,1,0.66,0.66,0.33,0
1895,0,2,49,42,4,0.99,0.33,2.97,0
1896,0,2,45,11,2,2.97,5.94,1.98,0
1897,1,1,85,96,1,3.3000000000000003,0.0,0.99,0
1898,0,3,83,34,5,0.66,7.92,0.66,0
1899,1,1,10,17,5,2.0,0.0,0.0,1
1900,1,3,20,45,4,2.0,0.0,0.5,0
1901,1,3,45,63,1,5.61,2.97,1.32,0
1902,1,1,1,16,5,5.28,4.29,1.32,0
1903,1,2,39,31,4,0.99,0.99,0.0,0
1904,1,3,47,79,4,4.95,0.66,0.66,0
1905,1,3,16,81,1,3.6300000000000003,1.32,0.33,0
1906,0,3,23,16,5,5.61,6.2700000000000005,0.33,0
1907,0,2,73,35,1,3.3000000000000003,1.6500000000000001,1.32,0
1908,1,2,88,77,1,3.3000000000000003,1.6500000000000001,0.66,0
1909,0,1,3,70,4,2.64,3.6300000000000003,1.98,0
1910,1,3,64,65,2,4.62,1.6500000000000001,1.32,0
1911,1,1,4,19,5,4.62,4.62,2.64,0
1912,1,1,63,46,1,0.0,2.64,0.99,0
1913,1,3,27,58,2,2.0,1.0,0.0,1
1914,1,2,51,35,2,0.0,0.0,0.0,0
1915,1,2,28,4,5,2.4000000000000004,1.2000000000000002,0.4,0
1916,0,3,68,81,1,4.62,2.64,1.32,0
1917,1,2,5,14,5,4.29,2.64,2.64,0
1918,1,2,52,86,2,2.31,1.98,0.33,0
1919,0,3,2,5,5,0.66,0.99,0.66,0
1920,1,3,12,33,3,0.0,2.0,0.0,1
1921,0,2,85,86,1,1.98,1.32,1.32,0
1922,1,3,18,72,1,3.6300000000000003,1.6500000000000001,1.32,0
1923,0,3,5,14,1,0.33,0.99,0.66,0
1924,1,3,72,71,1,3.6300000000000003,1.98,0.99,0
1925,0,2,6,3,5,5.94,4.29,1.32,0
1926,1,1,59,50,3,0.5,1.0,0.5,0
1927,1,2,6,13,5,3.3000000000000003,2.64,1.6500000000000001,0
1928,1,2,23,52,4,2.0,0.5,0.0,0
1929,0,3,86,36,2,5.28,1.6500000000000001,0.99,0
1930,1,3,7,82,5,5.94,0.33,2.97,0
1931,0,2,94,89,1,2.0,0.5,1.0,0
1932,1,3,14,76,5,3.6300000000000003,2.64,1.32,0
1933,1,2,27,32,3,4.0,1.0,0.0,1
1934,1,3,61,75,2,3.3000000000000003,2.97,0.66,0
1935,0,2,8,3,5,7.590000000000001,1.98,1.98,0
1936,0,3,74,72,1,0.0,1.0,0.0,0
1937,1,3,54,44,3,0.0,1.0,0.0,0
1938,0,3,7,4,1,0.0,0.99,0.66,0
1939,0,3,10,4,4,2.31,3.96,1.98,0
1940,0,3,2,14,2,0.0,0.99,0.33,0
1941,1,1,41,70,1,0.66,1.6500000000000001,0.0,0
1942,1,1,51,53,1,2.8000000000000003,1.2000000000000002,0.0,0
1943,1,1,24,64,5,2.64,1.98,0.99,0
1944,1,3,48,1,1,3.2,0.0,0.4,0
1945,1,2,12,4,4,8.58,4.62,1.32,0
1946,1,3,91,85,1,3.6300000000000003,3.6300000000000003,1.32,0
1947,1,3,68,72,5,5.61,2.64,1.32,0
1948,0,3,5,7,1,0.99,0.33,0.33,0
1949,1,2,3,6,1,3.6300000000000003,0.33,0.0,0
1950,0,2,86,36,4,3.3000000000000003,3.6300000000000003,0.99,0
1951,0,1,91,40,4,4.29,3.3000000000000003,0.66,0
1952,0,1,60,36,5,4.29,3.3000000000000003,1.6500000000000001,0
1953,0,3,16,7,4,5.28,1.98,1.6500000000000001,0
