,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,final_dropout,completion_stage
2831,1,2,9,13,1,6.0,22.0,1.0,27.0,4.0,26.0,2.0,1.0,3.0,2,2,2,0,3
2832,0,2,45,95,4,7.0,27.0,4.0,7.0,4.0,28.0,1.0,1.0,1.0,3,8,3,0,3
2834,1,3,37,86,5,54.0,20.0,3.0,66.0,3.0,64.0,1.0,1.0,2.0,7,7,1,0,3
2837,0,1,4,8,5,33.0,32.0,4.0,55.0,5.0,45.0,4.0,2.0,2.0,8,6,7,0,3
2840,0,3,4,18,5,36.0,46.0,3.0,51.0,2.0,27.0,1.0,2.0,2.0,14,19,7,0,3
2841,1,2,23,3,4,20.0,68.0,5.0,38.0,5.0,17.0,5.0,3.0,5.0,1,1,2,1,3
2842,1,2,91,85,4,45.0,18.0,3.0,59.0,1.0,84.0,1.0,2.0,4.0,15,7,4,0,3
2843,0,3,2,12,2,10.0,21.0,4.0,41.0,2.0,22.0,1.0,1.0,2.0,3,3,1,0,3
2845,1,2,48,17,3,10.0,95.0,4.0,46.0,4.0,33.0,5.0,5.0,5.0,13,0,2,1,3
2846,0,2,17,16,4,55.0,52.0,4.0,75.0,3.0,58.0,5.0,2.0,3.0,26,7,6,0,3
2852,1,3,40,54,5,92.0,31.0,4.0,38.0,1.0,61.0,5.0,5.0,2.0,10,5,2,0,3
2856,1,3,13,59,1,16.0,7.0,1.0,31.0,3.0,3.0,2.0,5.0,1.0,6,3,8,0,3
2857,1,3,88,91,1,75.0,97.0,1.0,56.0,1.0,41.0,1.0,4.0,2.0,19,15,6,0,3
2858,1,1,53,96,3,80.0,59.0,2.0,20.0,2.0,49.0,1.0,2.0,1.0,8,16,8,0,3
2859,1,1,67,61,5,54.0,34.0,4.0,16.0,4.0,88.0,4.0,1.0,2.0,8,5,3,0,3
2860,0,1,9,62,5,83.0,74.0,1.0,13.0,5.0,32.0,2.0,3.0,4.0,11,12,4,0,3
2862,1,3,1,4,5,9.0,44.0,3.0,25.0,2.0,24.0,1.0,3.0,2.0,4,3,1,0,3
2863,1,3,54,57,5,75.0,20.0,1.0,96.0,5.0,67.0,1.0,5.0,1.0,15,9,3,0,3
2865,0,3,15,1,5,51.0,38.0,4.0,65.0,2.0,86.0,2.0,5.0,3.0,20,9,5,0,3
2866,1,3,55,73,3,64.0,23.0,2.0,82.0,5.0,84.0,2.0,5.0,5.0,16,9,3,0,3
2869,1,1,3,38,1,69.0,4.0,1.0,20.0,2.0,6.0,5.0,5.0,4.0,11,6,1,1,3
2871,1,1,95,77,4,95.0,59.0,2.0,71.0,2.0,16.0,1.0,1.0,5.0,18,17,6,0,3
2873,0,2,15,22,4,25.0,42.0,3.0,88.0,4.0,20.0,1.0,5.0,4.0,18,18,5,0,3
2874,0,2,13,2,5,23.0,43.0,5.0,90.0,1.0,33.0,1.0,2.0,4.0,18,17,5,0,3
2876,1,3,75,59,2,67.0,25.0,3.0,7.0,5.0,63.0,1.0,3.0,4.0,13,6,2,0,3
2877,1,1,79,72,4,40.0,37.0,3.0,26.0,1.0,65.0,1.0,1.0,3.0,12,11,3,0,3
2879,1,3,5,5,5,7.0,44.0,2.0,38.0,2.0,22.0,2.0,5.0,4.0,0,1,1,0,3
2881,1,1,34,67,5,95.0,29.0,2.0,45.0,5.0,74.0,2.0,5.0,2.0,14,6,2,0,3
2884,1,1,36,57,5,60.0,35.0,2.0,32.0,1.0,71.0,2.0,1.0,1.0,6,9,3,0,3
2885,1,1,5,7,4,73.0,45.0,1.0,29.0,3.0,14.0,5.0,5.0,5.0,13,3,2,1,3
2886,1,1,67,61,5,72.0,54.0,5.0,64.0,2.0,77.0,3.0,4.0,2.0,9,7,4,0,3
2887,1,2,58,60,2,86.0,59.0,1.0,12.0,2.0,81.0,2.0,1.0,2.0,17,7,4,0,3
2889,1,1,60,47,5,36.0,15.0,3.0,46.0,4.0,25.0,4.0,4.0,4.0,6,6,1,1,3
2890,1,2,96,22,2,57.0,17.0,4.0,10.0,3.0,74.0,4.0,5.0,2.0,1,10,8,0,3
2893,0,3,9,4,1,12.0,46.0,4.0,27.0,2.0,27.0,1.0,2.0,1.0,0,1,1,0,3
2896,1,1,17,62,5,65.0,71.0,1.0,6.0,1.0,98.0,3.0,5.0,1.0,15,5,2,0,3
2897,0,1,1,26,4,39.0,42.0,4.0,70.0,5.0,31.0,2.0,2.0,1.0,3,11,6,0,3
2898,0,1,2,98,4,22.0,32.0,4.0,90.0,4.0,4.0,2.0,1.0,1.0,12,9,4,0,3
2899,0,3,4,13,1,12.0,48.0,1.0,42.0,1.0,21.0,3.0,1.0,4.0,1,2,1,0,3
2900,1,3,12,60,1,74.0,5.0,4.0,7.0,4.0,9.0,4.0,5.0,4.0,1,3,1,1,3
2901,0,1,8,23,4,40.0,45.0,2.0,92.0,3.0,25.0,1.0,3.0,2.0,10,4,7,0,3
2902,1,3,10,65,2,88.0,16.0,4.0,85.0,2.0,6.0,5.0,5.0,4.0,1,22,2,0,3
2903,0,2,52,59,1,85.0,62.0,4.0,86.0,1.0,16.0,1.0,1.0,5.0,3,1,3,0,3
2904,1,3,69,96,1,77.0,98.0,2.0,34.0,5.0,53.0,1.0,1.0,2.0,14,3,2,0,3
2905,1,2,46,37,2,60.0,67.0,1.0,43.0,5.0,30.0,1.0,2.0,1.0,7,22,1,0,3
2906,1,3,30,88,4,58.0,46.0,3.0,73.0,1.0,39.0,4.0,4.0,5.0,14,7,3,0,3
2907,0,3,86,42,5,46.0,22.0,4.0,78.0,1.0,43.0,5.0,5.0,3.0,17,3,2,0,3
2909,0,1,35,81,5,32.0,74.0,4.0,96.0,2.0,6.0,5.0,5.0,4.0,5,21,4,0,3
2910,1,2,88,90,1,43.0,19.0,3.0,82.0,1.0,23.0,5.0,3.0,5.0,3,1,2,1,3
2911,0,3,6,10,1,9.0,11.0,1.0,44.0,1.0,20.0,2.0,3.0,1.0,3,3,1,0,3
2912,0,3,7,3,1,8.0,24.0,5.0,48.0,1.0,27.0,1.0,2.0,1.0,0,3,1,0,3
2913,1,2,99,92,1,77.0,92.0,4.0,9.0,5.0,97.0,1.0,5.0,3.0,6,6,3,0,3
2915,0,2,67,76,1,88.0,57.0,2.0,38.0,4.0,52.0,3.0,1.0,4.0,8,10,2,0,3
2916,1,3,77,94,2,68.0,41.0,3.0,60.0,1.0,43.0,1.0,1.0,4.0,19,6,5,0,3
2917,1,2,5,2,5,34.0,31.0,2.0,45.0,3.0,60.0,2.0,2.0,4.0,3,13,8,0,3
2918,1,1,99,51,1,60.0,60.0,2.0,36.0,4.0,0.0,4.0,3.0,4.0,5,2,0,1,3
2919,0,2,9,4,1,1.0,51.0,2.0,29.0,5.0,25.0,4.0,4.0,4.0,4,2,1,0,3
2920,0,1,14,13,4,50.0,32.0,3.0,97.0,5.0,80.0,1.0,2.0,3.0,29,6,6,0,3
2922,1,2,44,56,4,67.0,54.0,4.0,25.0,2.0,68.0,3.0,5.0,1.0,19,20,9,0,3
2923,1,3,48,62,1,65.0,75.0,1.0,99.0,2.0,76.0,4.0,5.0,2.0,7,9,2,0,3
2924,1,3,45,51,1,70.0,52.0,2.0,69.0,4.0,73.0,3.0,4.0,4.0,5,5,5,0,3
2925,1,2,11,7,4,45.0,40.0,4.0,93.0,1.0,45.0,2.0,3.0,3.0,6,5,6,0,3
2928,0,2,7,8,1,8.0,37.0,2.0,40.0,1.0,20.0,2.0,1.0,3.0,1,1,2,0,3
2929,0,3,9,16,5,48.0,52.0,4.0,54.0,5.0,95.0,4.0,1.0,4.0,13,7,7,0,3
2930,0,3,69,92,4,87.0,11.0,5.0,9.0,4.0,93.0,1.0,4.0,3.0,16,23,3,0,3
2931,1,3,26,79,1,64.0,67.0,1.0,26.0,2.0,97.0,2.0,4.0,4.0,10,6,3,0,3
2932,1,2,79,67,2,57.0,65.0,5.0,36.0,5.0,86.0,1.0,5.0,2.0,17,8,5,0,3
2933,1,1,7,2,4,23.0,41.0,4.0,98.0,4.0,31.0,4.0,2.0,4.0,6,12,7,0,3
2934,0,3,8,13,1,7.0,17.0,4.0,49.0,1.0,27.0,2.0,3.0,1.0,1,2,2,0,3
2935,0,1,16,2,5,59.0,49.0,5.0,54.0,3.0,31.0,2.0,2.0,3.0,27,12,6,0,3
2936,1,1,59,63,5,93.0,37.0,1.0,10.0,1.0,60.0,5.0,3.0,5.0,8,8,3,0,3
2938,0,1,30,4,3,21.0,12.0,1.0,92.0,3.0,38.0,3.0,5.0,2.0,11,6,8,0,3
2939,0,3,84,91,3,75.0,78.0,1.0,24.0,1.0,33.0,3.0,1.0,4.0,4,11,4,0,3
2940,0,2,69,64,2,65.0,66.0,3.0,23.0,1.0,30.0,4.0,1.0,1.0,16,9,5,0,3
2944,0,1,12,25,5,30.0,30.0,4.0,61.0,3.0,87.0,1.0,1.0,3.0,19,5,8,0,3
2945,1,3,97,8,4,56.0,70.0,2.0,43.0,2.0,52.0,3.0,3.0,3.0,11,5,2,0,3
2946,1,1,16,5,4,32.0,31.0,4.0,49.0,3.0,66.0,2.0,4.0,1.0,11,6,4,0,3
2947,1,2,56,41,2,13.0,5.0,1.0,8.0,4.0,58.0,3.0,2.0,1.0,5,2,1,0,3
2949,0,2,12,24,4,24.0,43.0,4.0,95.0,2.0,50.0,2.0,3.0,2.0,16,19,8,0,3
2950,1,3,3,8,1,12.0,46.0,3.0,49.0,4.0,21.0,4.0,3.0,4.0,2,3,1,0,3
2951,1,2,15,7,5,32.0,53.0,2.0,59.0,3.0,26.0,5.0,4.0,2.0,12,19,5,0,3
2952,1,2,36,54,4,74.0,41.0,1.0,58.0,2.0,63.0,2.0,5.0,1.0,14,7,4,0,3
2956,1,3,50,67,5,93.0,53.0,1.0,33.0,3.0,51.0,2.0,5.0,1.0,6,8,5,0,3
2957,1,1,17,93,2,52.0,25.0,2.0,12.0,3.0,6.0,4.0,2.0,1.0,16,22,7,0,3
2958,0,3,5,5,1,12.0,24.0,2.0,39.0,2.0,23.0,1.0,4.0,3.0,4,1,2,0,3
2959,0,2,1,15,1,51.0,2.0,1.0,19.0,5.0,20.0,1.0,2.0,3.0,3,14,8,0,3
2961,1,1,84,6,4,82.0,27.0,1.0,18.0,2.0,60.0,3.0,1.0,4.0,7,15,4,0,3
2963,0,3,65,21,2,85.0,57.0,3.0,24.0,1.0,7.0,1.0,4.0,2.0,15,10,7,0,3
2964,1,1,22,68,1,94.0,57.0,2.0,77.0,1.0,98.0,4.0,3.0,1.0,10,7,2,0,3
2965,0,3,12,8,4,25.0,49.0,4.0,63.0,3.0,83.0,2.0,2.0,4.0,8,17,7,0,3
2966,1,2,55,60,4,56.0,36.0,1.0,18.0,5.0,85.0,1.0,3.0,1.0,12,9,2,0,3
2967,1,2,72,60,1,8.0,34.0,2.0,81.0,1.0,63.0,1.0,2.0,4.0,6,17,6,0,3
2968,1,1,66,82,1,71.0,23.0,1.0,72.0,3.0,47.0,3.0,5.0,1.0,7,11,3,0,3
2969,1,3,78,54,4,84.0,31.0,1.0,76.0,4.0,88.0,1.0,1.0,2.0,14,2,4,0,3
2970,0,3,6,7,5,38.0,44.0,5.0,81.0,2.0,25.0,3.0,4.0,2.0,28,10,5,0,3
2971,1,3,8,3,2,8.0,24.0,5.0,41.0,4.0,25.0,3.0,3.0,3.0,3,1,2,0,3
2972,0,3,7,14,1,2.0,33.0,2.0,46.0,5.0,29.0,2.0,1.0,4.0,3,1,2,0,3
2973,1,3,40,86,1,66.0,12.0,1.0,34.0,4.0,12.0,5.0,2.0,5.0,3,8,3,1,3
2974,1,2,79,73,1,71.0,60.0,2.0,7.0,3.0,98.0,5.0,4.0,2.0,17,6,3,0,3
2975,1,3,85,37,1,80.0,81.0,2.0,17.0,2.0,82.0,1.0,1.0,1.0,7,7,2,0,3
2977,1,2,26,68,1,87.0,48.0,2.0,36.0,2.0,74.0,1.0,5.0,1.0,13,7,5,0,3
2978,0,2,46,96,5,3.0,32.0,1.0,65.0,3.0,38.0,5.0,3.0,1.0,8,7,3,0,3
2980,0,1,12,28,4,45.0,48.0,4.0,62.0,4.0,31.0,1.0,2.0,2.0,10,16,6,0,3
2981,0,2,73,69,4,64.0,23.0,3.0,25.0,1.0,94.0,5.0,4.0,1.0,8,3,1,0,3
2982,0,3,1,3,5,6.0,33.0,2.0,34.0,1.0,23.0,5.0,3.0,4.0,0,1,2,0,3
2983,1,1,81,9,3,87.0,8.0,4.0,87.0,3.0,12.0,4.0,1.0,4.0,13,1,2,0,3
2984,0,2,2,3,1,13.0,16.0,3.0,41.0,2.0,27.0,4.0,2.0,1.0,1,1,1,0,3
2985,1,1,3,24,5,29.0,37.0,4.0,75.0,2.0,86.0,1.0,2.0,3.0,16,14,8,0,3
2989,1,3,16,39,1,61.0,20.0,1.0,0.0,5.0,38.0,5.0,5.0,5.0,8,7,1,1,3
2990,1,1,43,76,1,50.0,63.0,1.0,75.0,5.0,81.0,2.0,1.0,1.0,2,5,3,0,3
2991,0,3,7,15,1,4.0,56.0,2.0,49.0,1.0,20.0,1.0,1.0,4.0,1,1,1,0,3
2993,0,2,37,69,2,58.0,35.0,3.0,61.0,1.0,95.0,4.0,2.0,1.0,11,22,2,0,3
2995,1,3,7,10,1,1.0,24.0,2.0,40.0,2.0,26.0,1.0,1.0,3.0,0,1,2,0,3
2996,1,3,27,32,1,54.0,51.0,4.0,83.0,3.0,43.0,5.0,2.0,5.0,7,4,0,1,3
2997,1,1,70,65,3,85.0,47.0,3.0,29.0,3.0,53.0,3.0,1.0,4.0,13,9,2,0,3
2998,0,1,68,75,3,97.0,51.0,5.0,93.0,2.0,56.0,2.0,4.0,1.0,8,1,9,0,3
3000,0,3,3,16,1,9.0,17.0,5.0,25.0,5.0,26.0,2.0,4.0,4.0,3,1,1,0,3
3005,0,3,7,14,1,8.0,43.0,3.0,38.0,5.0,24.0,2.0,3.0,3.0,3,2,1,0,3
3006,1,1,15,14,5,25.0,36.0,3.0,62.0,2.0,90.0,3.0,5.0,3.0,7,6,5,0,3
3007,1,1,53,72,5,16.0,59.0,2.0,80.0,5.0,67.0,4.0,2.0,3.0,11,12,7,0,3
3008,1,3,9,14,1,5.0,48.0,4.0,33.0,2.0,26.0,2.0,3.0,1.0,4,1,1,0,3
3009,0,3,7,14,2,13.0,45.0,3.0,35.0,5.0,26.0,1.0,1.0,1.0,1,3,1,0,3
3011,0,3,2,10,1,4.0,19.0,5.0,39.0,1.0,23.0,1.0,3.0,3.0,3,1,1,0,3
3012,0,2,77,37,3,85.0,69.0,4.0,35.0,5.0,98.0,5.0,1.0,5.0,16,3,2,0,3
3013,0,2,99,69,2,72.0,78.0,1.0,37.0,1.0,73.0,1.0,1.0,1.0,16,8,2,0,3
3015,0,2,12,1,5,43.0,37.0,2.0,77.0,5.0,59.0,2.0,4.0,4.0,14,6,4,0,3
3016,1,3,86,60,5,22.0,62.0,1.0,88.0,5.0,30.0,5.0,2.0,4.0,0,15,9,0,3
3017,0,2,85,4,3,87.0,20.0,4.0,3.0,4.0,47.0,2.0,2.0,4.0,12,23,9,0,3
3018,1,3,7,8,1,4.0,16.0,4.0,42.0,5.0,23.0,4.0,1.0,2.0,3,3,1,0,3
3020,1,3,5,9,1,9.0,44.0,1.0,32.0,1.0,26.0,2.0,4.0,3.0,0,3,1,0,3
3021,1,3,32,71,5,86.0,39.0,2.0,73.0,4.0,96.0,3.0,4.0,2.0,10,5,4,0,3
3022,1,2,14,78,5,93.0,71.0,5.0,70.0,5.0,51.0,3.0,5.0,5.0,6,8,4,0,3
3023,1,3,54,69,1,91.0,74.0,2.0,85.0,5.0,62.0,2.0,4.0,3.0,7,3,1,0,3
3024,0,1,81,35,2,88.0,79.0,1.0,89.0,1.0,7.0,4.0,4.0,1.0,0,11,3,0,3
3025,1,2,3,17,1,99.0,15.0,1.0,41.0,3.0,28.0,5.0,3.0,2.0,19,10,2,0,3
3026,1,1,85,54,1,56.0,63.0,3.0,53.0,2.0,80.0,1.0,4.0,5.0,16,15,9,0,3
3027,1,3,3,1,1,8.0,33.0,2.0,36.0,1.0,21.0,1.0,1.0,3.0,4,3,2,0,3
3031,0,2,13,28,5,54.0,46.0,3.0,47.0,2.0,20.0,1.0,2.0,3.0,5,18,4,0,3
3033,1,1,39,17,5,47.0,90.0,5.0,15.0,3.0,23.0,4.0,5.0,3.0,2,1,2,1,3
3034,0,2,83,66,4,80.0,53.0,1.0,63.0,5.0,67.0,1.0,1.0,1.0,11,11,5,0,3
3035,0,3,3,9,1,7.0,57.0,2.0,41.0,2.0,25.0,2.0,3.0,1.0,2,3,1,0,3
3036,1,3,2,2,1,7.0,31.0,2.0,32.0,4.0,23.0,3.0,3.0,2.0,1,2,1,0,3
3037,1,1,78,97,1,77.0,7.0,1.0,52.0,4.0,91.0,5.0,1.0,5.0,5,5,4,0,3
3040,0,1,86,34,1,79.0,76.0,4.0,19.0,1.0,55.0,3.0,5.0,1.0,9,7,5,0,3
3043,0,3,8,4,1,9.0,12.0,2.0,24.0,1.0,21.0,2.0,2.0,1.0,0,3,2,0,3
3045,1,2,10,25,5,53.0,30.0,4.0,79.0,2.0,58.0,4.0,2.0,2.0,8,12,6,0,3
3046,1,1,97,11,5,90.0,75.0,5.0,59.0,5.0,32.0,4.0,2.0,1.0,4,11,3,0,3
3047,1,2,80,45,3,71.0,74.0,1.0,67.0,5.0,31.0,4.0,5.0,5.0,13,2,1,1,3
3048,0,2,19,8,4,48.0,50.0,4.0,97.0,5.0,91.0,3.0,4.0,2.0,16,5,6,0,3
3049,0,3,4,13,2,5.0,53.0,1.0,29.0,4.0,29.0,4.0,3.0,1.0,3,2,1,0,3
3051,0,3,7,16,1,8.0,38.0,5.0,33.0,2.0,20.0,1.0,3.0,4.0,3,1,2,0,3
3052,0,2,1,10,1,1.0,17.0,2.0,27.0,1.0,23.0,1.0,2.0,3.0,4,3,1,0,3
3053,1,3,75,51,1,95.0,53.0,3.0,23.0,5.0,47.0,1.0,3.0,1.0,2,5,2,0,3
3054,0,1,10,96,3,86.0,11.0,4.0,4.0,4.0,38.0,5.0,4.0,1.0,19,18,9,0,3
3056,0,1,1,22,5,22.0,49.0,3.0,85.0,3.0,58.0,1.0,2.0,3.0,3,17,8,0,3
3057,1,1,73,9,1,28.0,78.0,4.0,18.0,2.0,59.0,3.0,1.0,2.0,7,19,5,0,3
3059,1,3,37,74,5,75.0,59.0,3.0,67.0,1.0,92.0,1.0,5.0,5.0,5,5,4,0,3
3060,0,2,10,10,4,44.0,35.0,2.0,79.0,5.0,25.0,1.0,2.0,4.0,20,8,4,0,3
3061,1,3,85,79,1,69.0,26.0,4.0,61.0,3.0,27.0,5.0,1.0,3.0,0,7,3,1,3
3062,1,1,47,64,1,71.0,94.0,4.0,71.0,2.0,32.0,4.0,4.0,2.0,4,4,5,0,3
3063,0,3,4,11,1,5.0,48.0,2.0,29.0,2.0,28.0,1.0,3.0,4.0,3,3,2,0,3
3064,0,2,76,43,1,44.0,59.0,2.0,20.0,1.0,55.0,5.0,2.0,5.0,10,8,4,0,3
3065,1,1,88,25,1,53.0,23.0,5.0,61.0,2.0,21.0,5.0,2.0,4.0,12,8,1,1,3
3066,0,2,14,27,4,28.0,37.0,2.0,78.0,3.0,23.0,5.0,2.0,3.0,21,19,4,0,3
3067,1,2,65,35,1,76.0,76.0,1.0,26.0,4.0,28.0,1.0,1.0,1.0,6,4,4,0,3
3068,1,2,43,21,5,68.0,58.0,3.0,76.0,5.0,44.0,1.0,1.0,1.0,4,5,2,0,3
3069,1,3,57,58,3,68.0,31.0,1.0,62.0,5.0,71.0,2.0,5.0,1.0,13,6,5,0,3
3070,0,3,9,9,2,8.0,50.0,5.0,40.0,2.0,27.0,1.0,5.0,1.0,3,2,2,0,3
3072,1,2,1,22,4,20.0,30.0,4.0,93.0,3.0,85.0,5.0,2.0,3.0,13,12,6,0,3
3073,1,1,65,82,3,35.0,74.0,3.0,36.0,1.0,71.0,4.0,5.0,2.0,5,5,6,0,3
3074,0,2,1,28,4,54.0,45.0,4.0,73.0,2.0,63.0,3.0,2.0,3.0,7,6,5,0,3
3075,0,1,14,89,5,39.0,99.0,3.0,17.0,5.0,51.0,1.0,3.0,1.0,2,19,7,0,3
3076,0,3,90,2,5,29.0,60.0,1.0,71.0,5.0,9.0,2.0,1.0,2.0,11,12,1,0,3
3078,0,3,1,10,1,4.0,50.0,2.0,41.0,5.0,24.0,2.0,4.0,4.0,1,1,1,0,3
3079,1,3,12,29,4,30.0,38.0,4.0,84.0,4.0,40.0,1.0,3.0,2.0,6,14,7,0,3
3081,0,2,4,24,4,22.0,31.0,4.0,85.0,1.0,64.0,3.0,5.0,1.0,17,19,8,0,3
3082,0,3,99,36,3,71.0,83.0,1.0,72.0,4.0,50.0,3.0,2.0,1.0,4,3,4,0,3
3083,1,2,14,50,1,82.0,56.0,1.0,13.0,3.0,61.0,1.0,5.0,1.0,13,9,5,0,3
3084,0,3,2,13,5,7.0,42.0,3.0,32.0,2.0,29.0,3.0,3.0,4.0,2,2,2,0,3
3086,0,3,65,78,5,25.0,59.0,3.0,91.0,1.0,85.0,2.0,4.0,3.0,3,24,2,0,3
3087,1,3,84,97,1,53.0,68.0,1.0,69.0,5.0,27.0,1.0,1.0,4.0,18,10,1,0,3
3088,1,3,21,57,1,92.0,34.0,1.0,15.0,5.0,78.0,3.0,3.0,2.0,16,8,2,0,3
3089,1,1,62,5,2,73.0,80.0,1.0,80.0,2.0,64.0,2.0,3.0,2.0,14,21,1,0,3
3090,1,2,63,61,5,84.0,29.0,1.0,63.0,5.0,88.0,3.0,3.0,2.0,11,5,2,0,3
3092,1,3,11,67,4,89.0,42.0,3.0,5.0,2.0,72.0,4.0,5.0,1.0,10,7,4,0,3
3093,1,1,0,50,4,62.0,59.0,3.0,34.0,3.0,5.0,4.0,1.0,5.0,9,4,2,1,3
3094,0,3,9,11,1,11.0,44.0,1.0,35.0,4.0,22.0,4.0,1.0,3.0,3,3,1,0,3
3095,1,2,91,73,5,62.0,29.0,2.0,14.0,3.0,38.0,5.0,3.0,5.0,2,2,0,1,3
3096,0,2,1,8,1,5.0,30.0,4.0,28.0,1.0,25.0,1.0,3.0,3.0,3,3,1,0,3
3098,0,3,8,1,2,1.0,11.0,4.0,33.0,1.0,29.0,5.0,3.0,3.0,0,1,2,0,3
3099,1,3,82,69,2,85.0,33.0,1.0,22.0,5.0,80.0,3.0,4.0,1.0,15,2,1,0,3
3100,0,3,16,27,5,59.0,36.0,3.0,71.0,4.0,82.0,1.0,2.0,3.0,27,7,7,0,3
3101,1,1,49,82,3,95.0,3.0,1.0,4.0,2.0,37.0,2.0,4.0,4.0,4,5,3,1,3
3103,1,2,87,73,3,68.0,9.0,3.0,43.0,1.0,76.0,3.0,5.0,3.0,11,5,5,0,3
3105,1,3,6,1,5,6.0,46.0,2.0,32.0,4.0,28.0,2.0,4.0,3.0,3,1,2,0,3
3106,0,3,8,1,1,3.0,26.0,1.0,31.0,1.0,28.0,2.0,3.0,1.0,0,3,2,0,3
3107,0,2,17,6,4,71.0,89.0,4.0,24.0,1.0,74.0,4.0,1.0,2.0,18,15,9,0,3
3110,0,1,12,6,4,29.0,36.0,4.0,57.0,2.0,69.0,3.0,2.0,4.0,8,18,6,0,3
3111,0,3,3,11,1,2.0,22.0,2.0,37.0,1.0,22.0,5.0,4.0,4.0,1,2,2,0,3
3112,1,3,35,78,2,81.0,58.0,1.0,84.0,1.0,99.0,4.0,4.0,1.0,10,9,2,0,3
3113,0,1,11,9,5,48.0,36.0,4.0,67.0,3.0,63.0,2.0,5.0,2.0,26,16,8,0,3
3114,0,2,3,19,5,45.0,37.0,4.0,62.0,2.0,96.0,2.0,2.0,3.0,9,14,6,0,3
3117,1,1,31,33,4,36.0,58.0,5.0,32.0,4.0,30.0,5.0,2.0,4.0,13,0,1,1,3
3118,1,3,64,2,4,12.0,62.0,2.0,36.0,5.0,19.0,1.0,1.0,2.0,18,1,4,0,3
3119,0,3,1,7,2,12.0,19.0,4.0,32.0,1.0,24.0,4.0,4.0,1.0,4,2,2,0,3
3122,1,3,73,69,2,54.0,68.0,3.0,37.0,2.0,90.0,4.0,5.0,1.0,11,6,5,0,3
3123,1,1,14,78,5,77.0,51.0,2.0,8.0,5.0,58.0,1.0,1.0,1.0,16,9,4,0,3
3124,0,3,2,11,1,6.0,17.0,2.0,37.0,4.0,25.0,1.0,4.0,1.0,4,2,2,0,3
3125,0,3,76,98,4,75.0,18.0,3.0,73.0,2.0,33.0,5.0,4.0,1.0,18,22,8,0,3
3126,1,1,79,36,3,66.0,3.0,1.0,7.0,4.0,0.0,4.0,2.0,4.0,2,1,1,1,3
3127,0,2,6,1,5,23.0,38.0,2.0,64.0,3.0,36.0,4.0,2.0,1.0,14,19,7,0,3
3128,1,1,94,68,4,22.0,22.0,4.0,36.0,4.0,34.0,5.0,4.0,4.0,10,3,2,1,3
3129,1,3,37,14,4,42.0,73.0,3.0,20.0,2.0,45.0,4.0,5.0,5.0,5,2,1,1,3
3130,1,3,65,56,5,86.0,43.0,1.0,46.0,2.0,21.0,3.0,1.0,1.0,11,7,5,0,3
3131,1,1,19,54,3,61.0,68.0,5.0,72.0,1.0,80.0,2.0,3.0,2.0,8,6,5,0,3
3132,1,2,14,29,5,35.0,42.0,4.0,87.0,3.0,70.0,4.0,5.0,1.0,28,5,8,0,3
3134,1,3,30,60,2,80.0,28.0,1.0,37.0,2.0,62.0,5.0,5.0,3.0,5,3,1,0,3
3136,0,2,71,34,1,76.0,10.0,1.0,26.0,2.0,79.0,2.0,1.0,1.0,9,3,5,0,3
3138,0,2,80,83,4,90.0,49.0,3.0,30.0,3.0,84.0,2.0,1.0,4.0,12,21,9,0,3
3139,1,1,45,53,4,84.0,33.0,4.0,87.0,5.0,54.0,5.0,5.0,1.0,11,6,3,0,3
3141,1,3,79,63,3,47.0,22.0,5.0,65.0,3.0,41.0,3.0,1.0,3.0,18,22,5,0,3
3144,1,3,11,73,4,68.0,46.0,2.0,87.0,5.0,83.0,4.0,1.0,1.0,9,9,3,0,3
3149,1,1,48,64,1,98.0,69.0,1.0,60.0,1.0,66.0,2.0,1.0,1.0,9,6,4,0,3
3150,0,2,40,31,2,66.0,2.0,2.0,55.0,5.0,60.0,5.0,3.0,2.0,0,2,5,0,3
3151,0,1,4,26,4,30.0,34.0,4.0,45.0,2.0,23.0,2.0,4.0,3.0,21,7,5,0,3
3152,1,3,63,78,1,50.0,74.0,3.0,85.0,5.0,70.0,3.0,4.0,1.0,8,9,3,0,3
3153,0,2,9,8,4,32.0,35.0,4.0,50.0,4.0,70.0,4.0,3.0,3.0,24,4,8,0,3
3154,0,3,97,36,2,58.0,62.0,1.0,45.0,1.0,71.0,5.0,2.0,1.0,11,3,4,0,3
3155,1,1,64,61,2,49.0,59.0,4.0,19.0,2.0,84.0,1.0,4.0,1.0,11,8,1,0,3
3158,0,1,13,2,5,33.0,34.0,2.0,61.0,3.0,38.0,4.0,2.0,4.0,20,6,5,0,3
3159,1,3,8,1,1,10.0,52.0,1.0,49.0,4.0,25.0,1.0,1.0,3.0,3,2,2,0,3
3162,1,1,88,51,1,90.0,58.0,1.0,26.0,5.0,24.0,1.0,3.0,1.0,14,3,4,0,3
3163,0,3,2,14,2,5.0,22.0,2.0,30.0,2.0,29.0,3.0,3.0,2.0,3,1,2,0,3
3164,1,3,5,6,1,11.0,57.0,2.0,37.0,1.0,21.0,1.0,2.0,3.0,4,3,1,0,3
3165,1,2,96,87,1,90.0,89.0,1.0,5.0,5.0,42.0,5.0,4.0,1.0,14,3,5,0,3
