,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,final_dropout
3291,1,1,20,89,4,71.0,78.0,5.0,45.0,4.0,22.0,5.0,1.0,5.0,2,2,2,1
3292,0,3,16,5,4,48.0,41.0,4.0,81.0,3.0,81.0,3.0,2.0,3.0,18,16,5,0
3294,1,1,86,89,3,4.0,67.0,1.0,77.0,2.0,92.0,4.0,3.0,5.0,13,18,5,0
3295,0,2,85,66,1,81.0,30.0,3.0,32.0,5.0,72.0,1.0,1.0,4.0,14,8,5,0
3296,0,1,38,50,3,25.0,32.0,3.0,27.0,2.0,89.0,1.0,5.0,2.0,14,11,7,0
3297,0,3,3,3,1,4.0,45.0,4.0,38.0,1.0,23.0,1.0,2.0,3.0,3,2,2,0
3298,1,2,84,47,1,75.0,62.0,4.0,33.0,5.0,87.0,5.0,5.0,5.0,4,4,4,0
3300,0,2,99,41,2,66.0,12.0,2.0,70.0,3.0,43.0,3.0,2.0,4.0,14,3,4,0
3303,0,2,76,83,1,87.0,97.0,1.0,38.0,1.0,56.0,1.0,1.0,3.0,4,8,5,0
3304,1,3,46,36,5,82.0,48.0,3.0,57.0,5.0,64.0,5.0,1.0,3.0,11,4,3,0
3305,0,2,65,88,5,65.0,17.0,1.0,50.0,3.0,48.0,5.0,4.0,1.0,6,11,2,0
3306,1,3,27,91,4,23.0,29.0,3.0,75.0,5.0,30.0,1.0,3.0,2.0,13,15,9,0
3307,1,2,69,58,4,50.0,14.0,5.0,98.0,5.0,64.0,2.0,5.0,2.0,1,10,7,0
3309,1,2,56,35,1,49.0,95.0,4.0,28.0,2.0,37.0,5.0,1.0,3.0,10,10,4,0
3310,0,1,14,23,5,57.0,34.0,4.0,63.0,3.0,49.0,3.0,5.0,3.0,4,14,7,0
3311,1,2,52,54,5,99.0,74.0,2.0,55.0,3.0,74.0,3.0,4.0,1.0,6,5,4,0
3315,1,1,66,68,4,88.0,61.0,2.0,74.0,5.0,52.0,3.0,1.0,2.0,16,7,4,0
3317,1,2,63,58,1,67.0,24.0,4.0,18.0,1.0,63.0,5.0,1.0,1.0,14,6,2,0
3318,0,3,6,1,1,4.0,55.0,3.0,43.0,2.0,23.0,5.0,4.0,3.0,3,1,1,0
3319,1,3,48,51,5,88.0,59.0,2.0,57.0,5.0,76.0,3.0,5.0,1.0,17,6,3,0
3320,1,2,23,59,1,59.0,56.0,2.0,26.0,1.0,70.0,5.0,4.0,2.0,7,6,4,0
3321,1,3,75,32,2,56.0,94.0,1.0,42.0,1.0,26.0,5.0,3.0,3.0,10,11,5,0
3322,0,2,19,3,4,40.0,36.0,4.0,47.0,3.0,67.0,1.0,4.0,2.0,12,13,4,0
3323,0,3,6,12,5,12.0,10.0,4.0,39.0,4.0,24.0,4.0,4.0,1.0,3,3,2,0
3324,1,2,10,23,5,34.0,39.0,3.0,54.0,3.0,55.0,1.0,4.0,2.0,11,3,8,0
3325,0,3,9,15,1,9.0,39.0,2.0,24.0,5.0,26.0,1.0,4.0,1.0,1,1,2,0
3326,0,3,8,1,2,6.0,10.0,5.0,41.0,4.0,26.0,2.0,3.0,1.0,2,3,1,0
3327,1,3,35,74,4,71.0,49.0,2.0,27.0,5.0,80.0,1.0,5.0,2.0,14,6,5,0
3329,1,3,75,74,3,95.0,38.0,2.0,94.0,5.0,59.0,1.0,5.0,1.0,6,6,5,0
3330,0,2,29,22,4,23.0,54.0,3.0,5.0,1.0,6.0,3.0,5.0,3.0,15,14,7,0
3331,1,2,4,11,1,11.0,33.0,1.0,39.0,4.0,23.0,5.0,5.0,2.0,4,3,1,0
3333,1,2,13,11,5,21.0,32.0,4.0,68.0,4.0,81.0,1.0,2.0,4.0,8,12,4,0
3334,1,3,15,69,4,91.0,58.0,2.0,72.0,2.0,89.0,3.0,3.0,2.0,11,8,5,0
3336,0,3,4,10,1,2.0,21.0,2.0,34.0,5.0,29.0,3.0,4.0,1.0,2,1,1,0
3337,0,3,16,12,5,36.0,39.0,2.0,60.0,3.0,74.0,4.0,2.0,2.0,4,12,5,0
3338,0,2,10,16,4,35.0,38.0,3.0,72.0,1.0,50.0,1.0,5.0,4.0,5,9,6,0
3340,0,2,62,85,1,58.0,49.0,1.0,30.0,2.0,22.0,4.0,1.0,3.0,4,10,2,0
3341,1,1,41,55,5,81.0,59.0,4.0,22.0,2.0,97.0,3.0,5.0,1.0,6,7,3,0
3342,0,2,14,19,4,46.0,49.0,4.0,78.0,5.0,55.0,4.0,3.0,3.0,4,15,6,0
3343,0,2,75,10,2,9.0,43.0,3.0,79.0,2.0,95.0,4.0,5.0,2.0,15,17,6,0
3345,1,3,41,79,1,56.0,26.0,3.0,95.0,1.0,75.0,3.0,4.0,4.0,10,6,4,0
3348,1,3,50,69,2,58.0,65.0,4.0,48.0,5.0,54.0,4.0,1.0,2.0,5,7,3,0
3349,1,1,9,85,4,65.0,98.0,1.0,50.0,1.0,7.0,5.0,1.0,5.0,12,11,8,0
3351,1,2,12,79,1,66.0,32.0,2.0,81.0,5.0,93.0,3.0,5.0,4.0,17,5,3,0
3352,1,2,19,15,4,32.0,43.0,4.0,85.0,3.0,28.0,2.0,3.0,3.0,26,17,5,0
3354,0,2,8,3,2,2.0,57.0,3.0,39.0,2.0,22.0,1.0,3.0,2.0,2,3,2,0
3355,0,3,5,13,2,11.0,17.0,2.0,45.0,1.0,23.0,2.0,5.0,3.0,0,2,2,0
3356,1,1,48,58,1,92.0,21.0,1.0,13.0,3.0,50.0,3.0,4.0,2.0,5,5,3,0
3358,0,1,81,51,3,86.0,59.0,1.0,9.0,2.0,37.0,3.0,1.0,1.0,10,10,3,0
3359,1,3,15,77,1,57.0,77.0,5.0,10.0,5.0,66.0,2.0,5.0,2.0,11,7,3,0
3360,1,3,63,53,3,88.0,27.0,1.0,82.0,4.0,80.0,3.0,5.0,1.0,12,7,5,0
3361,0,2,63,40,3,57.0,18.0,1.0,51.0,5.0,91.0,1.0,5.0,4.0,7,5,2,0
3362,1,2,76,79,5,99.0,78.0,1.0,71.0,1.0,6.0,1.0,2.0,4.0,3,21,8,0
3363,1,2,12,9,5,26.0,54.0,5.0,86.0,4.0,54.0,1.0,2.0,4.0,12,7,6,0
3365,1,2,4,71,2,52.0,12.0,1.0,70.0,1.0,85.0,5.0,1.0,4.0,15,21,6,0
3366,0,3,87,97,5,77.0,45.0,2.0,33.0,5.0,80.0,2.0,2.0,3.0,2,1,7,0
3367,1,3,1,2,1,2.0,49.0,3.0,33.0,1.0,25.0,5.0,3.0,2.0,0,2,1,0
3368,0,2,18,18,5,47.0,42.0,3.0,61.0,2.0,70.0,1.0,3.0,1.0,4,5,5,0
3369,1,2,63,86,1,85.0,87.0,1.0,9.0,1.0,70.0,1.0,3.0,1.0,7,11,4,0
3370,0,1,4,19,4,51.0,39.0,2.0,72.0,3.0,59.0,5.0,4.0,2.0,9,5,8,0
3372,0,3,5,10,1,1.0,45.0,1.0,26.0,1.0,28.0,2.0,5.0,1.0,0,1,2,0
3373,1,1,47,68,5,73.0,29.0,3.0,6.0,3.0,62.0,1.0,3.0,2.0,10,5,2,0
3375,1,2,49,45,5,37.0,49.0,2.0,33.0,4.0,64.0,4.0,4.0,4.0,0,19,4,0
3376,1,1,60,43,1,73.0,69.0,3.0,19.0,2.0,50.0,5.0,1.0,3.0,14,9,5,0
3377,1,3,79,66,1,46.0,57.0,3.0,34.0,3.0,92.0,1.0,2.0,3.0,16,6,1,0
3378,1,3,37,35,4,54.0,67.0,2.0,69.0,3.0,80.0,1.0,5.0,1.0,9,4,4,0
3379,0,2,84,80,3,14.0,29.0,2.0,23.0,4.0,9.0,4.0,1.0,1.0,3,2,5,0
3380,0,3,58,72,4,70.0,22.0,5.0,54.0,1.0,5.0,2.0,4.0,3.0,11,23,5,0
3381,1,3,62,58,3,74.0,41.0,1.0,23.0,1.0,60.0,1.0,5.0,4.0,15,5,5,0
3382,0,1,15,5,5,55.0,43.0,4.0,52.0,3.0,66.0,4.0,5.0,3.0,26,13,8,0
3383,0,2,63,93,4,72.0,8.0,1.0,38.0,1.0,62.0,1.0,4.0,4.0,15,5,5,0
3384,1,3,30,98,5,73.0,76.0,1.0,30.0,4.0,71.0,1.0,1.0,2.0,12,3,3,0
3385,0,3,16,11,5,40.0,43.0,4.0,74.0,2.0,97.0,3.0,3.0,3.0,22,4,5,0
3387,1,3,27,75,5,87.0,55.0,4.0,59.0,3.0,69.0,5.0,2.0,4.0,9,16,6,0
3388,1,1,7,8,5,36.0,53.0,4.0,48.0,3.0,54.0,2.0,5.0,3.0,23,9,6,0
3389,1,2,54,26,5,10.0,32.0,2.0,41.0,4.0,65.0,3.0,1.0,1.0,12,6,4,0
3390,0,3,81,55,1,84.0,99.0,2.0,41.0,5.0,74.0,5.0,5.0,1.0,12,6,1,0
3391,0,2,19,20,4,37.0,35.0,5.0,65.0,5.0,94.0,4.0,1.0,1.0,23,8,8,0
3395,1,3,34,58,1,64.0,50.0,5.0,29.0,1.0,67.0,3.0,3.0,1.0,7,6,2,0
3396,0,3,6,8,5,11.0,40.0,5.0,44.0,1.0,25.0,5.0,1.0,2.0,0,2,2,0
3397,1,2,39,73,5,88.0,74.0,2.0,44.0,4.0,65.0,1.0,5.0,5.0,11,8,4,0
3399,1,3,11,77,1,51.0,75.0,2.0,61.0,4.0,61.0,5.0,4.0,1.0,13,5,4,0
3401,0,1,41,38,1,8.0,28.0,3.0,78.0,2.0,35.0,3.0,2.0,3.0,8,22,3,0
3402,1,2,17,8,4,36.0,39.0,4.0,90.0,4.0,60.0,2.0,2.0,4.0,11,17,8,0
3404,1,3,99,50,4,66.0,35.0,2.0,36.0,3.0,77.0,1.0,2.0,1.0,3,9,2,0
3405,1,2,86,76,3,96.0,56.0,4.0,28.0,2.0,15.0,3.0,5.0,4.0,13,5,4,0
3406,0,3,4,6,2,6.0,14.0,4.0,29.0,2.0,26.0,3.0,3.0,4.0,3,3,1,0
3408,0,3,8,10,1,1.0,26.0,4.0,46.0,2.0,23.0,4.0,1.0,2.0,0,1,1,0
3409,1,3,70,68,1,63.0,58.0,1.0,9.0,1.0,92.0,1.0,2.0,4.0,12,6,1,0
3410,1,2,33,19,2,56.0,32.0,2.0,71.0,4.0,34.0,4.0,4.0,4.0,2,0,1,1
3411,1,3,9,15,1,5.0,47.0,1.0,41.0,1.0,28.0,5.0,2.0,3.0,1,1,2,0
3412,0,3,16,10,4,40.0,52.0,3.0,72.0,5.0,81.0,3.0,5.0,2.0,18,7,7,0
3413,0,3,6,5,5,13.0,52.0,5.0,27.0,1.0,23.0,1.0,5.0,1.0,4,2,2,0
3414,1,3,1,5,5,4.0,22.0,2.0,49.0,2.0,23.0,1.0,3.0,3.0,4,2,2,0
3415,1,2,28,67,1,89.0,58.0,3.0,58.0,2.0,14.0,3.0,5.0,3.0,6,2,3,1
3416,1,3,1,2,5,7.0,23.0,5.0,44.0,1.0,25.0,1.0,4.0,1.0,3,1,2,0
3417,0,3,2,8,1,1.0,54.0,3.0,35.0,4.0,22.0,1.0,1.0,2.0,4,1,2,0
3418,1,3,31,53,2,51.0,71.0,1.0,54.0,3.0,91.0,2.0,5.0,2.0,8,8,4,0
3419,0,2,7,24,4,55.0,34.0,3.0,83.0,5.0,26.0,1.0,4.0,3.0,14,12,7,0
3420,1,3,45,50,4,56.0,43.0,2.0,3.0,2.0,53.0,3.0,5.0,2.0,17,8,5,0
3422,0,3,24,59,5,11.0,58.0,2.0,88.0,1.0,10.0,5.0,2.0,1.0,13,4,4,0
3423,1,3,22,71,1,88.0,57.0,3.0,13.0,2.0,57.0,2.0,4.0,1.0,11,7,2,0
3424,0,3,12,14,5,53.0,38.0,3.0,95.0,4.0,98.0,3.0,3.0,3.0,27,4,6,0
3425,0,3,11,6,5,24.0,38.0,4.0,68.0,1.0,84.0,1.0,4.0,3.0,23,19,5,0
3426,1,3,83,43,1,86.0,88.0,2.0,69.0,2.0,27.0,5.0,1.0,3.0,3,11,5,0
3427,0,2,5,6,1,3.0,40.0,3.0,42.0,1.0,26.0,1.0,2.0,2.0,3,2,1,0
3431,1,3,10,77,2,87.0,41.0,3.0,69.0,1.0,54.0,2.0,3.0,2.0,8,5,3,0
3432,1,3,9,4,1,3.0,37.0,1.0,43.0,2.0,20.0,2.0,3.0,1.0,3,1,2,0
3433,1,2,82,8,1,14.0,97.0,5.0,49.0,2.0,10.0,5.0,1.0,4.0,12,4,9,0
3435,0,1,2,40,5,66.0,90.0,3.0,86.0,4.0,31.0,3.0,2.0,3.0,17,15,3,0
3436,0,3,2,7,5,6.0,21.0,2.0,37.0,1.0,27.0,1.0,3.0,3.0,4,3,2,0
3437,1,2,86,91,2,80.0,9.0,3.0,45.0,2.0,88.0,4.0,4.0,3.0,7,21,1,0
3440,1,3,39,4,1,50.0,39.0,3.0,5.0,3.0,11.0,5.0,2.0,4.0,4,7,0,1
3442,1,3,4,5,5,69.0,55.0,4.0,4.0,5.0,70.0,2.0,4.0,3.0,3,9,8,0
3443,1,1,73,54,5,58.0,3.0,4.0,25.0,5.0,88.0,1.0,1.0,1.0,5,21,8,0
3447,0,1,9,23,4,57.0,43.0,4.0,68.0,4.0,45.0,1.0,3.0,1.0,15,6,6,0
3449,0,3,5,20,4,30.0,42.0,4.0,60.0,3.0,94.0,1.0,5.0,1.0,6,6,7,0
3450,1,3,2,9,2,2.0,36.0,3.0,24.0,4.0,22.0,4.0,4.0,3.0,1,2,2,0
3452,0,2,16,26,4,47.0,43.0,4.0,88.0,2.0,32.0,5.0,4.0,1.0,9,8,5,0
3454,0,1,16,6,4,38.0,30.0,3.0,66.0,2.0,88.0,3.0,2.0,3.0,18,18,8,0
3455,1,3,36,71,2,16.0,65.0,5.0,5.0,4.0,30.0,4.0,4.0,5.0,13,1,0,1
3456,0,2,6,29,2,35.0,68.0,2.0,45.0,3.0,26.0,5.0,4.0,5.0,13,8,8,0
3458,0,3,7,9,5,13.0,29.0,4.0,34.0,2.0,29.0,2.0,2.0,2.0,0,1,1,0
3460,1,3,66,62,5,91.0,46.0,2.0,60.0,5.0,81.0,5.0,1.0,2.0,10,6,5,0
3461,0,3,96,89,5,53.0,37.0,1.0,36.0,3.0,97.0,1.0,4.0,4.0,10,8,1,0
3462,1,3,99,30,2,77.0,58.0,5.0,15.0,3.0,27.0,3.0,4.0,5.0,13,2,2,1
3464,0,2,79,99,1,83.0,15.0,5.0,76.0,1.0,38.0,1.0,2.0,3.0,7,8,3,0
3465,0,2,17,1,4,25.0,43.0,3.0,95.0,3.0,67.0,5.0,2.0,3.0,27,9,7,0
3466,1,2,71,86,5,87.0,63.0,1.0,3.0,4.0,76.0,5.0,2.0,3.0,5,5,2,0
3467,1,2,30,32,2,60.0,13.0,2.0,44.0,5.0,85.0,4.0,4.0,2.0,5,20,9,0
3469,0,3,1,13,1,2.0,32.0,2.0,27.0,5.0,20.0,4.0,4.0,1.0,4,3,2,0
3470,0,3,6,1,2,11.0,17.0,4.0,44.0,2.0,26.0,1.0,2.0,1.0,2,3,2,0
3472,0,3,5,20,4,31.0,44.0,4.0,47.0,2.0,82.0,3.0,2.0,3.0,12,7,8,0
3473,1,2,31,79,5,84.0,61.0,4.0,37.0,5.0,79.0,3.0,3.0,1.0,12,5,5,0
3474,1,3,40,52,2,70.0,47.0,1.0,54.0,4.0,69.0,3.0,5.0,5.0,7,8,4,0
3475,1,3,49,70,3,87.0,61.0,1.0,98.0,2.0,89.0,5.0,5.0,1.0,17,8,3,0
3476,1,2,4,7,5,44.0,41.0,3.0,87.0,2.0,63.0,2.0,4.0,2.0,18,17,7,0
3477,1,3,8,7,1,7.0,8.0,1.0,31.0,4.0,23.0,4.0,5.0,4.0,4,2,2,0
3479,0,3,9,15,1,2.0,49.0,1.0,49.0,1.0,27.0,1.0,1.0,4.0,0,1,2,0
3480,0,3,86,42,5,71.0,24.0,5.0,73.0,4.0,97.0,3.0,2.0,4.0,10,2,5,0
3481,0,2,73,32,3,61.0,92.0,1.0,30.0,1.0,51.0,5.0,3.0,4.0,18,11,3,0
3482,0,2,96,66,4,56.0,62.0,4.0,55.0,1.0,56.0,2.0,1.0,2.0,15,9,3,0
3483,1,1,39,41,3,73.0,56.0,2.0,19.0,5.0,73.0,1.0,4.0,4.0,13,15,9,0
3484,1,2,56,21,3,31.0,72.0,4.0,77.0,5.0,33.0,4.0,1.0,4.0,7,17,3,0
3486,1,3,1,7,1,13.0,23.0,3.0,38.0,2.0,21.0,2.0,3.0,3.0,4,2,1,0
3487,0,3,74,84,1,83.0,41.0,2.0,62.0,3.0,79.0,2.0,4.0,1.0,11,6,3,0
3488,1,2,12,29,5,50.0,51.0,5.0,80.0,1.0,85.0,3.0,4.0,3.0,23,15,7,0
3489,1,2,23,59,2,15.0,13.0,4.0,19.0,1.0,62.0,5.0,1.0,1.0,1,13,5,0
3491,1,2,22,72,1,58.0,68.0,1.0,19.0,5.0,53.0,3.0,5.0,2.0,6,9,2,0
3492,0,3,2,21,1,74.0,21.0,4.0,8.0,1.0,96.0,5.0,1.0,4.0,6,1,2,0
3494,0,1,17,19,5,41.0,42.0,4.0,71.0,5.0,67.0,2.0,1.0,4.0,6,13,6,0
3495,0,3,7,4,1,5.0,13.0,4.0,28.0,2.0,22.0,4.0,5.0,3.0,3,1,2,0
3497,1,1,36,1,1,82.0,74.0,1.0,33.0,5.0,60.0,1.0,1.0,5.0,6,2,4,0
3498,1,1,57,10,3,48.0,82.0,3.0,35.0,2.0,20.0,1.0,5.0,4.0,9,7,9,0
3499,0,3,15,9,5,33.0,35.0,4.0,64.0,3.0,90.0,3.0,3.0,2.0,20,14,7,0
3500,1,3,2,16,1,1.0,25.0,3.0,28.0,1.0,29.0,5.0,1.0,1.0,3,2,2,0
3501,1,3,76,22,2,57.0,71.0,5.0,76.0,5.0,85.0,4.0,2.0,1.0,13,6,1,0
3503,0,2,5,1,4,31.0,47.0,2.0,94.0,3.0,41.0,2.0,2.0,2.0,16,5,6,0
3504,0,3,90,31,3,57.0,32.0,1.0,38.0,1.0,27.0,2.0,1.0,4.0,12,6,3,0
3507,1,1,36,73,3,78.0,46.0,1.0,89.0,4.0,61.0,1.0,5.0,4.0,8,6,3,0
3508,1,3,64,86,3,40.0,42.0,4.0,67.0,1.0,47.0,1.0,1.0,4.0,8,9,5,0
3509,0,3,3,7,5,4.0,47.0,4.0,38.0,1.0,29.0,1.0,3.0,3.0,2,1,2,0
3510,0,1,74,43,5,44.0,84.0,3.0,25.0,2.0,33.0,1.0,5.0,1.0,19,11,5,0
3511,1,3,80,27,2,89.0,80.0,1.0,54.0,4.0,7.0,5.0,5.0,5.0,13,5,0,1
3512,0,2,75,82,1,51.0,82.0,2.0,54.0,1.0,41.0,1.0,5.0,3.0,11,10,1,0
3513,0,2,8,2,5,33.0,45.0,4.0,63.0,2.0,37.0,1.0,3.0,2.0,23,6,6,0
3514,1,3,82,83,1,73.0,21.0,4.0,30.0,5.0,91.0,4.0,2.0,5.0,14,9,1,0
3515,0,3,1,2,5,48.0,52.0,4.0,47.0,3.0,47.0,4.0,2.0,4.0,16,10,6,0
3516,0,2,18,19,5,28.0,40.0,5.0,46.0,2.0,92.0,1.0,3.0,4.0,23,9,4,0
3518,1,1,59,5,1,57.0,18.0,4.0,59.0,4.0,17.0,5.0,5.0,4.0,11,0,2,1
3519,0,1,16,27,5,36.0,44.0,4.0,51.0,3.0,30.0,2.0,2.0,3.0,20,17,5,0
3520,1,3,46,96,2,85.0,33.0,3.0,80.0,4.0,42.0,2.0,1.0,5.0,1,2,3,1
3521,0,3,4,4,5,6.0,51.0,2.0,47.0,2.0,23.0,5.0,2.0,3.0,1,1,1,0
3523,0,3,5,5,2,9.0,43.0,1.0,29.0,1.0,23.0,1.0,1.0,1.0,2,3,2,0
3524,1,1,24,56,1,96.0,60.0,2.0,37.0,1.0,76.0,4.0,3.0,1.0,11,9,5,0
3525,0,1,11,8,5,33.0,52.0,4.0,52.0,2.0,40.0,5.0,1.0,1.0,25,11,7,0
3526,0,3,12,16,5,51.0,42.0,4.0,84.0,3.0,72.0,4.0,1.0,3.0,16,10,6,0
3528,1,3,28,53,5,93.0,43.0,3.0,36.0,1.0,51.0,3.0,3.0,5.0,15,7,3,0
3530,0,1,13,76,4,26.0,91.0,3.0,20.0,5.0,69.0,1.0,5.0,2.0,12,7,2,0
3532,0,2,55,36,3,45.0,43.0,1.0,16.0,2.0,20.0,2.0,1.0,5.0,12,10,2,0
3533,0,2,84,42,5,16.0,22.0,3.0,38.0,1.0,10.0,3.0,1.0,4.0,10,1,8,0
3536,1,3,88,65,4,55.0,15.0,1.0,66.0,4.0,88.0,4.0,1.0,3.0,10,3,1,0
3537,1,2,1,3,5,7.0,51.0,3.0,39.0,1.0,24.0,1.0,3.0,4.0,0,1,2,0
3538,1,3,86,82,1,75.0,34.0,5.0,67.0,1.0,30.0,1.0,3.0,4.0,11,7,3,0
3539,0,3,4,10,5,10.0,41.0,4.0,49.0,2.0,24.0,1.0,1.0,1.0,2,3,2,0
3541,0,1,91,31,1,44.0,54.0,1.0,64.0,5.0,43.0,1.0,5.0,4.0,6,8,2,0
3542,0,2,1,5,5,36.0,38.0,4.0,95.0,2.0,37.0,4.0,4.0,2.0,7,18,4,0
3544,0,2,95,38,1,83.0,17.0,5.0,11.0,4.0,9.0,3.0,1.0,2.0,15,3,7,0
3545,0,3,1,24,3,56.0,79.0,3.0,66.0,4.0,45.0,5.0,1.0,1.0,14,16,2,0
3546,1,1,8,28,4,57.0,32.0,2.0,87.0,1.0,46.0,3.0,2.0,2.0,13,9,6,0
3549,1,3,7,55,3,7.0,45.0,1.0,29.0,3.0,9.0,3.0,2.0,5.0,9,0,0,1
3550,0,2,5,16,1,1.0,43.0,2.0,26.0,2.0,23.0,1.0,3.0,1.0,4,2,2,0
3551,0,3,18,20,5,41.0,43.0,3.0,86.0,3.0,36.0,1.0,5.0,4.0,17,8,8,0
3552,0,2,97,60,1,88.0,77.0,2.0,45.0,2.0,78.0,1.0,2.0,4.0,10,6,5,0
3553,1,3,3,12,1,9.0,49.0,4.0,35.0,2.0,20.0,1.0,3.0,3.0,2,3,2,0
3555,1,3,2,8,1,6.0,39.0,4.0,30.0,2.0,22.0,4.0,1.0,2.0,1,3,2,0
3556,0,2,95,47,1,52.0,10.0,3.0,74.0,1.0,87.0,5.0,3.0,1.0,4,7,4,0
3557,1,3,87,21,3,25.0,87.0,2.0,86.0,5.0,32.0,1.0,3.0,1.0,2,15,9,0
3558,0,3,69,19,4,10.0,74.0,2.0,85.0,1.0,20.0,4.0,1.0,1.0,10,19,9,0
3561,1,3,29,64,3,79.0,31.0,3.0,33.0,3.0,64.0,5.0,5.0,1.0,16,9,4,0
3562,1,3,96,94,1,50.0,79.0,4.0,56.0,5.0,30.0,5.0,1.0,1.0,8,6,4,0
3563,1,3,3,3,1,1.0,35.0,2.0,34.0,4.0,22.0,1.0,1.0,4.0,4,1,1,0
3564,1,1,22,34,4,39.0,33.0,3.0,30.0,1.0,81.0,3.0,2.0,3.0,14,23,1,0
3566,1,3,71,70,5,88.0,78.0,3.0,19.0,5.0,90.0,3.0,1.0,2.0,10,9,2,0
3568,1,1,66,92,4,45.0,46.0,1.0,37.0,5.0,36.0,4.0,3.0,4.0,6,1,0,1
3569,0,2,17,14,4,53.0,38.0,5.0,49.0,3.0,54.0,2.0,2.0,3.0,24,16,8,0
3570,1,2,68,60,1,94.0,35.0,2.0,89.0,5.0,74.0,3.0,5.0,2.0,17,5,3,0
3572,1,3,39,9,2,28.0,22.0,3.0,54.0,4.0,17.0,5.0,5.0,3.0,4,5,1,1
3573,1,2,44,75,4,93.0,52.0,1.0,90.0,5.0,86.0,1.0,4.0,1.0,11,9,5,0
3574,1,1,19,14,4,38.0,30.0,4.0,72.0,2.0,77.0,3.0,2.0,4.0,29,6,7,0
3575,1,2,16,9,5,45.0,36.0,3.0,49.0,5.0,69.0,5.0,2.0,4.0,23,17,4,0
3579,1,2,34,65,5,41.0,66.0,1.0,60.0,3.0,40.0,3.0,1.0,2.0,9,15,7,0
3580,0,3,3,13,1,12.0,38.0,4.0,43.0,1.0,22.0,2.0,3.0,4.0,3,1,2,0
3582,1,2,82,85,5,50.0,22.0,3.0,80.0,2.0,99.0,1.0,5.0,4.0,11,15,9,0
3583,1,3,4,2,5,5.0,19.0,4.0,40.0,1.0,21.0,2.0,2.0,3.0,1,1,1,0
3585,0,1,19,3,4,49.0,31.0,3.0,63.0,2.0,94.0,3.0,4.0,2.0,17,12,6,0
3587,1,2,56,49,5,80.0,33.0,1.0,34.0,5.0,83.0,1.0,5.0,4.0,13,5,1,0
3588,1,2,76,51,5,89.0,25.0,4.0,46.0,2.0,42.0,1.0,1.0,3.0,3,10,1,0
3589,1,2,63,86,1,69.0,79.0,1.0,58.0,2.0,46.0,1.0,3.0,1.0,6,7,5,0
3590,0,2,93,92,4,55.0,55.0,2.0,39.0,1.0,67.0,1.0,5.0,3.0,4,10,1,0
3591,1,2,9,3,5,23.0,52.0,4.0,93.0,2.0,63.0,1.0,4.0,4.0,13,17,7,0
3592,0,2,4,29,5,42.0,45.0,3.0,48.0,3.0,88.0,3.0,2.0,1.0,22,17,8,0
3593,1,3,42,58,3,84.0,57.0,1.0,60.0,3.0,98.0,1.0,5.0,2.0,14,9,5,0
3594,0,2,21,76,2,82.0,82.0,3.0,64.0,5.0,98.0,3.0,5.0,1.0,11,6,4,0
3596,0,2,12,5,4,36.0,45.0,4.0,77.0,3.0,93.0,5.0,5.0,3.0,23,14,6,0
3597,0,3,2,2,1,10.0,43.0,3.0,29.0,4.0,27.0,3.0,1.0,1.0,1,1,1,0
3599,0,1,9,3,5,46.0,31.0,4.0,91.0,3.0,60.0,2.0,4.0,3.0,7,4,4,0
3600,0,2,6,10,2,1.0,27.0,3.0,40.0,2.0,21.0,2.0,2.0,2.0,2,1,1,0
3601,1,2,54,75,1,88.0,53.0,2.0,97.0,3.0,84.0,3.0,3.0,1.0,12,6,2,0
3602,1,3,44,51,3,62.0,68.0,3.0,72.0,5.0,60.0,1.0,1.0,2.0,14,9,3,0
3603,1,3,50,61,2,76.0,70.0,1.0,93.0,5.0,55.0,1.0,5.0,1.0,6,7,5,0
3607,1,2,80,35,1,84.0,71.0,2.0,66.0,5.0,37.0,1.0,1.0,2.0,14,3,2,0
3608,0,3,66,55,1,74.0,50.0,3.0,14.0,2.0,76.0,1.0,5.0,4.0,11,5,5,0
3612,1,3,20,66,1,50.0,65.0,2.0,62.0,5.0,94.0,4.0,5.0,5.0,11,5,5,0
3613,0,1,10,6,5,35.0,31.0,2.0,75.0,2.0,35.0,1.0,2.0,3.0,19,7,4,0
3614,0,3,1,7,1,2.0,14.0,1.0,25.0,1.0,23.0,1.0,5.0,4.0,0,2,1,0
3615,1,2,65,71,3,80.0,50.0,1.0,36.0,1.0,98.0,2.0,2.0,4.0,5,3,1,0
3616,1,1,60,69,3,88.0,71.0,3.0,2.0,3.0,82.0,4.0,5.0,2.0,6,6,5,0
3617,1,2,62,87,2,77.0,83.0,1.0,18.0,1.0,48.0,2.0,5.0,5.0,9,11,5,0
3618,1,2,26,87,2,5.0,85.0,1.0,46.0,2.0,16.0,3.0,4.0,5.0,5,5,1,1
3619,0,3,6,16,1,1.0,37.0,5.0,47.0,4.0,26.0,4.0,2.0,1.0,2,2,2,0
3620,1,3,19,71,5,60.0,40.0,3.0,36.0,5.0,76.0,2.0,5.0,1.0,16,5,3,0
3622,0,2,85,23,2,55.0,99.0,1.0,40.0,5.0,61.0,3.0,3.0,2.0,3,22,4,0
3624,1,3,52,46,2,53.0,15.0,4.0,39.0,4.0,24.0,2.0,5.0,4.0,0,0,1,1
