,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,dropout
2214,N,second,53,64,D,18,55,F,,,,,,,4,2,1,Y
2215,Y,third,24,51,C,,,,,,,,,,0,1,0,Y
2216,N,third,4,15,A,12,40,C,38,D,23,B,C,C,4,3,1,N
2217,N,third,6,11,F,6,45,A,44,F,22,F,C,A,4,1,2,N
2218,Y,first,53,25,C,35,12,F,,,,,,,0,1,1,Y
2219,Y,second,58,35,A,32,13,F,,,,,,,0,0,0,Y
2220,N,third,30,52,A,8,29,F,,,,,,,4,3,0,Y
2221,N,first,94,40,A,80,30,F,48,A,98,A,A,C,11,7,5,N
2222,Y,first,45,57,D,11,36,F,,,,,,,4,0,1,Y
2223,Y,second,52,68,A,25,40,B,43,D,5,C,F,F,4,6,2,Y
2224,Y,third,34,86,B,3,43,D,62,D,30,F,F,D,14,3,1,Y
2225,Y,first,41,49,A,18,56,D,,,,,,,0,1,1,Y
2226,Y,first,95,23,A,43,22,B,36,B,2,D,C,A,5,4,6,N
2227,Y,third,56,68,B,62,50,C,6,F,56,A,A,F,5,8,5,N
2228,N,first,5,10,F,47,33,C,96,C,98,D,F,B,13,5,7,N
2229,Y,second,56,49,C,64,24,F,,,,,,,1,0,1,Y
2230,N,first,96,71,A,48,98,B,47,A,93,A,B,C,8,8,2,N
2231,N,third,8,7,B,3,10,D,42,A,23,C,C,A,0,3,1,N
2232,Y,first,25,9,A,21,22,B,27,D,37,F,B,F,9,3,1,Y
2233,N,second,61,78,D,87,43,F,59,B,39,F,D,F,18,6,2,N
2234,N,second,1,28,D,20,32,B,63,C,80,C,D,C,25,14,7,N
2235,N,third,69,73,A,21,56,C,37,A,10,F,A,A,13,24,4,N
2236,Y,third,60,56,F,88,41,A,42,C,91,B,C,A,13,9,5,N
2237,Y,first,68,78,C,97,34,C,12,F,67,A,F,A,8,9,2,N
2238,N,second,51,78,D,27,59,C,68,D,86,F,A,A,5,23,8,N
2239,N,second,40,69,A,22,51,F,,,,,,,1,0,0,Y
2240,Y,second,93,45,A,69,70,C,57,B,80,A,A,A,8,3,3,N
2241,Y,third,55,30,B,12,51,B,28,A,9,A,D,C,13,7,1,N
2242,Y,third,1,3,B,9,51,C,35,B,24,B,C,A,4,2,1,N
2243,Y,third,2,25,F,49,63,D,93,A,30,A,A,F,6,4,6,N
2244,Y,second,23,65,D,72,61,A,31,F,80,C,F,A,11,5,5,N
2245,N,second,92,63,A,54,53,A,13,A,74,F,A,B,15,11,1,N
2246,N,third,94,71,F,69,63,A,53,A,49,B,A,C,10,10,1,N
2247,Y,third,75,50,D,80,52,C,64,F,77,D,A,A,7,6,5,N
2248,Y,second,33,51,A,79,53,C,51,D,,,,,3,3,1,Y
2249,Y,first,4,3,F,,,,,,,,,,1,1,0,Y
2250,N,second,65,80,C,63,40,C,64,F,33,A,A,F,17,8,2,N
2251,N,first,82,70,A,87,63,B,41,A,33,C,D,C,15,8,2,N
2252,Y,third,82,80,D,30,91,A,39,B,28,F,F,D,2,1,0,Y
2253,N,third,23,7,F,,,,,,,,,,5,0,1,Y
2254,N,second,97,35,A,43,82,C,52,B,98,A,F,D,18,11,5,N
2255,Y,first,11,5,F,,,,,,,,,,2,0,1,Y
2256,Y,third,73,76,B,69,55,A,97,F,53,C,F,D,11,7,4,N
2257,Y,second,5,1,A,3,13,A,40,A,23,C,A,A,2,3,1,N
2258,Y,second,6,5,D,,,,,,,,,,3,0,0,Y
2259,N,third,2,90,A,5,21,B,25,B,35,D,A,C,0,24,9,N
2260,N,third,1,6,A,6,13,D,43,B,27,A,A,B,0,3,1,N
2261,N,third,5,7,F,57,51,F,49,A,61,B,B,C,19,5,4,N
2262,N,first,17,90,F,26,13,D,93,A,78,A,F,C,18,11,8,N
2263,N,third,2,2,B,9,44,C,36,D,23,F,A,C,1,3,2,N
2264,N,third,2,9,A,8,43,B,40,B,25,B,A,C,2,3,2,N
2265,N,second,95,78,D,15,52,B,64,F,15,A,C,A,12,16,1,N
2266,Y,first,58,50,A,38,51,A,16,C,19,C,F,C,5,6,3,Y
2267,N,first,17,15,F,58,49,D,83,D,82,F,D,B,16,3,7,N
2268,N,third,41,57,A,68,30,A,63,F,,,,,6,2,0,Y
2269,Y,third,12,73,D,20,64,C,57,A,52,D,C,D,9,4,1,Y
2270,N,second,12,6,F,48,49,D,77,C,95,A,D,B,25,18,8,N
2271,N,first,4,2,F,54,42,C,97,C,28,C,B,D,12,17,7,N
2272,Y,second,21,3,D,,,,,,,,,,0,2,0,Y
2273,N,first,89,4,A,51,61,B,95,F,67,C,B,C,9,15,3,N
2274,Y,first,17,44,B,65,56,D,22,A,75,A,F,C,6,14,4,N
2275,Y,third,49,13,D,90,73,F,48,B,72,C,C,B,12,10,3,N
2276,N,first,96,70,A,54,80,A,30,A,58,F,B,A,13,9,2,N
2277,Y,second,34,33,A,1,70,A,16,B,4,B,F,D,5,21,2,N
2278,Y,second,5,10,B,7,44,C,45,D,28,B,A,B,3,3,1,N
2279,Y,first,26,13,C,,,,,,,,,,3,0,0,Y
2280,Y,first,61,64,D,26,68,F,68,A,68,A,A,C,7,16,1,N
2281,N,second,12,25,D,57,37,D,86,D,38,A,C,D,13,5,7,N
2282,Y,second,5,14,F,,,,,,,,,,3,1,0,Y
2283,Y,third,43,53,B,70,33,A,62,F,91,D,F,A,13,8,2,N
2284,Y,second,64,54,C,62,76,A,96,A,99,A,F,A,14,6,3,N
2285,Y,third,54,78,D,67,37,A,44,C,53,A,F,A,9,7,2,N
2286,Y,third,54,76,C,79,30,C,61,F,88,C,C,A,13,7,4,N
2287,Y,third,73,68,B,69,25,B,67,F,84,C,D,D,5,7,3,N
2288,Y,third,89,61,C,43,89,F,,,,,,,6,4,1,Y
2289,N,third,9,5,B,1,32,A,39,A,22,C,C,D,1,2,2,N
2290,Y,second,98,40,D,48,15,B,9,B,69,A,B,F,11,10,3,N
2291,Y,second,9,11,A,8,28,A,34,A,22,A,D,C,2,1,2,N
2292,Y,second,62,59,A,75,89,C,38,C,21,D,F,C,7,10,4,N
2293,Y,first,32,90,D,44,47,A,14,D,39,C,F,F,13,0,1,Y
2294,N,third,5,15,A,4,50,A,33,B,22,F,C,C,3,3,2,N
2295,Y,first,3,19,F,,,,,,,,,,1,1,1,Y
2296,Y,third,46,83,C,30,88,A,48,A,2,D,D,D,14,3,0,Y
2297,N,second,97,37,A,75,57,A,16,B,58,F,B,D,4,6,2,N
2298,N,second,17,5,D,45,39,D,55,C,77,B,C,C,5,18,7,N
2299,Y,third,99,25,F,32,28,A,80,D,,,,,2,4,0,Y
2300,N,first,18,17,F,42,35,D,65,C,26,F,B,B,12,17,8,N
2301,Y,first,18,28,D,55,49,C,98,C,22,A,B,B,16,10,7,N
2302,Y,second,98,16,A,97,23,D,42,B,32,A,A,B,15,7,4,N
2303,Y,third,79,53,A,58,1,F,2,A,30,F,C,D,12,7,4,N
2304,N,second,7,6,B,6,16,B,25,A,27,C,D,C,1,3,1,N
2305,N,second,34,7,C,67,98,B,47,F,70,A,A,C,10,9,9,N
2306,Y,first,23,59,D,,,,,,,,,,1,0,1,Y
2307,Y,second,58,81,F,71,37,C,66,A,56,B,A,A,10,7,2,N
2308,Y,third,57,60,B,85,71,B,66,B,64,C,F,B,12,7,3,N
2309,Y,third,14,71,F,82,41,B,92,F,56,C,F,B,15,7,2,N
2310,N,first,62,98,A,65,78,A,15,D,79,A,F,A,7,10,5,N
2311,Y,second,3,10,F,29,35,B,89,C,52,C,B,D,18,19,7,N
2312,Y,second,38,66,F,55,76,B,58,F,91,B,F,A,13,9,4,N
2313,N,second,19,27,D,45,40,C,45,D,85,B,B,B,14,13,5,N
2314,N,third,80,91,A,71,64,A,67,B,97,B,B,D,13,6,1,N
2315,Y,third,60,82,F,80,32,C,0,A,86,A,F,A,11,7,4,N
2316,Y,second,62,71,B,80,48,B,26,F,73,B,C,A,12,7,2,N
2317,Y,first,94,50,D,57,37,C,28,D,87,B,A,A,8,2,2,N
2318,Y,third,30,16,A,79,27,B,52,F,58,F,C,A,14,6,3,N
2319,Y,second,27,42,D,47,24,C,,,,,,,3,1,1,Y
2320,N,second,79,52,F,89,66,A,74,D,92,A,B,D,4,5,3,N
2321,Y,first,47,62,F,58,46,B,52,B,85,B,F,A,16,5,4,N
2322,Y,first,16,26,F,33,52,C,77,C,28,A,A,A,6,11,6,N
2323,Y,third,39,67,A,59,59,B,75,F,68,A,A,D,6,4,2,N
2324,Y,third,65,66,B,51,41,F,52,F,63,F,C,B,7,5,5,N
2325,N,second,92,43,B,47,32,A,60,B,98,A,A,A,11,6,2,N
2326,Y,third,35,12,A,68,27,C,56,A,29,F,A,D,13,3,2,N
2327,Y,second,14,77,D,70,26,B,69,C,60,B,D,B,13,9,2,N
2328,Y,second,89,23,A,63,65,A,52,D,,,,,4,0,0,Y
2329,Y,first,15,19,C,,,,,,,,,,3,2,1,Y
2330,N,second,77,45,F,82,24,A,27,B,43,D,C,A,7,9,5,N
2331,Y,third,54,67,A,64,0,D,25,F,,,,,3,0,1,Y
2332,N,third,2,6,A,13,12,B,41,F,22,D,F,C,4,2,2,N
2333,Y,third,38,10,A,1,95,D,12,A,32,F,F,F,10,1,1,Y
2334,N,second,9,10,F,57,32,D,95,C,84,A,B,D,25,8,5,N
2335,Y,first,12,39,C,,,,,,,,,,4,2,1,Y
2336,Y,second,10,82,A,10,34,D,44,D,,,,,3,1,0,Y
2337,Y,first,24,37,D,49,15,D,,,,,,,2,1,1,Y
2338,N,third,2,7,A,6,39,A,33,A,23,B,A,C,3,2,1,N
2339,N,second,88,90,D,70,42,F,42,D,51,A,A,D,3,6,2,N
2340,Y,third,70,80,A,87,75,F,,,,,,,4,2,0,Y
2341,Y,third,11,50,F,,,,,,,,,,0,2,0,Y
2342,N,third,93,78,A,89,66,C,0,F,62,A,C,C,17,10,5,N
2343,N,second,8,5,A,1,18,B,27,B,23,C,F,D,1,1,2,N
2344,Y,second,49,78,D,78,28,B,87,C,94,F,F,A,16,7,3,N
2345,N,second,95,79,A,81,18,A,51,B,54,A,F,A,11,9,4,N
2346,Y,second,16,17,D,,,,,,,,,,2,0,0,Y
2347,Y,second,87,32,B,83,13,C,4,C,95,A,F,D,14,9,5,N
2348,N,third,2,8,F,5,29,A,30,B,21,A,F,C,4,1,1,N
2349,Y,first,6,25,D,24,48,C,94,D,79,A,B,A,8,3,5,N
2350,Y,first,77,6,F,89,60,D,14,D,0,C,D,F,9,0,2,Y
2351,Y,first,31,21,B,61,34,B,30,B,10,C,A,A,4,3,4,N
2352,N,second,85,78,C,60,26,A,,,,,,,0,2,2,Y
2353,N,third,11,15,D,24,49,D,52,C,87,A,C,C,6,6,5,N
2354,Y,first,23,21,D,53,77,A,27,F,,,,,8,0,1,Y
2355,N,third,6,4,B,12,30,D,33,B,24,C,A,C,3,1,1,N
2356,Y,third,3,3,A,10,53,B,29,B,26,A,C,A,1,2,1,N
2357,Y,third,90,20,B,69,53,B,1,C,56,B,C,D,11,24,7,N
2358,Y,third,77,49,A,96,62,D,72,F,26,D,A,D,2,6,4,N
2359,Y,first,24,70,B,59,78,A,36,D,78,B,F,A,6,6,4,N
2360,Y,first,18,13,D,56,41,D,51,C,26,B,C,C,26,6,6,N
2361,Y,second,81,75,D,36,86,D,,,,,,,7,4,0,Y
2362,N,third,29,74,D,57,96,F,98,A,3,D,F,A,7,22,6,N
2363,Y,third,16,4,B,52,28,B,46,D,,,,,6,0,0,Y
2364,N,third,26,56,B,70,86,F,,,,,,,2,3,2,Y
2365,Y,first,87,30,F,79,58,D,54,D,2,A,A,A,0,17,5,N
2366,Y,second,8,16,A,10,55,A,45,B,28,A,C,D,1,1,1,N
2367,N,third,3,16,F,21,50,D,79,F,85,B,B,B,12,12,4,N
2368,Y,first,48,7,A,68,52,A,54,B,45,A,C,B,15,2,4,N
2369,N,first,21,64,A,80,99,F,8,B,18,A,A,A,18,13,2,N
2370,Y,first,67,97,C,59,85,D,,,,,,,6,4,1,Y
2371,Y,third,49,57,B,39,34,F,57,D,2,F,A,A,12,17,3,N
2372,Y,third,88,59,D,38,2,D,88,D,,,,,4,3,1,Y
2373,Y,second,98,74,A,43,90,A,67,F,36,F,A,A,13,6,3,N
2374,Y,first,61,23,D,20,28,B,45,F,,,,,1,1,1,Y
2375,Y,second,2,4,F,5,18,A,41,A,23,F,C,A,3,2,2,N
2376,Y,second,63,47,A,40,36,D,12,A,76,F,B,B,14,10,5,N
2377,Y,third,23,44,C,45,38,B,83,C,42,C,C,D,2,16,7,N
2378,N,first,4,20,F,26,53,C,46,A,89,A,C,A,28,17,6,N
2379,Y,first,59,53,C,58,9,F,,,,,,,0,1,1,Y
2380,N,second,91,72,A,68,30,A,50,C,78,B,B,D,8,5,4,N
2381,N,third,1,7,F,9,26,A,25,D,23,D,F,A,4,1,2,N
2382,Y,third,92,26,B,93,92,B,52,B,31,A,A,A,17,13,6,N
2383,Y,third,38,58,D,2,47,F,,,,,,,1,0,0,Y
2384,N,third,38,68,B,62,12,C,,,,,,,2,4,2,Y
2385,Y,third,66,66,F,68,74,B,51,A,86,C,D,F,17,5,5,N
2386,N,first,99,51,D,62,33,B,78,B,50,A,B,F,13,3,1,N
2387,N,first,15,16,D,37,46,B,76,B,59,B,D,C,25,9,8,N
2388,Y,first,83,88,F,76,26,A,75,F,82,C,B,D,15,5,2,N
2389,Y,third,80,35,A,42,21,A,79,F,65,A,B,B,10,4,4,N
2390,N,second,8,16,A,2,30,B,29,A,21,F,B,D,2,2,1,N
2391,Y,third,8,16,B,3,44,D,49,D,20,B,D,A,2,1,1,N
2392,Y,second,42,48,D,88,43,B,45,B,16,A,B,D,5,6,4,N
2393,Y,first,10,7,B,,,,,,,,,,3,1,1,Y
2394,Y,first,32,13,A,39,62,F,23,F,97,F,A,C,0,7,7,N
2395,N,third,68,96,B,68,19,A,72,A,87,F,F,F,17,3,3,N
2396,Y,second,30,71,D,59,69,F,19,B,57,D,C,A,12,5,4,N
2397,N,third,32,94,A,16,33,C,60,D,,,,,1,3,2,Y
2398,Y,first,8,13,F,,,,,,,,,,2,1,1,Y
2399,Y,third,36,74,A,97,66,D,24,D,70,A,C,A,13,5,2,N
2400,Y,first,14,10,D,,,,,,,,,,0,2,0,Y
2401,N,first,64,42,B,85,35,B,9,D,26,F,F,D,15,11,4,N
2402,N,second,17,13,F,38,42,F,85,B,43,A,B,C,15,6,8,N
2403,Y,first,62,80,A,49,55,F,69,B,28,F,B,C,12,8,4,N
2404,N,first,95,1,B,65,80,D,34,F,13,F,B,A,10,8,5,N
2405,Y,second,12,59,C,98,30,A,91,C,69,D,F,A,11,9,3,N
2406,N,second,79,92,C,39,61,A,,,,,,,0,2,0,Y
2407,Y,first,2,52,A,26,69,D,63,B,74,A,B,F,7,11,3,N
2408,N,second,60,49,A,48,49,D,69,F,74,D,A,A,9,5,4,N
2409,N,second,8,12,B,7,52,D,49,A,24,A,F,A,3,3,1,N
2410,Y,second,47,15,A,3,32,A,8,D,20,A,F,F,0,2,1,Y
2411,Y,first,52,51,A,83,30,F,28,D,73,C,F,A,6,7,3,N
2412,N,first,2,25,D,48,53,C,54,B,92,A,B,D,6,11,8,N
2413,Y,third,64,52,A,58,56,D,78,A,70,D,F,D,17,9,2,N
2414,Y,first,23,50,C,38,8,F,,,,,,,4,0,0,Y
2415,N,first,59,91,A,79,3,C,96,C,69,A,D,A,3,8,1,N
2416,Y,first,70,38,C,58,56,F,20,B,29,A,D,C,9,3,2,Y
2417,Y,first,53,22,C,48,6,F,,,,,,,1,0,1,Y
2418,Y,third,32,66,A,57,28,A,81,F,76,C,F,A,11,5,3,N
2419,Y,third,5,8,B,,,,,,,,,,0,0,0,Y
2420,N,third,12,7,D,59,42,D,97,B,43,B,B,C,7,10,7,N
2421,Y,second,45,64,A,56,54,A,74,F,77,C,A,A,6,8,5,N
2422,N,second,71,21,B,97,36,A,71,A,85,B,B,A,1,3,2,N
2423,Y,first,75,64,F,84,27,C,60,F,24,D,F,F,5,8,0,Y
2424,Y,first,15,0,D,44,48,B,22,F,,,,,8,3,0,Y
2425,N,second,16,55,C,38,16,D,89,D,66,A,D,F,14,6,5,N
2426,Y,first,35,14,F,60,19,C,3,C,31,F,F,F,8,1,2,Y
2427,N,second,67,99,A,85,14,A,13,F,82,A,F,C,4,7,1,N
2428,N,third,6,7,A,9,31,C,34,A,28,A,B,B,1,2,1,N
2429,N,second,74,91,F,65,21,F,34,F,90,B,D,A,18,7,2,N
2430,Y,first,12,97,A,48,51,F,90,D,53,B,D,C,5,22,3,N
2431,Y,first,7,91,C,91,29,A,40,F,54,F,B,C,0,13,4,N
2432,Y,third,46,86,C,37,26,A,8,D,73,B,D,C,15,16,3,N
2433,Y,third,49,56,D,92,57,C,43,B,71,B,F,B,17,6,4,N
2434,N,second,12,56,F,57,16,B,75,B,88,D,B,C,2,10,9,N
2435,Y,first,58,36,A,9,63,A,44,C,12,C,C,F,11,3,3,Y
2436,Y,third,12,28,C,60,45,F,30,B,95,D,C,A,17,14,5,N
2437,N,third,5,3,A,8,35,C,40,A,25,A,C,D,2,2,2,N
2438,N,second,56,57,A,33,80,D,,,,,,,6,3,0,Y
2439,N,second,3,4,D,30,39,C,64,F,72,A,D,D,23,13,8,N
2440,N,second,74,46,A,65,78,C,69,F,29,F,C,B,18,8,3,N
2441,N,second,8,7,A,11,29,A,33,F,28,B,B,D,3,1,1,N
2442,Y,first,31,71,F,62,29,A,0,C,62,C,C,F,14,9,4,N
2443,N,third,80,19,F,20,30,F,49,B,5,D,B,C,16,22,3,N
2444,N,second,5,20,D,24,32,D,77,A,25,A,C,C,9,11,4,N
2445,N,second,25,0,F,,,,,,,,,,7,1,1,Y
2446,N,second,72,60,A,48,2,D,44,D,56,A,A,F,12,5,6,N
2447,N,third,1,2,A,10,54,C,32,A,21,F,A,B,2,3,2,N
2448,Y,first,19,17,F,,,,,,,,,,3,0,1,Y
2449,N,third,3,2,A,3,47,A,27,B,20,B,F,D,3,3,2,N
2450,N,second,62,51,F,43,98,B,79,F,72,C,D,F,19,6,2,N
2451,N,third,60,50,D,68,24,D,,,,,,,6,2,0,Y
2452,N,second,54,51,A,32,80,C,,,,,,,2,0,0,Y
2453,N,second,15,25,F,20,32,F,76,B,78,F,C,D,24,13,5,N
2454,N,second,1,9,A,9,28,A,32,A,25,A,D,D,2,3,1,N
2455,Y,second,39,38,A,31,55,F,,,,,,,4,0,0,Y
2456,N,second,7,17,F,20,35,B,86,B,78,A,C,B,15,11,8,N
2457,N,third,50,58,C,34,86,F,,,,,,,6,4,0,Y
2458,Y,third,49,24,A,83,56,B,24,C,52,F,A,B,12,3,4,N
2459,N,third,29,61,B,2,34,F,,,,,,,5,2,1,Y
2460,Y,first,12,46,D,,,,,,,,,,0,0,1,Y
2461,N,third,90,86,A,85,12,A,29,A,27,A,B,C,5,11,4,N
2462,Y,second,64,17,D,66,77,C,14,D,56,F,F,D,13,5,3,Y
2463,Y,first,10,36,A,23,85,C,16,A,5,F,B,D,8,5,2,Y
2464,N,second,58,69,D,67,24,D,,,,,,,6,1,0,Y
2465,Y,first,73,71,A,73,59,B,27,D,,,,,5,2,0,Y
2466,N,first,41,73,B,5,31,F,23,A,64,D,C,A,15,6,9,N
2467,Y,second,48,22,F,79,35,C,74,B,83,C,A,C,13,24,1,N
2468,Y,third,51,25,B,62,1,F,,,,,,,0,0,0,Y
2469,Y,third,88,72,D,43,73,A,30,B,84,A,B,C,3,8,3,N
2470,Y,third,53,59,A,0,4,D,33,F,,,,,9,0,1,Y
2471,N,first,69,57,D,44,59,D,,,,,,,6,4,1,Y
2472,Y,third,22,54,F,80,71,A,42,F,88,A,A,B,13,9,3,N
2473,N,second,1,6,D,56,34,D,64,C,22,C,A,C,15,4,6,N
2474,Y,third,27,59,C,46,36,B,14,F,,,,,9,0,0,Y
2475,N,first,18,6,D,39,54,D,54,B,36,C,C,A,28,17,6,N
2476,N,first,11,5,D,21,32,B,91,C,53,C,D,B,8,12,5,N
2477,N,second,18,5,D,21,37,D,46,D,56,B,B,C,15,11,5,N
2478,N,first,40,46,A,83,36,C,74,C,77,A,A,B,18,15,5,N
2479,Y,second,2,29,D,27,31,D,66,A,38,C,B,D,12,14,4,N
2480,Y,first,1,2,F,34,40,D,72,B,34,C,A,A,20,15,4,N
2481,N,second,87,8,D,19,27,D,27,D,56,F,C,B,13,12,4,N
2482,Y,third,16,43,C,,,,,,,,,,3,0,0,Y
2483,Y,second,55,43,A,64,8,D,,,,,,,0,2,1,Y
2484,Y,third,37,78,A,69,21,B,59,B,93,F,F,A,14,8,4,N
2485,Y,second,26,36,C,7,27,F,,,,,,,0,1,0,Y
2486,Y,third,15,13,D,,,,,,,,,,3,1,1,Y
2487,N,third,18,38,F,,,,,,,,,,5,1,1,Y
2488,Y,second,64,30,A,64,52,B,5,C,86,A,C,A,16,11,1,N
2489,N,first,38,90,C,50,4,D,80,F,58,B,A,B,6,20,2,N
2490,Y,first,2,17,B,,,,,,,,,,2,1,1,Y
2491,N,third,3,17,D,40,41,C,55,B,97,A,B,C,23,18,6,N
2492,Y,second,1,20,D,38,30,B,98,C,98,A,A,B,25,7,8,N
2493,Y,third,8,13,A,10,23,D,36,A,24,B,A,A,3,1,1,N
2494,N,second,6,8,A,10,25,A,39,D,26,C,D,A,0,3,2,N
2495,Y,second,43,51,F,92,49,C,30,C,56,B,C,A,11,8,3,N
2496,Y,third,1,3,A,7,37,C,39,B,20,B,D,A,0,3,1,N
2497,Y,second,24,77,A,13,82,F,80,C,,,,,3,4,1,Y
2498,Y,first,19,27,F,47,50,D,46,C,56,A,B,C,18,16,6,N
2499,N,second,2,6,B,7,0,F,71,B,,,,,0,4,1,Y
2500,N,second,97,94,F,61,3,C,52,F,56,C,A,D,4,10,5,N
2501,N,third,2,15,B,6,24,F,36,B,28,B,F,C,3,1,1,N
2502,Y,third,19,24,A,14,78,D,54,D,29,D,F,B,13,3,3,Y
2503,Y,third,15,48,B,,,,,,,,,,4,0,0,Y
2504,Y,second,89,46,D,64,65,C,1,F,78,D,F,C,13,11,5,N
2505,Y,second,24,53,A,83,76,C,23,B,64,B,F,A,13,5,4,N
2506,Y,second,67,46,A,51,43,C,27,B,83,F,D,C,11,6,2,N
2507,Y,third,70,44,A,67,96,B,55,D,68,F,C,A,14,4,4,N
2508,N,second,26,52,D,56,21,F,66,C,5,B,F,F,12,13,4,N
2509,Y,third,24,57,F,96,43,C,91,F,71,B,A,A,9,9,3,N
2510,Y,first,87,35,A,24,67,D,53,B,16,A,F,A,17,3,2,N
2511,Y,first,35,72,A,76,68,B,23,F,,,,,1,3,1,Y
2512,Y,second,90,4,A,25,4,C,8,C,85,B,D,B,3,24,6,N
2513,N,third,3,6,F,8,38,C,38,F,20,A,B,C,4,1,2,N
2514,N,second,16,20,D,59,40,F,68,B,59,B,A,C,13,17,6,N
2515,N,third,40,88,A,92,30,D,27,C,15,C,F,B,15,1,7,N
2516,Y,second,76,40,A,55,92,A,4,B,51,C,B,A,5,5,5,N
2517,Y,third,31,70,F,75,48,A,11,F,77,F,F,B,17,7,4,N
2518,Y,second,7,19,D,56,41,D,89,F,87,D,F,D,29,12,8,N
2519,N,second,15,19,D,46,30,D,49,C,66,A,C,D,21,14,6,N
2520,Y,third,52,31,D,26,21,F,,,,,,,0,2,1,Y
2521,N,third,67,47,C,39,60,C,56,A,55,A,C,D,18,21,8,N
2522,N,second,91,68,D,83,71,C,38,A,23,A,D,C,10,6,2,N
2523,Y,second,91,34,C,32,48,D,70,D,73,C,D,B,6,3,1,Y
2524,Y,third,59,26,D,48,7,F,,,,,,,1,1,1,Y
2525,Y,third,18,33,A,40,12,A,60,F,73,A,F,B,3,16,5,N
2526,Y,second,1,10,A,1,45,D,39,A,21,A,C,A,3,3,2,N
2527,Y,third,68,96,C,40,23,F,24,B,94,A,A,F,0,23,8,N
2528,N,third,86,95,A,33,64,A,,,,,,,4,0,1,Y
2529,Y,first,57,71,F,71,74,A,37,A,31,C,A,C,2,14,4,N
2530,Y,first,59,33,C,75,12,B,50,F,,,,,6,2,1,Y
2531,Y,first,57,37,C,60,23,F,,,,,,,0,0,0,Y
2532,Y,third,4,22,F,86,65,A,60,D,,,,,1,2,1,Y
2533,Y,first,27,58,D,77,84,B,69,F,,,,,4,2,1,Y
2534,N,first,15,22,D,35,51,D,77,B,69,F,D,C,26,4,6,N
2535,Y,first,31,35,C,1,0,F,,,,,,,4,1,0,Y
2536,Y,first,3,13,D,29,43,D,67,B,64,B,A,D,23,12,8,N
2537,Y,second,24,53,B,71,24,A,20,F,56,D,F,B,9,8,5,N
2538,N,second,26,1,C,18,39,A,26,D,12,D,C,A,2,23,7,N
2539,Y,second,48,42,B,21,28,F,,,,,,,2,0,1,Y
2540,Y,first,15,39,D,,,,,,,,,,1,1,1,Y
2541,N,second,7,9,A,7,38,B,48,A,24,A,A,B,1,3,1,N
2542,Y,third,88,77,A,15,20,B,31,F,,,,,6,2,0,Y
2543,Y,third,67,31,D,80,69,C,35,F,,,,,9,2,0,Y
2544,Y,first,87,55,A,14,23,A,65,D,19,D,A,D,6,4,1,Y
2545,Y,third,54,62,F,97,79,B,2,B,78,A,F,D,12,9,2,N
2546,Y,first,17,32,A,73,59,A,19,D,,,,,2,2,0,Y
2547,N,second,6,26,F,20,40,D,70,C,59,C,C,D,9,10,4,N
2548,N,first,8,38,D,27,6,A,76,B,33,A,B,C,6,8,1,N
2549,N,first,55,82,D,79,49,B,18,C,10,A,F,C,19,8,6,N
2550,N,second,57,41,A,87,58,C,74,D,,,,,2,4,0,Y
2551,Y,first,58,31,C,51,14,F,,,,,,,1,2,1,Y
2552,Y,second,93,30,A,58,8,D,37,D,25,C,F,D,12,5,1,Y
2553,Y,second,8,5,F,25,32,B,75,B,27,F,B,C,21,6,4,N
2554,N,second,90,42,A,47,85,D,7,A,86,D,A,D,17,3,1,N
2555,Y,third,8,13,F,9,50,C,25,B,29,C,F,D,0,1,2,N
2556,N,second,19,4,D,46,39,F,83,C,32,A,A,B,12,11,8,N
2557,N,second,9,8,A,4,24,B,27,A,24,B,F,D,2,2,2,N
2558,N,first,75,94,B,21,55,C,60,D,82,B,F,F,13,10,4,N
2559,Y,third,52,42,A,39,2,F,,,,,,,1,0,1,Y
2560,N,third,42,89,A,69,90,C,28,B,75,F,C,F,19,2,2,N
2561,Y,third,39,95,A,68,43,B,39,B,73,B,A,D,6,3,2,N
2562,N,first,79,30,C,81,46,F,16,A,75,A,F,A,3,3,4,N
2563,N,first,3,21,F,30,53,D,48,D,58,C,C,B,27,9,4,N
2564,N,second,17,23,F,34,49,F,81,C,69,D,D,D,11,13,7,N
2565,Y,first,1,4,A,13,76,F,73,B,26,C,F,C,7,20,2,N
2566,Y,second,22,35,B,18,25,C,92,D,29,B,D,F,12,3,3,Y
2567,N,second,10,15,F,52,34,B,92,C,70,A,B,C,22,14,6,N
2568,Y,second,18,30,B,,,,,,,,,,4,0,1,Y
2569,Y,second,63,87,B,74,68,D,70,A,21,D,A,A,8,7,1,N
2570,N,third,12,27,D,20,46,D,50,D,70,C,F,D,4,11,8,N
2571,Y,first,24,46,D,22,6,D,,,,,,,4,0,1,Y
2572,N,second,40,53,C,22,60,D,,,,,,,6,4,1,Y
2573,N,third,96,85,F,13,72,C,90,F,,,,,1,3,3,Y
2574,Y,first,5,0,D,,,,,,,,,,3,0,1,Y
2575,Y,first,8,11,C,,,,,,,,,,1,1,0,Y
2576,N,second,78,68,F,82,3,B,46,A,46,A,A,A,18,9,2,N
2577,Y,first,70,56,B,40,53,A,58,A,46,B,A,C,15,13,5,N
