,External,Year,session 1,session 2,test 1
3049,N,third,4,13,B
3050,Y,first,16,62,C
3051,N,third,7,16,A
3052,N,second,1,10,A
3053,Y,third,75,51,A
3054,N,first,10,96,C
3055,Y,first,27,36,A
3056,N,first,1,22,F
3057,Y,first,73,9,A
3058,Y,third,58,59,C
3059,Y,third,37,74,F
3060,N,second,10,10,D
3061,Y,third,85,79,A
3062,Y,first,47,64,A
3063,N,third,4,11,A
3064,N,second,76,43,A
3065,Y,first,88,25,A
3066,N,second,14,27,D
3067,Y,second,65,35,A
3068,Y,second,43,21,F
3069,Y,third,57,58,C
3070,N,third,9,9,B
3071,Y,first,13,12,C
3072,Y,second,1,22,D
3073,Y,first,65,82,C
3074,N,second,1,28,D
3075,N,first,14,89,F
3076,N,third,90,2,F
3077,Y,first,27,5,D
3078,N,third,1,10,A
3079,Y,third,12,29,D
3080,N,third,94,62,A
3081,N,second,4,24,D
3082,N,third,99,36,C
3083,Y,second,14,50,A
3084,N,third,2,13,F
3085,Y,first,1,3,F
3086,N,third,65,78,F
3087,Y,third,84,97,A
3088,Y,third,21,57,A
3089,Y,first,62,5,B
3090,Y,second,63,61,F
3091,Y,first,54,35,C
3092,Y,third,11,67,D
3093,Y,first,0,50,D
3094,N,third,9,11,A
3095,Y,second,91,73,F
3096,N,second,1,8,A
3097,Y,first,0,17,F
3098,N,third,8,1,B
3099,Y,third,82,69,B
3100,N,third,16,27,F
3101,Y,first,49,82,C
3102,N,third,2,51,F
3103,Y,second,87,73,C
3104,N,third,7,97,D
3105,Y,third,6,1,F
3106,N,third,8,1,A
3107,N,second,17,6,D
3108,Y,second,10,19,F
3109,Y,third,18,34,D
3110,N,first,12,6,D
3111,N,third,3,11,A
3112,Y,third,35,78,B
3113,N,first,11,9,F
3114,N,second,3,19,F
3115,Y,third,61,58,C
3116,Y,first,17,19,F
3117,Y,first,31,33,D
3118,Y,third,64,2,D
3119,N,third,1,7,B
3120,Y,third,57,48,C
3121,Y,first,18,18,B
3122,Y,third,73,69,B
3123,Y,first,14,78,F
3124,N,third,2,11,A
3125,N,third,76,98,D
3126,Y,first,79,36,C
3127,N,second,6,1,F
3128,Y,first,94,68,D
3129,Y,third,37,14,D
3130,Y,third,65,56,F
3131,Y,first,19,54,C
3132,Y,second,14,29,F
3133,Y,third,56,7,B
3134,Y,third,30,60,B
3135,Y,second,15,18,F
3136,N,second,71,34,A
3137,N,third,10,7,F
3138,N,second,80,83,D
3139,Y,first,45,53,D
3140,Y,second,57,28,B
3141,Y,third,79,63,C
3142,Y,second,73,97,C
3143,N,third,63,66,B
3144,Y,third,11,73,D
3145,Y,third,60,50,D
3146,N,second,56,54,F
3147,Y,first,15,57,F
3148,Y,third,59,39,D
3149,Y,first,48,64,A
3150,N,second,40,31,B
3151,N,first,4,26,D
3152,Y,third,63,78,A
3153,N,second,9,8,D
3154,N,third,97,36,B
3155,Y,first,64,61,B
3156,N,third,60,16,C
3157,Y,first,21,43,A
3158,N,first,13,2,F
3159,Y,third,8,1,A
3160,N,third,51,61,A
3161,Y,first,16,6,B
3162,Y,first,88,51,A
3163,N,third,2,14,B
3164,Y,third,5,6,A
3165,Y,second,96,87,A
3166,Y,third,80,54,A
3167,N,third,3,7,A
3168,Y,first,34,43,A
3169,Y,third,28,62,F
3170,Y,third,15,79,B
3171,N,third,76,57,F
3172,Y,first,62,20,D
3173,Y,third,22,65,B
3174,N,first,76,96,A
3175,Y,third,62,96,A
3176,Y,first,89,54,B
3177,N,second,55,38,C
3178,Y,third,7,2,A
3179,N,second,8,7,B
3180,N,third,9,13,A
3181,N,first,84,43,B
3182,Y,third,14,18,D
3183,N,third,7,16,A
3184,Y,first,26,11,F
3185,Y,second,15,6,D
3186,Y,third,99,93,A
3187,Y,third,69,68,F
3188,N,third,78,78,A
3189,Y,second,50,21,B
3190,Y,third,45,47,D
3191,Y,first,18,26,C
3192,N,third,53,79,C
3193,N,third,27,11,F
3194,Y,first,41,4,F
3195,N,first,15,19,F
3196,Y,third,24,43,D
3197,N,second,14,13,F
3198,Y,first,52,49,D
3199,Y,second,8,1,F
3200,Y,second,72,33,A
3201,Y,third,60,53,C
3202,N,second,58,54,D
3203,Y,second,50,38,C
3204,Y,third,4,3,A
3205,N,third,4,13,F
3206,N,third,5,17,F
3207,Y,third,72,83,A
3208,Y,third,83,72,B
3209,Y,third,78,51,C
3210,Y,first,57,32,C
3211,N,second,47,39,D
3212,N,first,89,74,A
3213,Y,third,98,17,F
3214,N,second,74,55,A
3215,N,second,80,74,A
3216,N,third,65,54,C
3217,N,second,11,20,F
3218,N,first,65,90,C
3219,Y,third,58,58,C
3220,Y,first,11,46,A
3221,N,second,19,3,F
3222,Y,second,73,53,F
3223,Y,third,29,21,A
3224,Y,third,12,53,C
3225,Y,third,39,53,F
3226,Y,second,8,7,B
3227,N,third,99,97,B
3228,Y,third,53,20,A
3229,Y,third,92,52,A
3230,N,third,1,18,F
3231,Y,third,42,52,A
3232,Y,first,77,3,A
3233,N,third,36,70,A
3234,Y,third,66,63,A
3235,N,third,84,91,B
3236,Y,second,5,5,D
3237,Y,first,64,81,D
3238,Y,third,7,58,C
3239,Y,second,37,74,F
3240,Y,third,62,57,C
3241,Y,third,82,30,B
3242,N,first,25,68,B
3243,N,first,17,2,D
3244,N,second,10,2,F
3245,Y,first,6,78,F
3246,Y,second,59,21,A
3247,Y,third,22,56,D
3248,N,second,14,90,C
3249,N,first,9,2,D
3250,N,second,68,50,C
3251,N,third,2,3,A
3252,N,second,6,16,F
3253,Y,second,92,72,A
3254,Y,third,23,69,F
3255,Y,second,48,51,A
3256,Y,first,17,15,B
3257,Y,second,86,34,F
3258,Y,third,13,63,D
3259,Y,first,85,36,B
3260,N,third,8,8,B
3261,Y,second,0,31,B
3262,N,second,96,51,B
3263,Y,first,11,49,A
3264,Y,second,19,9,D
3265,N,second,78,76,D
3266,N,second,16,21,F
3267,Y,third,72,52,D
3268,Y,first,29,50,D
3269,Y,first,52,79,A
3270,Y,third,67,68,C
3271,N,third,8,14,A
3272,N,third,61,43,A
3273,Y,first,30,56,F
3274,Y,third,54,57,C
3275,Y,first,21,0,A
3276,N,third,66,56,A
3277,N,third,98,35,A
3278,Y,first,16,18,D
3279,Y,second,10,47,B
3280,Y,third,4,4,F
3281,N,third,6,5,A
3282,N,third,6,16,B
3283,N,second,19,6,D
3284,Y,third,55,55,A
3285,N,second,2,11,F
3286,Y,third,29,29,D
3287,Y,third,16,15,D
3288,N,first,1,13,D
3289,Y,first,16,24,D
3290,N,third,3,9,A
3291,Y,first,20,89,D
3292,N,third,16,5,D
3293,Y,third,51,59,C
3294,Y,first,86,89,C
3295,N,second,85,66,A
3296,N,first,38,50,C
3297,N,third,3,3,A
3298,Y,second,84,47,A
3299,N,second,51,54,C
3300,N,second,99,41,B
3301,N,third,8,31,F
3302,N,second,22,61,C
3303,N,second,76,83,A
3304,Y,third,46,36,F
3305,N,second,65,88,F
3306,Y,third,27,91,D
3307,Y,second,69,58,D
3308,Y,second,51,58,A
3309,Y,second,56,35,A
3310,N,first,14,23,F
3311,Y,second,52,54,F
3312,N,third,36,65,B
3313,Y,second,54,48,C
3314,Y,first,18,7,F
3315,Y,first,66,68,D
3316,Y,first,0,4,F
3317,Y,second,63,58,A
3318,N,third,6,1,A
3319,Y,third,48,51,F
3320,Y,second,23,59,A
3321,Y,third,75,32,B
3322,N,second,19,3,D
3323,N,third,6,12,F
3324,Y,second,10,23,F
3325,N,third,9,15,A
3326,N,third,8,1,B
3327,Y,third,35,74,D
3328,Y,third,69,86,D
3329,Y,third,75,74,C
3330,N,second,29,22,D
3331,Y,second,4,11,A
3332,Y,third,84,63,A
3333,Y,second,13,11,F
3334,Y,third,15,69,D
3335,N,second,6,68,A
3336,N,third,4,10,A
3337,N,third,16,12,F
3338,N,second,10,16,D
3339,Y,third,19,38,F
3340,N,second,62,85,A
3341,Y,first,41,55,F
3342,N,second,14,19,D
3343,N,second,75,10,B
3344,N,second,33,54,B
3345,Y,third,41,79,A
3346,Y,third,55,47,A
3347,Y,third,54,55,D
3348,Y,third,50,69,B
3349,Y,first,9,85,D
3350,Y,third,52,41,B
3351,Y,second,12,79,A
3352,Y,second,19,15,D
3353,Y,first,22,34,F
3354,N,second,8,3,B
3355,N,third,5,13,B
3356,Y,first,48,58,A
3357,Y,first,0,19,C
3358,N,first,81,51,C
3359,Y,third,15,77,A
3360,Y,third,63,53,C
3361,N,second,63,40,C
3362,Y,second,76,79,F
3363,Y,second,12,9,F
3364,Y,third,9,11,F
3365,Y,second,4,71,B
3366,N,third,87,97,F
3367,Y,third,1,2,A
3368,N,second,18,18,F
3369,Y,second,63,86,A
3370,N,first,4,19,D
3371,Y,third,14,76,A
3372,N,third,5,10,A
3373,Y,first,47,68,F
3374,Y,first,89,27,B
3375,Y,second,49,45,F
3376,Y,first,60,43,A
3377,Y,third,79,66,A
3378,Y,third,37,35,D
3379,N,second,84,80,C
3380,N,third,58,72,D
3381,Y,third,62,58,C
3382,N,first,15,5,F
3383,N,second,63,93,D
3384,Y,third,30,98,F
3385,N,third,16,11,F
3386,N,third,21,97,A
3387,Y,third,27,75,F
3388,Y,first,7,8,F
3389,Y,second,54,26,F
3390,N,third,81,55,A
3391,N,second,19,20,D
3392,N,second,48,8,B
3393,N,third,62,79,A
3394,Y,first,20,18,D
3395,Y,third,34,58,A
3396,N,third,6,8,F
3397,Y,second,39,73,F
3398,N,third,55,84,A
3399,Y,third,11,77,A
3400,Y,first,48,58,B
3401,N,first,41,38,A
3402,Y,second,17,8,D
3403,Y,first,80,29,A
3404,Y,third,99,50,D
3405,Y,second,86,76,C
3406,N,third,4,6,B
3407,Y,third,4,2,F
3408,N,third,8,10,A
3409,Y,third,70,68,A
3410,Y,second,33,19,B
3411,Y,third,9,15,A
3412,N,third,16,10,D
3413,N,third,6,5,F
3414,Y,third,1,5,F
3415,Y,second,28,67,A
3416,Y,third,1,2,F
3417,N,third,2,8,A
3418,Y,third,31,53,B
3419,N,second,7,24,D
3420,Y,third,45,50,D
3421,Y,first,26,14,F
3422,N,third,24,59,F
3423,Y,third,22,71,A
3424,N,third,12,14,F
3425,N,third,11,6,F
3426,Y,third,83,43,A
3427,N,second,5,6,A
3428,Y,first,15,22,C
3429,Y,first,13,37,D
3430,N,second,58,88,C
3431,Y,third,10,77,B
3432,Y,third,9,4,A
3433,Y,second,82,8,A
3434,Y,second,47,53,A
3435,N,first,2,40,F
3436,N,third,2,7,F
3437,Y,second,86,91,B
3438,Y,second,58,56,C
3439,N,third,53,9,F
3440,Y,third,39,4,A
3441,Y,second,92,40,A
3442,Y,third,4,5,F
3443,Y,first,73,54,F
3444,Y,first,18,0,F
3445,N,third,4,49,B
3446,Y,first,29,46,A
3447,N,first,9,23,D
3448,Y,first,21,59,D
3449,N,third,5,20,D
3450,Y,third,2,9,B
3451,Y,first,18,15,D
3452,N,second,16,26,D
3453,Y,second,58,59,C
3454,N,first,16,6,D
3455,Y,third,36,71,B
3456,N,second,6,29,B
3457,N,third,25,26,F
3458,N,third,7,9,F
3459,N,second,66,94,F
3460,Y,third,66,62,F
3461,N,third,96,89,F
3462,Y,third,99,30,B
3463,Y,second,56,22,C
3464,N,second,79,99,A
3465,N,second,17,1,D
3466,Y,second,71,86,F
3467,Y,second,30,32,B
3468,Y,first,29,19,B
3469,N,third,1,13,A
3470,N,third,6,1,B
3471,Y,third,34,10,B
3472,N,third,5,20,D
3473,Y,second,31,79,F
3474,Y,third,40,52,B
3475,Y,third,49,70,C
3476,Y,second,4,7,F
3477,Y,third,8,7,A
3478,N,third,12,15,B
3479,N,third,9,15,A
3480,N,third,86,42,F
3481,N,second,73,32,C
3482,N,second,96,66,D
3483,Y,first,39,41,C
3484,Y,second,56,21,C
3485,Y,second,18,54,D
3486,Y,third,1,7,A
3487,N,third,74,84,A
3488,Y,second,12,29,F
3489,Y,second,23,59,B
3490,Y,first,11,26,D
3491,Y,second,22,72,A
3492,N,third,2,21,A
3493,Y,first,6,17,F
3494,N,first,17,19,F
3495,N,third,7,4,A
3496,N,third,31,54,B
3497,Y,first,36,1,A
3498,Y,first,57,10,C
3499,N,third,15,9,F
3500,Y,third,2,16,A
3501,Y,third,76,22,B
3502,Y,third,34,43,D
3503,N,second,5,1,D
3504,N,third,90,31,C
3505,N,third,64,54,B
3506,Y,second,51,36,A
3507,Y,first,36,73,C
3508,Y,third,64,86,C
3509,N,third,3,7,F
3510,N,first,74,43,F
3511,Y,third,80,27,B
3512,N,second,75,82,A
3513,N,second,8,2,F
3514,Y,third,82,83,A
3515,N,third,1,2,F
3516,N,second,18,19,F
3517,Y,second,30,48,A
3518,Y,first,59,5,A
3519,N,first,16,27,F
3520,Y,third,46,96,B
3521,N,third,4,4,F
3522,Y,second,80,42,F
3523,N,third,5,5,B
3524,Y,first,24,56,A
3525,N,first,11,8,F
3526,N,third,12,16,F
3527,Y,third,74,11,B
3528,Y,third,28,53,F
3529,Y,first,38,35,C
3530,N,first,13,76,D
3531,N,third,87,90,A
3532,N,second,55,36,C
3533,N,second,84,42,F
3534,Y,second,16,13,D
3535,Y,first,9,15,F
3536,Y,third,88,65,D
3537,Y,second,1,3,F
3538,Y,third,86,82,A
3539,N,third,4,10,F
3540,N,first,73,90,A
3541,N,first,91,31,A
3542,N,second,1,5,F
3543,Y,first,16,0,F
3544,N,second,95,38,A
3545,N,third,1,24,C
3546,Y,first,8,28,D
3547,Y,second,53,42,D
3548,Y,first,28,57,D
3549,Y,third,7,55,C
3550,N,second,5,16,A
3551,N,third,18,20,F
3552,N,second,97,60,A
3553,Y,third,3,12,A
3554,N,second,89,73,C
3555,Y,third,2,8,A
3556,N,second,95,47,A
3557,Y,third,87,21,C
3558,N,third,69,19,D
3559,Y,third,43,58,D
3560,Y,second,49,47,F
3561,Y,third,29,64,C
3562,Y,third,96,94,A
3563,Y,third,3,3,A
3564,Y,first,22,34,D
3565,Y,first,6,6,D
3566,Y,third,71,70,F
3567,Y,third,88,5,B
3568,Y,first,66,92,D
3569,N,second,17,14,D
3570,Y,second,68,60,A
3571,Y,first,28,47,C
3572,Y,third,39,9,B
3573,Y,second,44,75,D
3574,Y,first,19,14,D
3575,Y,second,16,9,F
3576,Y,first,17,5,B
3577,N,third,5,30,F
3578,Y,second,45,37,D
3579,Y,second,34,65,F
3580,N,third,3,13,A
3581,Y,third,19,8,D
3582,Y,second,82,85,F
3583,Y,third,4,2,F
3584,Y,first,25,59,C
3585,N,first,19,3,D
3586,Y,third,58,51,A
3587,Y,second,56,49,F
3588,Y,second,76,51,F
3589,Y,second,63,86,A
3590,N,second,93,92,D
3591,Y,second,9,3,F
3592,N,second,4,29,F
3593,Y,third,42,58,C
3594,N,second,21,76,B
3595,Y,first,14,16,F
3596,N,second,12,5,D
3597,N,third,2,2,A
3598,Y,first,23,7,D
3599,N,first,9,3,F
3600,N,second,6,10,B
3601,Y,second,54,75,A
3602,Y,third,44,51,C
3603,Y,third,50,61,B
3604,Y,third,48,58,C
3605,Y,third,56,55,F
3606,Y,third,50,23,B
3607,Y,second,80,35,A
3608,N,third,66,55,A
3609,Y,second,93,84,B
3610,Y,third,29,50,F
3611,Y,first,23,36,D
3612,Y,third,20,66,A
3613,N,first,10,6,F
3614,N,third,1,7,A
3615,Y,second,65,71,C
3616,Y,first,60,69,C
3617,Y,second,62,87,B
3618,Y,second,26,87,B
3619,N,third,6,16,A
3620,Y,third,19,71,F
3621,Y,first,6,8,F
3622,N,second,85,23,B
3623,Y,first,24,41,D
3624,Y,third,52,46,B
3625,Y,first,55,47,C
3626,N,third,1,9,A
3627,Y,third,26,74,C
3628,N,third,79,31,F
3629,Y,first,1,16,C
3630,Y,first,21,69,D
3631,N,second,4,6,A
3632,Y,third,33,50,A
3633,Y,first,19,8,D
3634,N,first,56,61,A
3635,Y,second,3,14,A
3636,Y,first,13,17,B
3637,N,third,4,16,F
3638,Y,second,9,9,A
3639,N,first,57,40,B
3640,N,first,19,12,F
3641,Y,second,93,57,D
3642,N,third,54,76,D
3643,Y,first,2,17,D
3644,N,third,9,9,A
3645,Y,first,99,19,D
3646,Y,third,61,67,A
3647,N,first,6,2,F
3648,Y,third,18,49,B
3649,Y,third,81,31,F
3650,N,third,5,12,D
3651,Y,first,49,20,B
3652,Y,first,14,15,F
3653,Y,first,61,45,A
3654,Y,third,10,3,D
3655,Y,first,67,76,B
3656,Y,second,53,50,D
3657,N,first,5,18,F
3658,N,first,7,22,F
3659,Y,first,79,1,D
3660,N,first,79,50,D
3661,Y,first,5,4,F
3662,Y,third,96,4,A
3663,Y,first,24,78,D
3664,N,first,65,64,A
3665,N,second,92,97,A
3666,N,second,63,22,F
3667,N,second,19,1,A
3668,N,third,51,30,B
3669,Y,first,60,52,B
3670,Y,third,59,75,F
3671,Y,third,62,50,C
3672,Y,first,17,0,F
3673,Y,third,20,30,A
3674,Y,second,83,71,D
3675,N,third,14,20,D
3676,Y,second,21,16,D
3677,N,second,5,5,F
3678,N,second,17,75,B
3679,Y,second,37,53,B
3680,N,second,9,12,F
3681,N,third,38,58,B
3682,N,third,7,70,A
3683,Y,third,19,15,F
3684,Y,second,88,86,A
3685,Y,second,91,89,A
3686,N,first,54,79,A
3687,Y,second,2,16,A
3688,Y,first,14,29,B
3689,N,first,13,19,D
3690,N,third,2,10,A
3691,Y,first,66,12,B
3692,N,first,5,27,F
3693,Y,second,4,31,D
3694,Y,third,69,90,C
3695,N,second,82,89,C
3696,N,third,7,7,D
3697,Y,first,73,68,C
3698,N,first,1,28,F
3699,Y,second,90,60,A
3700,Y,third,18,12,F
3701,Y,third,44,71,C
3702,Y,second,19,17,F
3703,N,third,97,32,B
3704,N,third,7,10,F
3705,N,third,2,29,F
3706,N,first,18,6,F
3707,Y,third,53,51,C
3708,Y,second,52,49,C
3709,Y,third,78,12,B
3710,N,second,15,23,D
3711,N,second,61,79,A
3712,N,first,74,40,A
3713,Y,second,86,70,A
3714,Y,first,92,39,A
3715,Y,third,81,44,A
3716,Y,second,36,82,F
3717,Y,second,63,4,F
3718,Y,first,24,28,B
3719,Y,first,84,52,A
3720,Y,second,90,47,B
3721,Y,second,2,5,B
3722,Y,third,61,49,D
3723,Y,third,40,4,D
3724,Y,second,62,10,B
3725,Y,third,52,24,A
3726,Y,second,14,43,B
3727,N,second,19,26,F
3728,Y,second,68,86,C
3729,N,third,7,1,B
3730,Y,second,48,54,D
3731,Y,first,70,17,A
3732,Y,third,84,11,D
3733,Y,first,56,72,D
3734,N,third,10,21,D
3735,N,third,24,33,F
3736,N,first,9,5,F
3737,Y,third,46,40,B
3738,N,second,6,26,D
3739,N,second,71,61,A
3740,N,third,8,4,F
3741,N,third,8,3,B
3742,Y,third,4,8,F
3743,Y,first,1,16,C
3744,Y,second,92,71,A
3745,N,first,76,44,B
3746,Y,first,44,52,D
3747,Y,second,85,46,A
3748,N,second,93,80,A
3749,Y,third,79,60,F
3750,Y,first,50,15,A
3751,N,second,78,71,C
3752,Y,third,12,15,F
3753,Y,second,2,15,F
3754,Y,first,34,24,A
3755,N,third,30,64,C
3756,Y,second,6,25,D
3757,N,third,1,11,D
3758,N,third,18,57,F
3759,Y,third,55,56,A
3760,Y,third,58,46,C
3761,Y,second,5,27,F
3762,Y,third,17,51,B
3763,Y,third,52,52,A
3764,Y,second,22,12,D
3765,Y,first,6,14,F
3766,Y,third,69,35,C
3767,Y,second,70,72,A
3768,Y,first,13,2,D
3769,Y,third,45,72,A
3770,N,third,95,68,A
3771,N,third,4,3,D
3772,Y,second,79,50,B
3773,Y,first,17,14,D
3774,N,third,34,76,A
3775,N,first,69,50,A
3776,Y,first,70,43,F
3777,Y,third,10,37,F
3778,N,third,2,11,F
3779,Y,second,77,22,C
3780,Y,second,17,11,D
3781,Y,first,9,22,A
3782,N,second,63,48,A
3783,N,third,60,61,A
3784,N,second,6,14,D
3785,Y,first,31,44,D
3786,Y,second,7,70,D
3787,Y,second,68,84,F
3788,Y,second,27,16,B
3789,Y,second,71,49,F
3790,Y,second,95,67,C
3791,N,second,16,37,F
3792,Y,second,38,84,A
3793,Y,third,36,51,A
3794,Y,third,97,81,C
3795,N,third,65,29,A
3796,N,second,17,29,F
3797,Y,first,14,13,D
3798,N,third,6,13,F
3799,Y,first,47,80,F
3800,N,first,2,28,D
3801,Y,third,45,28,A
3802,Y,third,65,74,B
3803,N,first,64,56,A
3804,N,third,36,64,C
3805,Y,third,21,66,A
3806,N,first,42,35,F
3807,Y,first,77,67,F
3808,N,second,73,62,A
3809,N,first,17,1,F
3810,N,second,91,60,A
3811,N,first,17,28,D
3812,Y,third,16,36,F
3813,N,first,4,40,B
3814,Y,third,28,25,F
3815,Y,first,54,27,D
3816,Y,second,74,61,F
3817,N,second,78,89,C
3818,Y,first,7,8,F
3819,N,third,96,51,A
3820,Y,second,66,46,A
3821,Y,first,30,41,A
3822,Y,second,13,58,C
3823,Y,first,25,45,D
3824,Y,first,49,43,B
3825,Y,third,49,77,A
3826,Y,third,21,96,A
3827,N,third,2,15,A
3828,Y,second,77,67,A
3829,Y,second,32,40,D
3830,N,second,6,10,F
3831,Y,third,54,40,B
3832,Y,second,40,58,D
3833,Y,first,63,50,B
3834,Y,third,8,11,F
3835,N,second,10,6,D
3836,Y,third,41,66,B
3837,N,second,77,89,C
3838,N,first,97,93,C
3839,Y,first,21,38,D
3840,Y,second,22,21,F
3841,Y,first,85,56,F
3842,N,second,14,14,F
3843,Y,third,2,94,A
3844,Y,second,85,86,A
3845,Y,third,64,53,B
3846,N,first,94,71,C
3847,N,third,73,32,C
3848,Y,second,31,53,D
3849,Y,third,78,30,A
3850,Y,first,98,54,F
3851,N,first,94,54,C
3852,N,second,89,94,A
3853,Y,first,14,28,D
3854,Y,third,76,57,B
3855,Y,third,77,58,A
3856,Y,third,69,54,B
3857,Y,third,13,43,C
3858,N,third,75,48,A
3859,N,second,26,47,F
3860,Y,third,70,98,B
3861,Y,second,36,28,A
3862,Y,third,16,48,D
3863,N,first,15,12,F
3864,Y,second,55,21,A
3865,Y,third,41,89,F
3866,Y,first,12,13,F
3867,Y,third,58,16,B
3868,Y,second,54,43,D
3869,Y,first,19,9,F
3870,Y,third,51,43,C
3871,Y,first,54,41,B
3872,N,third,32,53,D
3873,Y,third,83,47,A
3874,Y,first,1,1,D
3875,Y,third,94,86,A
3876,Y,second,9,1,B
3877,Y,third,77,71,B
3878,Y,second,4,4,F
3879,Y,second,64,85,F
3880,Y,third,60,55,F
3881,Y,third,4,92,A
3882,Y,second,29,48,D
3883,Y,first,10,74,C
3884,Y,third,21,29,D
3885,Y,third,62,32,F
3886,Y,first,87,79,A
3887,N,first,13,63,D
3888,Y,first,60,57,B
3889,Y,second,31,70,B
3890,Y,third,51,61,B
3891,Y,first,53,44,C
3892,N,second,83,59,A
3893,N,first,71,66,A
3894,Y,first,68,51,A
3895,N,second,27,69,C
3896,Y,third,39,65,A
3897,Y,second,57,9,B
3898,Y,first,66,57,D
3899,Y,second,68,72,B
3900,N,second,19,77,A
3901,Y,third,4,12,F
3902,N,first,87,74,A
3903,Y,third,11,6,F
3904,Y,first,83,17,D
3905,N,first,19,7,D
3906,Y,third,9,12,A
3907,Y,first,60,49,A
3908,Y,first,3,21,F
3909,Y,second,53,54,B
3910,Y,third,6,4,A
3911,Y,third,28,35,B
3912,Y,third,3,5,A
3913,Y,first,57,49,C
3914,Y,first,15,85,A
3915,N,first,86,10,A
3916,Y,third,36,52,D
3917,Y,second,86,87,B
3918,Y,third,36,55,D
3919,Y,third,78,68,A
3920,N,third,53,68,C
3921,N,third,65,80,A
3922,N,first,14,25,F
3923,Y,first,90,68,F
3924,Y,first,81,71,B
3925,N,third,4,11,B
3926,N,second,3,28,F
3927,Y,third,54,18,B
3928,N,second,18,12,D
3929,Y,third,9,76,A
3930,Y,second,14,30,B
3931,N,first,56,94,B
3932,Y,first,73,59,A
3933,Y,first,52,28,A
3934,Y,third,44,48,A
3935,N,second,17,14,F
3936,N,third,8,11,B
3937,Y,second,8,21,D
3938,Y,third,50,85,D
3939,Y,first,16,56,D
3940,N,third,1,20,F
3941,Y,first,23,50,F
3942,Y,first,8,20,D
3943,Y,third,6,18,D
3944,Y,first,6,0,D
3945,Y,third,71,86,A
3946,Y,second,7,87,B
3947,N,first,6,11,F
3948,Y,first,51,53,F
3949,N,second,2,3,F
3950,N,second,63,76,C
3951,Y,first,92,48,F
3952,N,second,79,68,A
3953,N,third,5,11,A
3954,N,third,4,10,F
3955,N,third,76,56,B
3956,Y,second,13,1,F
3957,Y,first,93,71,A
3958,N,first,1,23,D
3959,Y,first,1,16,F
3960,Y,first,36,64,B
3961,N,third,27,58,D
3962,N,third,69,74,D
3963,Y,second,58,35,C
3964,N,third,14,25,F
3965,Y,third,52,12,F
3966,N,third,79,72,C
3967,N,second,84,62,D
3968,Y,second,79,53,D
3969,Y,third,71,75,C
3970,Y,third,39,76,A
3971,N,second,9,4,A
3972,N,third,60,58,A
3973,Y,first,56,55,A
3974,Y,first,27,24,D
3975,Y,first,39,32,A
3976,N,second,59,60,A
3977,Y,third,47,62,B
3978,Y,third,56,22,D
3979,Y,first,48,58,D
3980,N,third,17,6,D
3981,N,first,93,86,C
3982,Y,first,24,40,A
3983,Y,first,9,26,F
3984,Y,second,50,75,B
3985,Y,third,6,7,B
3986,N,third,23,26,F
3987,N,second,14,28,F
3988,N,second,4,22,F
3989,N,second,0,10,B
3990,Y,second,88,88,A
3991,Y,first,20,67,B
3992,Y,third,54,77,A
3993,Y,first,20,55,D
3994,N,third,90,40,A
3995,N,second,62,52,B
3996,Y,third,50,40,F
3997,Y,first,30,11,A
3998,Y,third,63,30,D
3999,Y,second,59,36,D
4000,Y,second,87,42,A
4001,Y,first,15,14,A
4002,Y,second,98,84,A
4003,N,first,58,52,C
4004,Y,second,86,78,C
4005,Y,second,69,66,D
4006,N,third,28,2,B
4007,Y,first,42,56,C
4008,N,third,58,35,C
4009,Y,first,29,27,B
4010,N,second,16,6,D
4011,Y,first,29,99,D
4012,Y,first,2,2,F
4013,N,third,4,3,F
4014,Y,second,9,3,B
4015,N,second,99,83,C
4016,Y,third,16,56,C
4017,N,third,7,7,A
4018,Y,third,13,54,C
4019,Y,first,11,2,C
4020,Y,third,16,52,F
4021,Y,third,76,67,F
4022,Y,third,59,73,A
4023,Y,second,67,30,C
4024,Y,third,43,63,F
4025,Y,third,85,22,A
4026,Y,second,30,55,F
4027,N,third,12,30,F
4028,N,second,17,39,F
4029,Y,second,24,7,F
4030,N,third,79,89,C
4031,N,second,14,29,F
4032,Y,third,80,45,A
4033,N,second,60,48,A
4034,Y,second,72,64,A
4035,Y,second,34,69,F
4036,Y,third,17,66,B
4037,Y,second,4,7,D
4038,Y,third,65,64,A
4039,Y,second,14,55,F
4040,Y,third,52,58,F
4041,Y,first,95,83,D
4042,Y,third,42,34,A
4043,Y,third,67,76,C
4044,Y,third,12,70,A
4045,N,second,71,51,B
4046,N,third,24,7,B
4047,N,second,15,25,F
4048,Y,third,78,61,F
4049,Y,first,13,21,D
4050,Y,first,57,25,B
4051,Y,third,11,52,B
4052,N,first,12,1,F
4053,N,second,4,16,F
4054,N,second,11,10,F
4055,Y,second,85,17,B
4056,N,third,43,57,B
4057,Y,second,61,41,A
4058,N,first,92,30,A
4059,N,second,30,63,D
4060,Y,second,86,89,A
4061,N,third,49,50,A
4062,Y,third,4,13,F
4063,N,first,84,71,A
4064,N,second,4,21,F
4065,Y,second,11,43,D
4066,N,second,39,82,F
4067,N,third,6,8,A
4068,N,second,5,24,D
4069,Y,third,0,27,C
4070,N,first,89,67,C
4071,Y,first,21,10,C
4072,N,second,12,4,D
4073,N,third,70,57,A
4074,Y,first,44,57,D
