,session 5,test 3,dropout
1418,32.0,F,N
1419,46.0,B,N
1420,49.0,C,N
1421,12.0,D,N
1422,76.0,C,N
1423,34.0,D,N
1424,5.0,D,N
1425,3.0,C,Y
1426,13.0,A,N
1427,73.0,B,Y
1428,,,Y
1429,19.0,D,N
1430,,,Y
1431,33.0,A,N
1432,66.0,D,Y
1433,,,Y
1434,39.0,D,Y
1435,63.0,B,N
1436,31.0,A,N
1437,,,Y
1438,18.0,A,N
1439,95.0,F,N
1440,,,Y
1441,66.0,A,N
1442,63.0,F,N
1443,64.0,C,N
1444,44.0,D,N
1445,,,Y
1446,1.0,D,Y
1447,48.0,A,N
1448,4.0,B,N
1449,24.0,C,N
1450,,,Y
1451,35.0,B,N
1452,30.0,D,N
1453,,,Y
1454,75.0,F,N
1455,48.0,B,N
1456,5.0,F,N
1457,,,Y
1458,58.0,F,N
1459,75.0,A,N
1460,,,Y
1461,73.0,A,N
1462,81.0,B,N
1463,,,Y
1464,79.0,C,N
1465,48.0,F,N
1466,28.0,C,N
1467,63.0,F,N
1468,73.0,B,N
1469,94.0,D,N
1470,21.0,A,N
1471,85.0,D,N
1472,92.0,C,N
1473,49.0,A,N
1474,40.0,A,N
1475,,,Y
1476,25.0,B,N
1477,40.0,A,N
1478,40.0,D,N
1479,57.0,F,N
1480,56.0,F,N
1481,,,Y
1482,87.0,B,Y
1483,85.0,F,N
1484,90.0,F,N
1485,65.0,F,N
1486,37.0,D,N
1487,90.0,D,N
1488,30.0,A,N
1489,,,Y
1490,83.0,F,N
1491,69.0,F,N
1492,29.0,A,N
1493,66.0,D,Y
1494,31.0,F,N
1495,49.0,B,N
1496,82.0,D,Y
1497,67.0,B,N
1498,,,Y
1499,,,Y
1500,90.0,D,N
1501,5.0,C,N
1502,46.0,D,Y
1503,63.0,C,N
1504,82.0,D,N
1505,54.0,F,N
1506,,,Y
1507,63.0,C,N
1508,60.0,B,N
1509,21.0,F,Y
1510,23.0,B,N
1511,42.0,B,N
1512,64.0,F,N
1513,42.0,A,N
1514,74.0,D,N
1515,33.0,D,N
1516,14.0,F,N
1517,52.0,D,Y
1518,,,Y
1519,69.0,B,N
1520,54.0,D,Y
1521,84.0,F,Y
1522,73.0,F,N
1523,27.0,B,N
1524,36.0,D,Y
1525,42.0,A,N
1526,66.0,A,N
1527,,,Y
1528,40.0,B,N
1529,,,Y
1530,,,Y
1531,39.0,A,N
1532,,,Y
1533,19.0,B,N
1534,67.0,A,N
1535,,,Y
1536,,,Y
1537,13.0,F,N
1538,71.0,A,N
1539,,,Y
1540,40.0,D,N
1541,,,Y
1542,73.0,A,N
1543,2.0,D,Y
1544,26.0,D,N
1545,30.0,B,N
1546,94.0,D,N
1547,45.0,C,N
1548,,,Y
1549,,,Y
1550,32.0,B,N
1551,32.0,B,N
1552,78.0,B,N
1553,14.0,B,N
1554,33.0,D,N
1555,,,Y
1556,39.0,D,N
1557,65.0,C,N
1558,92.0,D,Y
1559,48.0,C,N
1560,,,Y
1561,27.0,F,N
1562,57.0,B,N
1563,38.0,B,N
1564,96.0,C,N
1565,46.0,A,N
1566,95.0,B,N
1567,,,Y
1568,,,Y
1569,27.0,C,N
1570,29.0,F,Y
1571,76.0,C,N
1572,32.0,A,N
1573,84.0,F,N
1574,51.0,F,N
1575,84.0,B,N
1576,87.0,B,Y
1577,47.0,D,N
1578,73.0,B,N
1579,,,Y
1580,84.0,C,N
1581,25.0,C,N
1582,46.0,B,N
1583,83.0,D,Y
1584,93.0,F,Y
1585,46.0,F,Y
1586,,,Y
1587,25.0,B,N
1588,95.0,C,N
1589,72.0,B,N
1590,3.0,F,N
1591,,,Y
1592,32.0,F,N
1593,47.0,A,N
1594,84.0,F,N
1595,27.0,B,N
1596,13.0,C,N
1597,35.0,B,N
1598,18.0,D,Y
1599,,,Y
1600,52.0,C,N
1601,,,Y
1602,70.0,B,N
1603,94.0,D,N
1604,49.0,B,N
1605,32.0,F,Y
1606,56.0,C,N
1607,78.0,C,N
1608,34.0,D,N
1609,,,Y
1610,23.0,F,Y
1611,92.0,F,N
1612,37.0,C,N
1613,40.0,B,N
1614,67.0,C,N
1615,76.0,A,N
1616,98.0,B,N
1617,,,Y
1618,64.0,B,N
1619,27.0,B,N
1620,80.0,A,N
1621,87.0,C,N
1622,93.0,D,N
1623,36.0,F,N
1624,8.0,B,N
1625,50.0,D,N
1626,,,Y
1627,16.0,C,N
1628,62.0,D,Y
1629,,,Y
1630,90.0,F,N
1631,36.0,A,N
1632,41.0,D,N
1633,48.0,A,N
1634,30.0,D,N
1635,,,Y
1636,44.0,F,Y
1637,85.0,A,N
1638,8.0,D,N
1639,76.0,F,N
1640,29.0,A,N
1641,,,Y
1642,71.0,F,N
1643,,,Y
1644,85.0,B,N
1645,51.0,C,N
1646,6.0,A,N
1647,,,Y
1648,51.0,A,N
1649,29.0,A,N
1650,80.0,C,N
1651,7.0,D,N
1652,97.0,C,N
1653,57.0,C,N
1654,88.0,B,Y
1655,,,Y
1656,44.0,F,N
1657,30.0,D,N
1658,8.0,C,Y
1659,29.0,B,N
1660,89.0,D,N
1661,,,Y
1662,63.0,D,N
1663,84.0,D,N
1664,59.0,B,N
1665,20.0,B,N
1666,36.0,F,N
1667,33.0,F,N
1668,,,Y
1669,,,Y
1670,50.0,C,N
1671,0.0,B,N
1672,74.0,C,N
1673,,,Y
1674,26.0,F,N
1675,94.0,B,N
1676,48.0,F,N
1677,38.0,A,N
1678,35.0,A,N
1679,,,Y
1680,,,Y
1681,44.0,F,N
1682,79.0,B,N
1683,77.0,D,Y
1684,88.0,B,N
1685,28.0,A,N
1686,45.0,F,Y
1687,28.0,A,N
1688,,,Y
1689,76.0,C,N
1690,39.0,B,N
1691,40.0,B,N
1692,55.0,D,Y
1693,93.0,C,N
1694,27.0,A,N
1695,57.0,F,Y
1696,,,Y
1697,74.0,F,N
1698,31.0,C,N
1699,,,Y
1700,53.0,A,N
1701,65.0,F,N
1702,19.0,F,N
1703,91.0,C,N
1704,54.0,C,N
1705,,,Y
1706,73.0,A,N
1707,50.0,D,N
1708,21.0,D,N
1709,10.0,C,N
1710,,,Y
1711,46.0,A,N
1712,,,Y
1713,43.0,B,Y
1714,,,Y
1715,50.0,D,Y
1716,10.0,A,N
1717,36.0,C,N
1718,48.0,D,N
1719,27.0,C,N
1720,,,Y
1721,54.0,F,Y
1722,25.0,B,N
1723,,,Y
1724,43.0,D,N
1725,,,Y
1726,41.0,B,N
1727,33.0,D,N
1728,4.0,F,N
1729,68.0,B,N
1730,,,Y
1731,71.0,B,N
1732,22.0,B,N
1733,29.0,C,N
1734,,,Y
1735,12.0,A,N
1736,,,Y
1737,66.0,B,N
1738,,,Y
1739,24.0,A,N
1740,64.0,C,N
1741,32.0,B,N
1742,32.0,D,N
1743,32.0,D,N
1744,39.0,F,N
1745,56.0,B,N
1746,,,Y
1747,,,Y
1748,1.0,C,N
1749,,,Y
1750,,,Y
1751,20.0,F,N
1752,83.0,F,Y
1753,77.0,F,N
1754,49.0,A,N
1755,,,Y
1756,0.0,D,N
1757,74.0,C,N
1758,83.0,C,N
1759,61.0,F,N
1760,51.0,B,N
1761,69.0,D,Y
1762,13.0,D,Y
1763,70.0,D,N
1764,,,Y
1765,80.0,F,N
1766,59.0,B,Y
1767,,,Y
1768,,,Y
1769,46.0,F,N
1770,,,Y
1771,19.0,A,N
1772,60.0,B,N
1773,17.0,F,Y
1774,74.0,C,N
1775,36.0,A,N
1776,39.0,F,N
1777,33.0,D,Y
1778,32.0,B,N
1779,64.0,D,N
1780,36.0,D,N
1781,45.0,D,Y
1782,78.0,B,N
1783,3.0,D,N
1784,31.0,F,N
1785,,,Y
1786,20.0,A,Y
1787,43.0,D,N
1788,,,Y
1789,4.0,C,N
1790,68.0,C,N
1791,63.0,D,N
1792,37.0,D,Y
1793,48.0,B,N
1794,39.0,A,N
1795,84.0,C,N
1796,80.0,A,N
1797,45.0,B,N
1798,84.0,B,N
1799,33.0,A,N
1800,89.0,F,N
1801,59.0,D,N
1802,36.0,C,Y
1803,0.0,F,N
1804,,,Y
1805,34.0,F,Y
1806,20.0,D,Y
1807,70.0,C,N
1808,37.0,F,N
1809,55.0,B,N
1810,73.0,C,N
1811,56.0,C,Y
1812,32.0,F,N
1813,,,Y
1814,54.0,F,N
1815,49.0,A,N
1816,36.0,F,N
1817,41.0,C,Y
1818,63.0,D,N
1819,,,Y
1820,38.0,D,N
1821,65.0,B,N
1822,77.0,F,N
1823,52.0,C,N
1824,37.0,B,N
1825,68.0,D,Y
1826,,,Y
1827,50.0,D,Y
1828,81.0,C,N
1829,15.0,B,Y
1830,85.0,D,Y
1831,97.0,B,N
1832,40.0,A,N
1833,75.0,B,N
1834,,,Y
1835,,,Y
1836,62.0,F,Y
1837,27.0,F,N
1838,24.0,B,N
1839,31.0,D,N
1840,,,Y
1841,53.0,C,N
1842,47.0,D,N
1843,,,Y
1844,48.0,F,Y
1845,73.0,B,N
1846,,,Y
1847,60.0,C,N
1848,48.0,A,N
1849,96.0,B,N
1850,0.0,A,N
1851,52.0,B,Y
1852,,,Y
1853,6.0,D,N
1854,,,Y
1855,30.0,F,N
1856,35.0,A,N
1857,,,Y
1858,62.0,B,Y
1859,10.0,B,N
1860,67.0,F,N
1861,,,Y
1862,26.0,B,N
1863,71.0,A,N
1864,88.0,F,Y
1865,,,Y
1866,,,Y
1867,84.0,F,N
1868,48.0,B,N
1869,74.0,A,N
1870,,,Y
1871,65.0,C,N
1872,76.0,F,N
1873,2.0,F,N
1874,31.0,C,Y
1875,13.0,C,N
1876,34.0,F,N
1877,,,Y
1878,30.0,D,Y
1879,58.0,C,Y
1880,8.0,A,N
1881,3.0,D,Y
1882,51.0,A,N
1883,43.0,F,N
1884,66.0,C,N
1885,99.0,F,N
1886,47.0,B,N
1887,33.0,F,N
1888,,,Y
1889,,,Y
1890,71.0,B,N
1891,50.0,A,N
1892,,,Y
1893,9.0,D,Y
1894,41.0,D,N
1895,23.0,C,N
1896,90.0,C,N
1897,51.0,B,Y
1898,63.0,B,N
1899,,,Y
1900,,,Y
1901,41.0,A,N
1902,50.0,B,N
1903,74.0,A,Y
1904,82.0,C,N
1905,50.0,B,Y
1906,21.0,A,N
1907,73.0,C,N
1908,74.0,A,N
1909,66.0,B,N
1910,2.0,A,N
1911,89.0,C,N
1912,45.0,D,Y
1913,,,Y
1914,,,Y
1915,33.0,D,Y
1916,13.0,F,N
1917,79.0,B,N
1918,41.0,C,N
1919,36.0,B,N
1920,,,Y
1921,13.0,F,N
1922,66.0,F,N
1923,48.0,B,N
1924,62.0,B,N
1925,73.0,C,N
1926,,,Y
1927,53.0,C,N
1928,,,Y
1929,45.0,F,N
1930,64.0,B,N
1931,,,Y
1932,98.0,C,N
1933,,,Y
1934,40.0,F,N
1935,67.0,C,N
1936,,,Y
1937,,,Y
1938,28.0,A,N
1939,71.0,D,N
1940,43.0,A,N
1941,9.0,A,Y
1942,56.0,F,Y
1943,50.0,A,N
1944,80.0,D,Y
1945,87.0,B,N
1946,52.0,A,N
1947,93.0,A,N
1948,35.0,B,N
1949,92.0,D,Y
1950,11.0,D,N
1951,46.0,B,N
1952,46.0,F,N
1953,94.0,C,N
1954,86.0,D,N
1955,43.0,F,N
1956,42.0,F,N
1957,20.0,F,Y
1958,55.0,F,Y
1959,,,Y
1960,16.0,A,N
1961,56.0,F,N
1962,26.0,F,Y
1963,35.0,C,N
1964,,,Y
1965,,,Y
1966,79.0,F,N
1967,,,Y
1968,95.0,C,N
1969,48.0,F,Y
1970,13.0,F,N
1971,48.0,A,N
1972,,,Y
1973,28.0,A,N
1974,44.0,D,N
1975,,,Y
1976,42.0,F,Y
1977,53.0,D,N
1978,99.0,C,N
1979,,,Y
1980,22.0,A,N
1981,,,Y
1982,42.0,D,Y
1983,48.0,D,Y
1984,64.0,A,N
1985,29.0,F,Y
1986,34.0,F,N
1987,24.0,D,N
1988,17.0,A,N
1989,71.0,B,N
1990,,,Y
1991,70.0,F,N
1992,16.0,A,Y
1993,79.0,D,N
1994,,,Y
1995,13.0,F,N
1996,42.0,A,N
1997,,,Y
1998,,,Y
1999,,,Y
2000,42.0,B,N
2001,62.0,C,N
2002,91.0,B,N
2003,79.0,A,N
2004,56.0,F,N
2005,62.0,B,N
2006,41.0,D,N
2007,87.0,A,N
2008,28.0,C,N
2009,59.0,D,N
2010,57.0,D,Y
2011,59.0,F,Y
2012,49.0,A,N
2013,41.0,D,Y
2014,,,Y
2015,45.0,A,N
2016,28.0,D,N
2017,26.0,A,N
2018,22.0,A,N
2019,48.0,D,Y
2020,11.0,D,Y
2021,,,Y
2022,92.0,A,N
2023,42.0,F,N
2024,,,Y
2025,69.0,D,Y
2026,69.0,B,N
2027,37.0,B,N
2028,53.0,F,N
2029,69.0,B,Y
2030,,,Y
2031,60.0,D,Y
2032,94.0,D,N
2033,23.0,C,Y
2034,34.0,B,N
2035,,,Y
2036,65.0,B,N
2037,15.0,D,N
2038,91.0,A,N
2039,,,Y
2040,57.0,F,N
2041,40.0,B,N
2042,32.0,F,N
2043,99.0,F,N
2044,52.0,C,N
2045,30.0,D,N
2046,40.0,F,N
2047,95.0,F,N
2048,44.0,C,N
2049,50.0,B,N
2050,33.0,B,N
2051,93.0,B,Y
2052,91.0,F,N
2053,,,Y
2054,79.0,C,N
2055,21.0,A,N
2056,10.0,B,N
2057,79.0,F,N
2058,81.0,D,Y
2059,49.0,D,N
2060,56.0,C,N
2061,95.0,C,N
2062,97.0,C,N
2063,,,Y
2064,74.0,D,Y
2065,,,Y
2066,30.0,A,Y
2067,27.0,A,N
2068,81.0,B,N
2069,30.0,B,N
2070,94.0,C,N
2071,79.0,C,N
2072,23.0,F,Y
2073,27.0,A,N
2074,,,Y
2075,32.0,D,N
2076,79.0,B,N
2077,45.0,D,N
2078,26.0,B,N
2079,2.0,A,N
2080,,,Y
2081,,,Y
2082,19.0,D,N
2083,62.0,F,Y
2084,37.0,B,N
2085,,,Y
2086,25.0,A,N
2087,0.0,C,N
2088,26.0,B,N
2089,2.0,F,N
2090,,,Y
2091,29.0,F,N
2092,11.0,C,Y
2093,45.0,F,N
2094,45.0,F,Y
2095,73.0,C,N
2096,40.0,A,N
2097,,,Y
2098,7.0,F,N
2099,,,Y
2100,34.0,F,N
2101,23.0,D,N
2102,46.0,B,N
2103,25.0,D,N
2104,,,Y
2105,,,Y
2106,16.0,F,Y
2107,65.0,B,Y
2108,50.0,C,N
2109,,,Y
2110,,,Y
2111,42.0,A,N
2112,47.0,B,N
2113,18.0,F,Y
2114,86.0,B,Y
2115,61.0,D,N
2116,80.0,B,N
2117,48.0,A,N
2118,34.0,D,N
2119,24.0,A,N
2120,42.0,B,N
2121,56.0,D,Y
2122,36.0,D,Y
2123,89.0,F,Y
2124,81.0,F,Y
2125,65.0,F,N
2126,5.0,F,N
2127,35.0,A,N
2128,95.0,F,N
2129,57.0,C,N
2130,0.0,F,N
2131,,,Y
2132,,,Y
2133,9.0,C,Y
2134,34.0,B,N
2135,59.0,F,N
2136,61.0,F,N
2137,40.0,A,N
2138,60.0,B,N
2139,53.0,D,Y
2140,19.0,D,N
2141,49.0,C,N
2142,98.0,B,N
2143,,,Y
2144,62.0,C,N
2145,68.0,A,N
2146,28.0,B,N
2147,49.0,C,N
2148,44.0,D,N
2149,74.0,B,N
2150,36.0,D,N
2151,26.0,B,N
2152,26.0,B,Y
2153,27.0,D,N
2154,,,Y
2155,79.0,A,N
2156,76.0,F,Y
2157,85.0,C,N
2158,25.0,C,Y
2159,17.0,A,N
2160,13.0,A,N
2161,76.0,F,N
2162,26.0,A,N
2163,87.0,D,Y
2164,71.0,F,N
2165,77.0,C,N
2166,70.0,D,N
2167,36.0,D,N
2168,66.0,A,N
2169,30.0,D,N
2170,24.0,F,N
2171,27.0,D,N
2172,54.0,F,Y
2173,,,Y
2174,52.0,C,N
2175,55.0,F,N
2176,62.0,B,N
2177,74.0,D,N
2178,,,Y
2179,,,Y
2180,64.0,A,N
2181,87.0,B,N
2182,37.0,A,N
2183,61.0,F,N
2184,75.0,D,Y
2185,29.0,B,N
2186,42.0,F,Y
2187,82.0,F,N
2188,,,Y
2189,5.0,F,N
2190,68.0,D,Y
2191,,,Y
2192,,,Y
2193,80.0,F,N
2194,30.0,B,N
2195,,,Y
2196,21.0,F,N
2197,,,Y
2198,15.0,A,N
2199,37.0,B,N
2200,36.0,B,N
2201,47.0,A,N
2202,29.0,C,N
2203,19.0,D,Y
2204,21.0,F,N
2205,2.0,D,N
2206,92.0,F,Y
2207,,,Y
2208,78.0,D,N
2209,50.0,B,N
2210,72.0,F,N
2211,46.0,F,N
2212,53.0,B,N
2213,48.0,F,N
2214,,,Y
2215,,,Y
2216,38.0,D,N
2217,44.0,F,N
2218,,,Y
2219,,,Y
2220,,,Y
2221,48.0,A,N
2222,,,Y
2223,43.0,D,Y
2224,62.0,D,Y
2225,,,Y
2226,36.0,B,N
2227,6.0,F,N
2228,96.0,C,N
2229,,,Y
2230,47.0,A,N
2231,42.0,A,N
2232,27.0,D,Y
2233,59.0,B,N
2234,63.0,C,N
2235,37.0,A,N
2236,42.0,C,N
2237,12.0,F,N
2238,68.0,D,N
2239,,,Y
2240,57.0,B,N
2241,28.0,A,N
2242,35.0,B,N
2243,93.0,A,N
2244,31.0,F,N
2245,13.0,A,N
2246,53.0,A,N
2247,64.0,F,N
2248,51.0,D,Y
2249,,,Y
2250,64.0,F,N
2251,41.0,A,N
2252,39.0,B,Y
2253,,,Y
2254,52.0,B,N
2255,,,Y
2256,97.0,F,N
2257,40.0,A,N
2258,,,Y
2259,25.0,B,N
2260,43.0,B,N
2261,49.0,A,N
2262,93.0,A,N
2263,36.0,D,N
2264,40.0,B,N
2265,64.0,F,N
2266,16.0,C,Y
2267,83.0,D,N
2268,63.0,F,Y
2269,57.0,A,Y
2270,77.0,C,N
2271,97.0,C,N
2272,,,Y
2273,95.0,F,N
2274,22.0,A,N
2275,48.0,B,N
2276,30.0,A,N
2277,16.0,B,N
2278,45.0,D,N
2279,,,Y
2280,68.0,A,N
2281,86.0,D,N
2282,,,Y
2283,62.0,F,N
2284,96.0,A,N
2285,44.0,C,N
2286,61.0,F,N
2287,67.0,F,N
2288,,,Y
2289,39.0,A,N
2290,9.0,B,N
2291,34.0,A,N
2292,38.0,C,N
2293,14.0,D,Y
2294,33.0,B,N
2295,,,Y
2296,48.0,A,Y
2297,16.0,B,N
2298,55.0,C,N
2299,80.0,D,Y
2300,65.0,C,N
2301,98.0,C,N
2302,42.0,B,N
2303,2.0,A,N
2304,25.0,A,N
2305,47.0,F,N
2306,,,Y
2307,66.0,A,N
2308,66.0,B,N
2309,92.0,F,N
2310,15.0,D,N
2311,89.0,C,N
2312,58.0,F,N
2313,45.0,D,N
2314,67.0,B,N
2315,0.0,A,N
2316,26.0,F,N
2317,28.0,D,N
2318,52.0,F,N
2319,,,Y
2320,74.0,D,N
2321,52.0,B,N
2322,77.0,C,N
2323,75.0,F,N
2324,52.0,F,N
2325,60.0,B,N
2326,56.0,A,N
2327,69.0,C,N
2328,52.0,D,Y
2329,,,Y
2330,27.0,B,N
2331,25.0,F,Y
2332,41.0,F,N
2333,12.0,A,Y
2334,95.0,C,N
2335,,,Y
2336,44.0,D,Y
2337,,,Y
2338,33.0,A,N
2339,42.0,D,N
2340,,,Y
2341,,,Y
2342,0.0,F,N
2343,27.0,B,N
2344,87.0,C,N
2345,51.0,B,N
2346,,,Y
2347,4.0,C,N
2348,30.0,B,N
2349,94.0,D,N
2350,14.0,D,Y
2351,30.0,B,N
2352,,,Y
2353,52.0,C,N
2354,27.0,F,Y
2355,33.0,B,N
2356,29.0,B,N
2357,1.0,C,N
2358,72.0,F,N
2359,36.0,D,N
2360,51.0,C,N
2361,,,Y
2362,98.0,A,N
2363,46.0,D,Y
2364,,,Y
2365,54.0,D,N
2366,45.0,B,N
2367,79.0,F,N
2368,54.0,B,N
2369,8.0,B,N
2370,,,Y
2371,57.0,D,N
2372,88.0,D,Y
2373,67.0,F,N
2374,45.0,F,Y
2375,41.0,A,N
2376,12.0,A,N
2377,83.0,C,N
2378,46.0,A,N
2379,,,Y
2380,50.0,C,N
2381,25.0,D,N
2382,52.0,B,N
2383,,,Y
2384,,,Y
2385,51.0,A,N
2386,78.0,B,N
2387,76.0,B,N
2388,75.0,F,N
2389,79.0,F,N
2390,29.0,A,N
2391,49.0,D,N
2392,45.0,B,N
2393,,,Y
2394,23.0,F,N
2395,72.0,A,N
2396,19.0,B,N
2397,60.0,D,Y
2398,,,Y
2399,24.0,D,N
2400,,,Y
2401,9.0,D,N
2402,85.0,B,N
2403,69.0,B,N
2404,34.0,F,N
2405,91.0,C,N
2406,,,Y
2407,63.0,B,N
2408,69.0,F,N
2409,49.0,A,N
2410,8.0,D,Y
2411,28.0,D,N
2412,54.0,B,N
2413,78.0,A,N
2414,,,Y
2415,96.0,C,N
2416,20.0,B,Y
2417,,,Y
2418,81.0,F,N
2419,,,Y
2420,97.0,B,N
2421,74.0,F,N
2422,71.0,A,N
2423,60.0,F,Y
2424,22.0,F,Y
2425,89.0,D,N
2426,3.0,C,Y
2427,13.0,F,N
2428,34.0,A,N
2429,34.0,F,N
2430,90.0,D,N
2431,40.0,F,N
2432,8.0,D,N
2433,43.0,B,N
2434,75.0,B,N
2435,44.0,C,Y
2436,30.0,B,N
2437,40.0,A,N
2438,,,Y
2439,64.0,F,N
2440,69.0,F,N
2441,33.0,F,N
2442,0.0,C,N
2443,49.0,B,N
2444,77.0,A,N
2445,,,Y
2446,44.0,D,N
2447,32.0,A,N
2448,,,Y
2449,27.0,B,N
2450,79.0,F,N
2451,,,Y
2452,,,Y
2453,76.0,B,N
2454,32.0,A,N
2455,,,Y
2456,86.0,B,N
2457,,,Y
2458,24.0,C,N
2459,,,Y
2460,,,Y
2461,29.0,A,N
2462,14.0,D,Y
2463,16.0,A,Y
2464,,,Y
2465,27.0,D,Y
2466,23.0,A,N
2467,74.0,B,N
2468,,,Y
2469,30.0,B,N
2470,33.0,F,Y
2471,,,Y
2472,42.0,F,N
2473,64.0,C,N
2474,14.0,F,Y
2475,54.0,B,N
2476,91.0,C,N
2477,46.0,D,N
2478,74.0,C,N
2479,66.0,A,N
2480,72.0,B,N
2481,27.0,D,N
2482,,,Y
2483,,,Y
2484,59.0,B,N
2485,,,Y
2486,,,Y
2487,,,Y
2488,5.0,C,N
2489,80.0,F,N
2490,,,Y
2491,55.0,B,N
2492,98.0,C,N
2493,36.0,A,N
2494,39.0,D,N
2495,30.0,C,N
2496,39.0,B,N
2497,80.0,C,Y
2498,46.0,C,N
2499,71.0,B,Y
2500,52.0,F,N
2501,36.0,B,N
2502,54.0,D,Y
2503,,,Y
2504,1.0,F,N
2505,23.0,B,N
2506,27.0,B,N
2507,55.0,D,N
2508,66.0,C,N
2509,91.0,F,N
2510,53.0,B,N
2511,23.0,F,Y
2512,8.0,C,N
2513,38.0,F,N
2514,68.0,B,N
2515,27.0,C,N
2516,4.0,B,N
2517,11.0,F,N
2518,89.0,F,N
2519,49.0,C,N
2520,,,Y
2521,56.0,A,N
2522,38.0,A,N
2523,70.0,D,Y
2524,,,Y
2525,60.0,F,N
2526,39.0,A,N
2527,24.0,B,N
2528,,,Y
2529,37.0,A,N
2530,50.0,F,Y
2531,,,Y
2532,60.0,D,Y
2533,69.0,F,Y
2534,77.0,B,N
2535,,,Y
2536,67.0,B,N
2537,20.0,F,N
2538,26.0,D,N
2539,,,Y
2540,,,Y
2541,48.0,A,N
2542,31.0,F,Y
2543,35.0,F,Y
2544,65.0,D,Y
2545,2.0,B,N
2546,19.0,D,Y
2547,70.0,C,N
2548,76.0,B,N
2549,18.0,C,N
2550,74.0,D,Y
2551,,,Y
2552,37.0,D,Y
2553,75.0,B,N
2554,7.0,A,N
2555,25.0,B,N
2556,83.0,C,N
2557,27.0,A,N
2558,60.0,D,N
2559,,,Y
2560,28.0,B,N
2561,39.0,B,N
2562,16.0,A,N
2563,48.0,D,N
2564,81.0,C,N
2565,73.0,B,N
2566,92.0,D,Y
2567,92.0,C,N
2568,,,Y
2569,70.0,A,N
2570,50.0,D,N
2571,,,Y
2572,,,Y
2573,90.0,F,Y
2574,,,Y
2575,,,Y
2576,46.0,A,N
2577,58.0,A,N
2578,66.0,D,Y
2579,8.0,F,N
2580,41.0,F,N
2581,40.0,A,N
2582,50.0,F,Y
2583,64.0,A,N
2584,63.0,C,N
2585,31.0,A,N
2586,42.0,A,N
2587,43.0,D,Y
2588,46.0,A,N
2589,27.0,F,N
2590,92.0,F,N
2591,79.0,A,N
2592,38.0,C,Y
2593,49.0,B,N
2594,48.0,B,N
2595,65.0,D,N
2596,32.0,D,N
2597,7.0,C,N
2598,34.0,C,Y
2599,77.0,D,N
2600,,,Y
2601,,,Y
2602,28.0,F,N
2603,27.0,D,N
2604,44.0,B,N
2605,45.0,C,Y
2606,31.0,B,N
2607,21.0,C,Y
2608,73.0,D,N
2609,49.0,F,N
2610,,,Y
2611,62.0,D,N
2612,71.0,D,N
2613,48.0,F,N
2614,,,Y
2615,,,Y
2616,71.0,D,N
2617,,,Y
2618,41.0,F,N
2619,59.0,B,N
2620,34.0,B,N
2621,22.0,F,Y
2622,70.0,D,N
2623,,,Y
2624,52.0,A,N
2625,,,Y
2626,63.0,C,Y
2627,36.0,B,N
2628,63.0,B,Y
2629,56.0,F,N
2630,91.0,C,N
2631,,,Y
2632,62.0,D,N
2633,92.0,C,N
2634,66.0,D,Y
2635,63.0,F,N
2636,69.0,D,Y
2637,24.0,B,N
2638,49.0,A,N
2639,,,Y
2640,13.0,B,N
2641,,,Y
2642,27.0,F,N
2643,,,Y
2644,45.0,B,N
2645,35.0,D,Y
2646,78.0,B,N
2647,29.0,F,N
2648,32.0,D,N
2649,54.0,F,N
2650,5.0,F,N
2651,78.0,F,Y
2652,64.0,A,N
2653,46.0,C,N
2654,,,Y
2655,65.0,B,Y
2656,58.0,B,N
2657,,,Y
2658,98.0,B,N
2659,60.0,A,Y
2660,88.0,B,N
2661,26.0,A,N
2662,53.0,D,N
2663,61.0,D,Y
2664,53.0,D,N
2665,74.0,B,N
2666,96.0,B,N
2667,30.0,F,N
2668,34.0,F,Y
2669,,,Y
2670,35.0,F,Y
2671,68.0,C,N
2672,45.0,A,N
2673,36.0,F,N
2674,11.0,F,N
2675,89.0,B,N
2676,76.0,B,N
2677,25.0,B,N
2678,23.0,F,N
2679,39.0,D,Y
2680,86.0,B,N
2681,17.0,F,N
2682,51.0,B,N
2683,8.0,A,N
2684,,,Y
2685,61.0,B,Y
2686,46.0,A,N
2687,49.0,A,N
2688,13.0,A,N
2689,88.0,B,N
2690,37.0,D,N
2691,2.0,D,N
2692,26.0,A,N
2693,8.0,B,N
2694,,,Y
2695,24.0,B,N
2696,90.0,C,N
2697,50.0,C,N
2698,67.0,F,N
2699,85.0,B,N
2700,36.0,A,N
2701,74.0,B,N
2702,79.0,D,Y
2703,46.0,A,N
2704,90.0,F,Y
2705,78.0,F,N
2706,45.0,B,N
2707,62.0,F,Y
2708,78.0,C,N
2709,26.0,A,N
2710,40.0,C,N
2711,36.0,C,Y
2712,29.0,B,N
2713,86.0,B,N
2714,37.0,A,N
2715,61.0,F,N
2716,14.0,F,N
2717,,,Y
2718,88.0,C,N
2719,53.0,D,Y
2720,35.0,D,Y
2721,21.0,A,N
2722,66.0,F,N
2723,12.0,D,Y
2724,67.0,C,N
2725,17.0,A,N
2726,46.0,B,N
2727,80.0,A,N
2728,,,Y
2729,33.0,D,N
2730,,,Y
2731,71.0,F,N
2732,,,Y
2733,0.0,A,Y
2734,65.0,A,N
2735,,,Y
2736,34.0,D,Y
2737,72.0,C,N
2738,82.0,F,N
