,session 3,session 4,test 2
2890,57.0,17.0,D
2891,80.0,6.0,C
2892,,,
2893,12.0,46.0,D
2894,51.0,60.0,F
2895,47.0,44.0,F
2896,65.0,71.0,A
2897,39.0,42.0,D
2898,22.0,32.0,D
2899,12.0,48.0,A
2900,74.0,5.0,D
2901,40.0,45.0,B
2902,88.0,16.0,D
2903,85.0,62.0,D
2904,77.0,98.0,B
2905,60.0,67.0,A
2906,58.0,46.0,C
2907,46.0,22.0,D
2908,36.0,65.0,A
2909,32.0,74.0,D
2910,43.0,19.0,C
2911,9.0,11.0,A
2912,8.0,24.0,F
2913,77.0,92.0,D
2914,73.0,95.0,A
2915,88.0,57.0,B
2916,68.0,41.0,C
2917,34.0,31.0,B
2918,60.0,60.0,B
2919,1.0,51.0,B
2920,50.0,32.0,C
2921,88.0,54.0,F
2922,67.0,54.0,D
2923,65.0,75.0,A
2924,70.0,52.0,B
2925,45.0,40.0,D
2926,,,
2927,,,
2928,8.0,37.0,B
2929,48.0,52.0,D
2930,87.0,11.0,F
2931,64.0,67.0,A
2932,57.0,65.0,F
2933,23.0,41.0,D
2934,7.0,17.0,D
2935,59.0,49.0,F
2936,93.0,37.0,A
2937,52.0,27.0,C
2938,21.0,12.0,A
2939,75.0,78.0,A
2940,65.0,66.0,C
2941,61.0,72.0,F
2942,,,
2943,,,
2944,30.0,30.0,D
2945,56.0,70.0,B
2946,32.0,31.0,D
2947,13.0,5.0,A
2948,,,
2949,24.0,43.0,D
2950,12.0,46.0,C
2951,32.0,53.0,B
2952,74.0,41.0,A
2953,68.0,33.0,B
2954,,,
2955,38.0,6.0,F
2956,93.0,53.0,A
2957,52.0,25.0,B
2958,12.0,24.0,B
2959,51.0,2.0,A
2960,84.0,24.0,A
2961,82.0,27.0,A
2962,66.0,34.0,D
2963,85.0,57.0,C
2964,94.0,57.0,B
2965,25.0,49.0,D
2966,56.0,36.0,A
2967,8.0,34.0,B
2968,71.0,23.0,A
2969,84.0,31.0,A
2970,38.0,44.0,F
2971,8.0,24.0,F
2972,2.0,33.0,B
2973,66.0,12.0,A
2974,71.0,60.0,B
2975,80.0,81.0,B
2976,,,
2977,87.0,48.0,B
2978,3.0,32.0,A
2979,44.0,24.0,F
2980,45.0,48.0,D
2981,64.0,23.0,C
2982,6.0,33.0,B
2983,87.0,8.0,D
2984,13.0,16.0,C
2985,29.0,37.0,D
2986,47.0,47.0,B
2987,33.0,11.0,F
2988,36.0,32.0,C
2989,61.0,20.0,A
2990,50.0,63.0,A
2991,4.0,56.0,B
2992,63.0,14.0,F
2993,58.0,35.0,C
2994,26.0,20.0,F
2995,1.0,24.0,B
2996,54.0,51.0,D
2997,85.0,47.0,C
2998,97.0,51.0,F
2999,,,
3000,9.0,17.0,F
3001,31.0,30.0,F
3002,60.0,72.0,C
3003,,,
3004,73.0,12.0,F
3005,8.0,43.0,C
3006,25.0,36.0,C
3007,16.0,59.0,B
3008,5.0,48.0,D
3009,13.0,45.0,C
3010,63.0,14.0,B
3011,4.0,19.0,F
3012,85.0,69.0,D
3013,72.0,78.0,A
3014,77.0,62.0,F
3015,43.0,37.0,B
3016,22.0,62.0,A
3017,87.0,20.0,D
3018,4.0,16.0,D
3019,15.0,49.0,F
3020,9.0,44.0,A
3021,86.0,39.0,B
3022,93.0,71.0,F
3023,91.0,74.0,B
3024,88.0,79.0,A
3025,99.0,15.0,A
3026,56.0,63.0,C
3027,8.0,33.0,B
3028,53.0,61.0,B
3029,83.0,67.0,D
3030,,,
3031,54.0,46.0,C
3032,,,
3033,47.0,90.0,F
3034,80.0,53.0,A
3035,7.0,57.0,B
3036,7.0,31.0,B
3037,77.0,7.0,A
3038,61.0,70.0,D
3039,67.0,72.0,B
3040,79.0,76.0,D
3041,49.0,48.0,F
3042,,,
3043,9.0,12.0,B
3044,48.0,2.0,C
3045,53.0,30.0,D
3046,90.0,75.0,F
3047,71.0,74.0,A
3048,48.0,50.0,D
3049,5.0,53.0,A
3050,3.0,61.0,D
3051,8.0,38.0,F
3052,1.0,17.0,B
3053,95.0,53.0,C
3054,86.0,11.0,D
3055,82.0,10.0,F
3056,22.0,49.0,C
3057,28.0,78.0,D
3058,44.0,6.0,F
3059,75.0,59.0,C
3060,44.0,35.0,B
3061,69.0,26.0,D
3062,71.0,94.0,D
3063,5.0,48.0,B
3064,44.0,59.0,B
3065,53.0,23.0,F
3066,28.0,37.0,B
3067,76.0,76.0,A
3068,68.0,58.0,C
3069,68.0,31.0,A
3070,8.0,50.0,F
3071,,,
3072,20.0,30.0,D
3073,35.0,74.0,C
3074,54.0,45.0,D
3075,39.0,99.0,C
3076,29.0,60.0,A
3077,26.0,6.0,A
3078,4.0,50.0,B
3079,30.0,38.0,D
3080,42.0,29.0,F
3081,22.0,31.0,D
3082,71.0,83.0,A
3083,82.0,56.0,A
3084,7.0,42.0,C
3085,,,
3086,25.0,59.0,C
3087,53.0,68.0,A
3088,92.0,34.0,A
3089,73.0,80.0,A
3090,84.0,29.0,A
3091,37.0,21.0,F
3092,89.0,42.0,C
3093,62.0,59.0,C
3094,11.0,44.0,A
3095,62.0,29.0,B
3096,5.0,30.0,D
3097,,,
3098,1.0,11.0,D
3099,85.0,33.0,A
3100,59.0,36.0,C
3101,95.0,3.0,A
3102,55.0,10.0,C
3103,68.0,9.0,C
3104,80.0,24.0,C
3105,6.0,46.0,B
3106,3.0,26.0,A
3107,71.0,89.0,D
3108,,,
3109,,,
3110,29.0,36.0,D
3111,2.0,22.0,B
3112,81.0,58.0,A
3113,48.0,36.0,D
3114,45.0,37.0,D
3115,48.0,62.0,F
3116,,,
3117,36.0,58.0,F
3118,12.0,62.0,B
3119,12.0,19.0,D
3120,48.0,21.0,F
3121,,,
3122,54.0,68.0,C
3123,77.0,51.0,B
3124,6.0,17.0,B
3125,75.0,18.0,C
3126,66.0,3.0,A
3127,23.0,38.0,B
3128,22.0,22.0,D
3129,42.0,73.0,C
3130,86.0,43.0,A
3131,61.0,68.0,F
3132,35.0,42.0,D
3133,66.0,63.0,B
3134,80.0,28.0,A
3135,,,
3136,76.0,10.0,A
3137,,,
3138,90.0,49.0,C
3139,84.0,33.0,D
3140,54.0,0.0,F
3141,47.0,22.0,F
3142,74.0,45.0,F
3143,47.0,64.0,D
3144,68.0,46.0,B
3145,19.0,32.0,F
3146,85.0,22.0,A
3147,,,
3148,55.0,2.0,F
3149,98.0,69.0,A
3150,66.0,2.0,B
3151,30.0,34.0,D
3152,50.0,74.0,C
3153,32.0,35.0,D
3154,58.0,62.0,A
3155,49.0,59.0,D
3156,82.0,23.0,B
3157,55.0,70.0,B
3158,33.0,34.0,B
3159,10.0,52.0,A
3160,40.0,45.0,D
3161,58.0,15.0,C
3162,90.0,58.0,A
3163,5.0,22.0,B
3164,11.0,57.0,B
3165,90.0,89.0,A
3166,26.0,43.0,A
3167,1.0,10.0,F
3168,84.0,6.0,A
3169,76.0,31.0,B
3170,76.0,33.0,B
3171,65.0,21.0,D
3172,63.0,34.0,D
3173,79.0,69.0,B
3174,75.0,31.0,D
3175,15.0,81.0,B
3176,64.0,72.0,A
3177,14.0,14.0,F
3178,1.0,31.0,B
3179,2.0,12.0,D
3180,6.0,14.0,A
3181,41.0,91.0,A
3182,37.0,44.0,D
3183,13.0,32.0,B
3184,,,
3185,,,
3186,51.0,73.0,F
3187,93.0,74.0,C
3188,67.0,36.0,F
3189,65.0,4.0,F
3190,37.0,54.0,C
3191,,,
3192,2.0,52.0,C
3193,,,
3194,97.0,74.0,A
3195,35.0,44.0,D
3196,,,
3197,44.0,37.0,D
3198,56.0,22.0,F
3199,13.0,36.0,D
3200,1.0,17.0,F
3201,36.0,93.0,F
3202,61.0,97.0,D
3203,26.0,19.0,F
3204,7.0,21.0,D
3205,12.0,24.0,B
3206,64.0,65.0,C
3207,15.0,55.0,C
3208,90.0,42.0,A
3209,89.0,22.0,B
3210,33.0,8.0,F
3211,88.0,4.0,A
3212,59.0,24.0,C
3213,60.0,25.0,B
3214,79.0,34.0,A
3215,25.0,37.0,A
3216,42.0,42.0,D
3217,38.0,39.0,D
3218,44.0,57.0,F
3219,69.0,48.0,C
3220,69.0,25.0,B
3221,40.0,51.0,D
3222,54.0,55.0,A
3223,8.0,28.0,C
3224,54.0,29.0,D
3225,5.0,54.0,F
3226,1.0,23.0,D
3227,78.0,32.0,A
3228,64.0,5.0,F
3229,51.0,55.0,F
3230,48.0,51.0,D
3231,93.0,25.0,D
3232,44.0,88.0,C
3233,11.0,4.0,C
3234,65.0,35.0,B
3235,52.0,18.0,A
3236,23.0,38.0,D
3237,42.0,40.0,A
3238,62.0,2.0,B
3239,92.0,70.0,C
3240,75.0,65.0,A
3241,53.0,63.0,B
3242,48.0,98.0,F
3243,29.0,49.0,D
3244,,,
3245,25.0,32.0,B
3246,87.0,34.0,A
3247,13.0,25.0,D
3248,33.0,71.0,B
3249,46.0,44.0,D
3250,41.0,14.0,D
3251,11.0,26.0,B
3252,30.0,43.0,D
3253,71.0,41.0,A
3254,65.0,39.0,C
3255,99.0,61.0,B
3256,,,
3257,41.0,67.0,C
3258,37.0,56.0,F
3259,98.0,26.0,C
3260,9.0,34.0,F
3261,44.0,17.0,B
3262,68.0,25.0,A
3263,19.0,15.0,A
3264,39.0,54.0,C
3265,66.0,10.0,F
3266,35.0,45.0,B
3267,86.0,39.0,B
3268,13.0,58.0,C
3269,48.0,20.0,A
3270,46.0,46.0,C
3271,5.0,52.0,F
3272,82.0,84.0,B
3273,34.0,8.0,F
3274,56.0,11.0,F
3275,11.0,5.0,C
3276,51.0,90.0,F
3277,42.0,73.0,A
3278,31.0,35.0,D
3279,,,
3280,,,
3281,1.0,37.0,B
3282,2.0,49.0,C
3283,31.0,37.0,B
3284,81.0,30.0,B
3285,4.0,39.0,A
3286,82.0,15.0,D
3287,,,
3288,49.0,51.0,C
3289,47.0,30.0,D
3290,8.0,22.0,C
3291,71.0,78.0,F
3292,48.0,41.0,D
3293,32.0,1.0,F
3294,4.0,67.0,A
3295,81.0,30.0,C
3296,25.0,32.0,C
3297,4.0,45.0,D
3298,75.0,62.0,D
3299,24.0,6.0,A
3300,66.0,12.0,B
3301,,,
3302,47.0,1.0,C
3303,87.0,97.0,A
3304,82.0,48.0,C
3305,65.0,17.0,A
3306,23.0,29.0,C
3307,50.0,14.0,F
3308,39.0,17.0,F
3309,49.0,95.0,D
3310,57.0,34.0,D
3311,99.0,74.0,B
3312,74.0,27.0,F
3313,50.0,9.0,F
3314,,,
3315,88.0,61.0,B
3316,50.0,25.0,F
3317,67.0,24.0,D
3318,4.0,55.0,C
3319,88.0,59.0,B
3320,59.0,56.0,B
3321,56.0,94.0,A
3322,40.0,36.0,D
3323,12.0,10.0,D
3324,34.0,39.0,C
3325,9.0,39.0,B
3326,6.0,10.0,F
3327,71.0,49.0,B
3328,69.0,33.0,D
3329,95.0,38.0,B
3330,23.0,54.0,C
3331,11.0,33.0,A
3332,75.0,64.0,F
3333,21.0,32.0,D
3334,91.0,58.0,B
3335,48.0,34.0,B
3336,2.0,21.0,B
3337,36.0,39.0,B
3338,35.0,38.0,C
3339,,,
3340,58.0,49.0,A
3341,81.0,59.0,D
3342,46.0,49.0,D
3343,9.0,43.0,C
3344,74.0,59.0,D
3345,56.0,26.0,C
3346,35.0,15.0,F
3347,62.0,14.0,F
3348,58.0,65.0,D
3349,65.0,98.0,A
3350,30.0,3.0,F
3351,66.0,32.0,B
3352,32.0,43.0,D
3353,,,
3354,2.0,57.0,C
3355,11.0,17.0,B
3356,92.0,21.0,A
3357,,,
3358,86.0,59.0,A
3359,57.0,77.0,F
3360,88.0,27.0,A
3361,57.0,18.0,A
3362,99.0,78.0,A
3363,26.0,54.0,F
3364,,,
3365,52.0,12.0,A
3366,77.0,45.0,B
3367,2.0,49.0,C
3368,47.0,42.0,C
3369,85.0,87.0,A
3370,51.0,39.0,B
3371,29.0,56.0,A
3372,1.0,45.0,A
3373,73.0,29.0,C
3374,23.0,72.0,A
3375,37.0,49.0,B
3376,73.0,69.0,C
3377,46.0,57.0,C
3378,54.0,67.0,B
3379,14.0,29.0,B
3380,70.0,22.0,F
3381,74.0,41.0,A
3382,55.0,43.0,D
3383,72.0,8.0,A
3384,73.0,76.0,A
3385,40.0,43.0,D
3386,1.0,19.0,C
3387,87.0,55.0,D
3388,36.0,53.0,D
3389,10.0,32.0,B
3390,84.0,99.0,B
3391,37.0,35.0,F
3392,2.0,65.0,A
3393,59.0,58.0,A
3394,,,
3395,64.0,50.0,F
3396,11.0,40.0,F
3397,88.0,74.0,B
3398,68.0,94.0,F
3399,51.0,75.0,B
3400,41.0,16.0,F
3401,8.0,28.0,C
3402,36.0,39.0,D
3403,62.0,1.0,A
3404,66.0,35.0,B
3405,96.0,56.0,D
3406,6.0,14.0,D
3407,,,
3408,1.0,26.0,D
3409,63.0,58.0,A
3410,56.0,32.0,B
3411,5.0,47.0,A
3412,40.0,52.0,C
3413,13.0,52.0,F
3414,4.0,22.0,B
3415,89.0,58.0,C
3416,7.0,23.0,F
3417,1.0,54.0,C
3418,51.0,71.0,A
3419,55.0,34.0,C
3420,56.0,43.0,B
3421,,,
3422,11.0,58.0,B
3423,88.0,57.0,C
3424,53.0,38.0,C
3425,24.0,38.0,D
3426,86.0,88.0,B
3427,3.0,40.0,C
3428,,,
3429,,,
3430,67.0,52.0,A
3431,87.0,41.0,C
3432,3.0,37.0,A
3433,14.0,97.0,F
3434,37.0,87.0,B
3435,66.0,90.0,C
3436,6.0,21.0,B
3437,80.0,9.0,C
3438,65.0,18.0,F
3439,52.0,20.0,A
3440,50.0,39.0,C
3441,33.0,35.0,D
3442,69.0,55.0,D
3443,58.0,3.0,D
3444,,,
3445,91.0,77.0,F
3446,21.0,3.0,C
3447,57.0,43.0,D
3448,13.0,52.0,D
3449,30.0,42.0,D
3450,2.0,36.0,C
3451,,,
3452,47.0,43.0,D
3453,31.0,22.0,F
3454,38.0,30.0,C
3455,16.0,65.0,F
3456,35.0,68.0,B
3457,,,
3458,13.0,29.0,D
3459,83.0,31.0,F
3460,91.0,46.0,B
3461,53.0,37.0,A
3462,77.0,58.0,F
3463,31.0,0.0,F
3464,83.0,15.0,F
3465,25.0,43.0,C
3466,87.0,63.0,A
3467,60.0,13.0,B
3468,,,
3469,2.0,32.0,B
3470,11.0,17.0,D
3471,24.0,6.0,C
3472,31.0,44.0,D
3473,84.0,61.0,D
3474,70.0,47.0,A
3475,87.0,61.0,A
3476,44.0,41.0,C
3477,7.0,8.0,A
3478,,,
3479,2.0,49.0,A
3480,71.0,24.0,F
3481,61.0,92.0,A
3482,56.0,62.0,D
3483,73.0,56.0,B
3484,31.0,72.0,D
3485,,,
3486,13.0,23.0,C
3487,83.0,41.0,B
3488,50.0,51.0,F
3489,15.0,13.0,D
3490,,,
3491,58.0,68.0,A
3492,74.0,21.0,D
3493,,,
3494,41.0,42.0,D
3495,5.0,13.0,D
3496,66.0,31.0,C
3497,82.0,74.0,A
3498,48.0,82.0,C
3499,33.0,35.0,D
3500,1.0,25.0,C
3501,57.0,71.0,F
3502,29.0,23.0,F
3503,31.0,47.0,B
3504,57.0,32.0,A
3505,27.0,29.0,C
3506,41.0,21.0,F
3507,78.0,46.0,A
3508,40.0,42.0,D
3509,4.0,47.0,D
3510,44.0,84.0,C
3511,89.0,80.0,A
3512,51.0,82.0,B
3513,33.0,45.0,D
3514,73.0,21.0,D
3515,48.0,52.0,D
3516,28.0,40.0,F
3517,9.0,50.0,F
3518,57.0,18.0,D
3519,36.0,44.0,D
3520,85.0,33.0,C
3521,6.0,51.0,B
3522,3.0,29.0,C
3523,9.0,43.0,A
3524,96.0,60.0,B
3525,33.0,52.0,D
3526,51.0,42.0,D
3527,89.0,43.0,C
3528,93.0,43.0,C
3529,46.0,12.0,F
3530,26.0,91.0,C
3531,59.0,66.0,D
3532,45.0,43.0,A
3533,16.0,22.0,C
3534,,,
3535,,,
3536,55.0,15.0,A
3537,7.0,51.0,C
3538,75.0,34.0,F
3539,10.0,41.0,D
3540,79.0,83.0,F
3541,44.0,54.0,A
3542,36.0,38.0,D
3543,,,
3544,83.0,17.0,F
3545,56.0,79.0,C
3546,57.0,32.0,B
3547,27.0,21.0,D
3548,31.0,49.0,C
3549,7.0,45.0,A
3550,1.0,43.0,B
3551,41.0,43.0,C
3552,88.0,77.0,B
3553,9.0,49.0,D
3554,79.0,95.0,D
3555,6.0,39.0,D
3556,52.0,10.0,C
3557,25.0,87.0,B
3558,10.0,74.0,B
3559,40.0,7.0,D
3560,6.0,63.0,C
3561,79.0,31.0,C
3562,50.0,79.0,D
3563,1.0,35.0,B
3564,39.0,33.0,C
3565,2.0,18.0,B
3566,88.0,78.0,C
3567,35.0,35.0,B
3568,45.0,46.0,A
3569,53.0,38.0,F
3570,94.0,35.0,B
3571,,,
3572,28.0,22.0,C
3573,93.0,52.0,A
3574,38.0,30.0,D
3575,45.0,36.0,C
3576,,,
3577,,,
3578,27.0,6.0,C
3579,41.0,66.0,A
3580,12.0,38.0,D
3581,,,
3582,50.0,22.0,C
3583,5.0,19.0,D
3584,,,
3585,49.0,31.0,C
3586,25.0,21.0,F
3587,80.0,33.0,A
3588,89.0,25.0,D
3589,69.0,79.0,A
3590,55.0,55.0,B
3591,23.0,52.0,D
3592,42.0,45.0,C
3593,84.0,57.0,A
3594,82.0,82.0,C
3595,,,
3596,36.0,45.0,D
3597,10.0,43.0,C
3598,,,
3599,46.0,31.0,D
3600,1.0,27.0,C
3601,88.0,53.0,B
3602,62.0,68.0,C
3603,76.0,70.0,A
3604,15.0,35.0,C
3605,81.0,33.0,B
3606,43.0,6.0,F
3607,84.0,71.0,B
3608,74.0,50.0,C
3609,71.0,48.0,F
3610,,,
3611,,,
3612,50.0,65.0,B
3613,35.0,31.0,B
3614,2.0,14.0,A
3615,80.0,50.0,A
3616,88.0,71.0,C
3617,77.0,83.0,A
3618,5.0,85.0,A
3619,1.0,37.0,F
3620,60.0,40.0,C
3621,,,
3622,55.0,99.0,A
3623,14.0,52.0,D
3624,53.0,15.0,D
3625,23.0,72.0,C
3626,11.0,54.0,D
3627,89.0,76.0,A
3628,56.0,35.0,B
3629,,,
3630,73.0,40.0,B
3631,13.0,42.0,B
3632,55.0,50.0,C
3633,,,
3634,87.0,77.0,F
3635,8.0,19.0,C
3636,,,
3637,20.0,53.0,D
3638,12.0,8.0,B
3639,94.0,6.0,A
3640,48.0,38.0,C
3641,76.0,12.0,A
3642,61.0,64.0,F
3643,,,
3644,11.0,35.0,D
3645,29.0,59.0,D
3646,75.0,72.0,F
3647,43.0,37.0,D
3648,24.0,44.0,B
3649,86.0,76.0,A
3650,37.0,37.0,B
3651,69.0,53.0,B
3652,,,
3653,55.0,78.0,A
3654,52.0,37.0,D
3655,54.0,20.0,A
3656,29.0,21.0,D
3657,25.0,50.0,C
3658,49.0,43.0,D
3659,67.0,22.0,B
3660,89.0,92.0,C
3661,,,
3662,58.0,36.0,A
3663,75.0,32.0,B
3664,68.0,45.0,D
3665,69.0,86.0,F
3666,2.0,50.0,A
3667,51.0,70.0,D
3668,98.0,74.0,F
3669,55.0,25.0,A
3670,61.0,77.0,A
3671,14.0,14.0,A
3672,,,
3673,7.0,59.0,A
3674,74.0,24.0,C
3675,44.0,41.0,C
3676,64.0,13.0,B
3677,47.0,50.0,D
3678,65.0,16.0,C
3679,33.0,66.0,A
3680,33.0,30.0,D
3681,0.0,26.0,D
3682,94.0,3.0,B
3683,77.0,20.0,F
3684,63.0,56.0,C
3685,85.0,80.0,A
3686,54.0,34.0,F
3687,8.0,44.0,D
3688,68.0,8.0,A
3689,58.0,40.0,D
3690,9.0,27.0,D
3691,41.0,8.0,C
3692,39.0,53.0,D
3693,21.0,88.0,A
3694,73.0,95.0,D
3695,9.0,19.0,A
3696,56.0,37.0,D
3697,97.0,30.0,A
3698,54.0,50.0,D
3699,85.0,5.0,C
3700,52.0,47.0,F
3701,97.0,67.0,B
3702,22.0,34.0,C
3703,55.0,2.0,A
3704,11.0,53.0,B
3705,31.0,53.0,D
3706,36.0,54.0,D
3707,32.0,21.0,F
3708,46.0,19.0,F
3709,4.0,92.0,D
3710,20.0,31.0,D
3711,61.0,80.0,D
3712,70.0,19.0,F
3713,68.0,48.0,A
3714,79.0,16.0,C
3715,19.0,17.0,C
3716,86.0,18.0,D
3717,23.0,58.0,A
3718,,,
3719,79.0,43.0,D
3720,71.0,57.0,C
3721,13.0,27.0,C
3722,82.0,36.0,C
3723,40.0,31.0,A
3724,28.0,18.0,C
3725,61.0,54.0,B
3726,,,
3727,26.0,45.0,D
3728,83.0,80.0,C
3729,1.0,22.0,D
3730,12.0,49.0,F
3731,66.0,68.0,A
3732,83.0,55.0,D
3733,57.0,68.0,B
3734,33.0,41.0,B
3735,,,
3736,38.0,46.0,C
3737,4.0,26.0,F
3738,43.0,31.0,D
3739,50.0,15.0,C
3740,,,
3741,3.0,46.0,D
3742,2.0,27.0,F
3743,,,
3744,25.0,53.0,A
3745,59.0,15.0,A
3746,69.0,39.0,B
3747,18.0,68.0,C
3748,40.0,25.0,D
3749,86.0,65.0,B
3750,74.0,74.0,C
3751,55.0,5.0,D
3752,43.0,31.0,F
3753,59.0,50.0,C
3754,54.0,22.0,F
3755,31.0,24.0,C
3756,84.0,53.0,A
3757,46.0,35.0,F
3758,55.0,73.0,B
3759,66.0,65.0,C
3760,26.0,13.0,F
3761,36.0,54.0,C
3762,64.0,74.0,D
3763,60.0,28.0,D
3764,,,
3765,55.0,45.0,A
3766,39.0,71.0,B
3767,64.0,45.0,A
3768,,,
3769,85.0,40.0,B
3770,68.0,99.0,F
3771,35.0,54.0,D
3772,96.0,33.0,A
3773,,,
3774,34.0,58.0,B
3775,53.0,26.0,A
3776,82.0,63.0,D
3777,91.0,79.0,D
3778,6.0,20.0,A
3779,29.0,78.0,B
3780,30.0,38.0,D
3781,68.0,21.0,A
3782,61.0,34.0,C
3783,56.0,72.0,F
3784,53.0,43.0,B
3785,33.0,54.0,C
3786,92.0,9.0,F
3787,88.0,62.0,F
3788,,,
3789,86.0,46.0,A
3790,89.0,77.0,A
3791,,,
3792,74.0,87.0,A
3793,99.0,43.0,B
3794,18.0,62.0,A
3795,16.0,36.0,A
3796,,,
3797,,,
3798,5.0,53.0,D
3799,59.0,36.0,C
3800,31.0,37.0,C
3801,16.0,59.0,A
3802,58.0,29.0,D
3803,64.0,79.0,D
3804,89.0,94.0,F
3805,71.0,58.0,A
3806,76.0,69.0,B
3807,83.0,63.0,B
3808,36.0,81.0,F
3809,38.0,30.0,D
3810,43.0,50.0,A
3811,54.0,30.0,C
3812,,,
3813,93.0,1.0,F
3814,,,
3815,27.0,1.0,F
3816,27.0,18.0,F
3817,49.0,47.0,C
3818,23.0,53.0,D
3819,65.0,91.0,A
3820,52.0,58.0,C
3821,24.0,47.0,F
3822,,,
3823,8.0,45.0,F
3824,47.0,36.0,B
3825,74.0,31.0,F
3826,74.0,12.0,A
3827,3.0,43.0,C
3828,82.0,35.0,B
3829,8.0,38.0,F
3830,21.0,45.0,C
3831,34.0,3.0,F
3832,39.0,40.0,F
3833,98.0,76.0,A
3834,8.0,49.0,B
3835,28.0,45.0,F
3836,60.0,56.0,F
3837,69.0,31.0,B
3838,42.0,95.0,C
3839,,,
3840,,,
3841,93.0,35.0,C
3842,42.0,46.0,F
3843,36.0,0.0,A
3844,97.0,53.0,A
3845,89.0,58.0,A
3846,85.0,44.0,F
3847,92.0,20.0,C
3848,35.0,9.0,F
3849,52.0,14.0,A
3850,87.0,72.0,F
3851,11.0,27.0,C
3852,55.0,82.0,D
3853,,,
3854,79.0,53.0,C
3855,80.0,54.0,F
3856,59.0,16.0,F
3857,70.0,63.0,A
3858,99.0,33.0,C
3859,70.0,37.0,F
3860,47.0,24.0,F
3861,14.0,44.0,F
3862,,,
3863,46.0,54.0,F
3864,38.0,9.0,D
3865,60.0,19.0,A
3866,,,
3867,52.0,27.0,F
3868,41.0,5.0,F
3869,,,
3870,28.0,2.0,F
3871,63.0,19.0,F
3872,89.0,77.0,F
3873,79.0,11.0,F
3874,,,
3875,45.0,19.0,A
3876,4.0,35.0,F
3877,51.0,45.0,A
3878,,,
3879,72.0,45.0,A
3880,90.0,37.0,B
3881,59.0,87.0,B
3882,29.0,31.0,C
3883,22.0,65.0,F
3884,,,
3885,87.0,80.0,A
3886,8.0,74.0,C
3887,41.0,31.0,C
3888,53.0,54.0,A
3889,48.0,13.0,B
3890,66.0,54.0,C
3891,63.0,9.0,F
3892,52.0,23.0,D
3893,42.0,38.0,D
3894,26.0,24.0,D
3895,79.0,71.0,D
3896,83.0,66.0,A
3897,30.0,79.0,C
3898,65.0,36.0,B
3899,94.0,57.0,A
3900,82.0,5.0,F
3901,3.0,27.0,B
3902,72.0,18.0,A
3903,46.0,47.0,B
3904,71.0,91.0,C
3905,37.0,30.0,D
3906,4.0,57.0,C
3907,48.0,67.0,C
3908,50.0,41.0,D
3909,68.0,31.0,F
3910,6.0,32.0,B
3911,,,
3912,10.0,17.0,B
3913,48.0,8.0,D
3914,28.0,48.0,C
3915,59.0,77.0,F
3916,48.0,40.0,A
3917,86.0,11.0,B
3918,28.0,23.0,F
3919,54.0,28.0,D
3920,10.0,73.0,B
3921,73.0,95.0,A
3922,42.0,37.0,D
3923,44.0,58.0,D
3924,76.0,60.0,F
3925,5.0,51.0,B
3926,,,
3927,52.0,79.0,B
3928,51.0,33.0,D
3929,20.0,28.0,D
3930,72.0,13.0,C
3931,96.0,46.0,B
3932,35.0,60.0,C
3933,39.0,6.0,F
3934,62.0,73.0,B
3935,,,
3936,8.0,34.0,A
3937,39.0,48.0,D
3938,2.0,98.0,D
3939,12.0,60.0,F
3940,,,
3941,47.0,9.0,F
3942,22.0,32.0,D
3943,34.0,35.0,B
3944,,,
3945,56.0,59.0,D
3946,49.0,13.0,F
3947,27.0,46.0,D
3948,2.0,42.0,F
3949,7.0,41.0,B
3950,79.0,93.0,C
3951,46.0,17.0,C
3952,86.0,1.0,C
3953,4.0,33.0,B
3954,5.0,52.0,B
3955,59.0,42.0,F
3956,28.0,54.0,C
3957,55.0,56.0,B
3958,57.0,33.0,D
3959,22.0,40.0,B
3960,19.0,7.0,A
3961,8.0,0.0,D
3962,21.0,10.0,C
3963,83.0,34.0,D
3964,,,
3965,60.0,69.0,B
3966,74.0,64.0,A
3967,62.0,59.0,A
3968,70.0,33.0,A
3969,41.0,43.0,C
3970,58.0,21.0,B
3971,6.0,47.0,A
3972,41.0,61.0,F
3973,56.0,66.0,A
3974,26.0,28.0,A
3975,16.0,81.0,F
3976,79.0,63.0,F
3977,92.0,53.0,B
3978,94.0,42.0,C
3979,6.0,12.0,F
3980,28.0,33.0,C
3981,44.0,13.0,A
3982,21.0,21.0,D
3983,37.0,51.0,C
3984,16.0,41.0,A
3985,10.0,50.0,D
3986,,,
3987,27.0,32.0,D
3988,54.0,37.0,D
3989,,,
3990,57.0,46.0,D
3991,72.0,1.0,C
3992,55.0,25.0,A
3993,4.0,52.0,F
3994,62.0,31.0,C
3995,69.0,81.0,C
3996,48.0,37.0,A
3997,42.0,79.0,B
3998,86.0,28.0,A
3999,42.0,23.0,F
4000,68.0,78.0,A
4001,76.0,30.0,C
4002,61.0,88.0,F
4003,40.0,53.0,F
4004,65.0,42.0,B
4005,98.0,33.0,C
4006,,,
4007,62.0,39.0,B
4008,77.0,17.0,C
4009,,,
4010,40.0,51.0,D
4011,49.0,77.0,A
4012,12.0,88.0,D
4013,9.0,19.0,A
4014,8.0,18.0,D
4015,44.0,90.0,F
4016,,,
4017,1.0,9.0,D
4018,62.0,60.0,B
4019,,,
4020,66.0,47.0,D
4021,99.0,35.0,B
4022,93.0,78.0,A
4023,74.0,32.0,A
