,session 3,session 4,test 2,dropout
2735,37.0,0.0,D,Y
2736,72.0,88.0,A,Y
2737,42.0,49.0,D,N
2738,78.0,47.0,A,N
2739,12.0,45.0,F,Y
2740,14.0,28.0,B,N
2741,94.0,66.0,C,N
2742,47.0,34.0,B,N
2743,84.0,32.0,B,Y
2744,41.0,0.0,F,Y
2745,16.0,35.0,C,Y
2746,66.0,46.0,C,N
2747,12.0,38.0,A,N
2748,96.0,72.0,B,N
2749,5.0,35.0,D,Y
2750,52.0,99.0,F,N
2751,72.0,94.0,A,N
2752,57.0,56.0,F,Y
2753,38.0,41.0,B,N
2754,56.0,35.0,B,N
2755,4.0,38.0,C,N
2756,34.0,43.0,B,Y
2757,45.0,74.0,B,Y
2758,,,,Y
2759,9.0,32.0,F,Y
2760,24.0,29.0,A,Y
2761,42.0,85.0,F,N
2762,89.0,8.0,F,N
2763,8.0,28.0,D,N
2764,55.0,33.0,B,N
2765,35.0,42.0,D,N
2766,39.0,38.0,D,N
2767,41.0,0.0,F,Y
2768,22.0,89.0,B,Y
2769,93.0,61.0,A,N
2770,,,,Y
2771,1.0,10.0,F,N
2772,71.0,71.0,F,N
2773,40.0,53.0,F,Y
2774,51.0,33.0,D,N
2775,76.0,9.0,D,N
2776,16.0,36.0,F,N
2777,94.0,77.0,A,N
2778,39.0,47.0,D,N
2779,58.0,50.0,D,N
2780,16.0,34.0,B,N
2781,86.0,46.0,C,N
2782,42.0,45.0,F,Y
2783,1.0,65.0,C,N
2784,32.0,38.0,F,N
2785,65.0,17.0,F,Y
2786,66.0,83.0,A,N
2787,49.0,57.0,F,N
2788,75.0,79.0,C,N
2789,44.0,53.0,F,N
2790,52.0,33.0,A,N
2791,87.0,63.0,F,N
2792,32.0,60.0,C,Y
2793,56.0,77.0,B,N
2794,29.0,37.0,B,N
2795,63.0,58.0,A,Y
2796,,,,Y
2797,6.0,54.0,D,N
2798,37.0,46.0,C,Y
2799,72.0,2.0,C,N
2800,72.0,17.0,F,N
2801,31.0,55.0,B,Y
2802,59.0,6.0,A,N
2803,73.0,24.0,B,N
2804,6.0,18.0,B,N
2805,66.0,59.0,A,N
2806,,,,Y
2807,57.0,30.0,B,N
2808,8.0,7.0,F,N
2809,17.0,18.0,A,Y
2810,61.0,1.0,F,N
2811,43.0,76.0,C,N
2812,74.0,27.0,B,N
2813,28.0,44.0,D,N
2814,49.0,1.0,F,Y
2815,76.0,45.0,B,N
2816,97.0,34.0,A,N
2817,67.0,41.0,B,N
2818,36.0,47.0,B,N
2819,,,,Y
2820,24.0,66.0,F,N
2821,,,,Y
2822,67.0,75.0,F,N
2823,53.0,45.0,A,N
2824,2.0,29.0,C,N
2825,74.0,63.0,A,N
2826,11.0,50.0,B,N
2827,23.0,43.0,B,N
2828,90.0,50.0,C,N
2829,29.0,11.0,F,Y
2830,25.0,54.0,F,N
2831,6.0,22.0,A,N
2832,7.0,27.0,D,N
2833,,,,Y
2834,54.0,20.0,C,N
2835,,,,Y
2836,,,,Y
2837,33.0,32.0,D,N
2838,,,,Y
2839,61.0,48.0,D,Y
2840,36.0,46.0,C,N
2841,20.0,68.0,F,Y
2842,45.0,18.0,C,N
2843,10.0,21.0,D,N
2844,,,,Y
2845,10.0,95.0,D,Y
2846,55.0,52.0,D,N
2847,62.0,7.0,F,Y
2848,,,,Y
2849,78.0,46.0,D,Y
2850,,,,Y
2851,37.0,24.0,D,Y
2852,92.0,31.0,D,N
2853,,,,Y
2854,,,,Y
2855,,,,Y
2856,16.0,7.0,A,N
2857,75.0,97.0,A,N
2858,80.0,59.0,B,N
2859,54.0,34.0,D,N
2860,83.0,74.0,A,N
2861,,,,Y
2862,9.0,44.0,C,N
2863,75.0,20.0,A,N
2864,34.0,51.0,F,Y
2865,51.0,38.0,D,N
2866,64.0,23.0,B,N
2867,,,,Y
2868,79.0,11.0,C,Y
2869,69.0,4.0,A,Y
2870,83.0,58.0,D,Y
2871,95.0,59.0,B,N
2872,84.0,15.0,B,Y
2873,25.0,42.0,C,N
2874,23.0,43.0,F,N
2875,78.0,31.0,D,Y
2876,67.0,25.0,C,N
2877,40.0,37.0,C,N
2878,42.0,89.0,F,Y
2879,7.0,44.0,B,N
2880,40.0,53.0,F,Y
2881,95.0,29.0,B,N
2882,44.0,0.0,F,Y
2883,72.0,4.0,C,Y
2884,60.0,35.0,B,N
2885,73.0,45.0,A,Y
2886,72.0,54.0,F,N
2887,86.0,59.0,A,N
2888,,,,Y
2889,36.0,15.0,C,Y
2890,57.0,17.0,D,N
2891,80.0,6.0,C,Y
2892,,,,Y
2893,12.0,46.0,D,N
2894,51.0,60.0,F,Y
2895,47.0,44.0,F,Y
2896,65.0,71.0,A,N
2897,39.0,42.0,D,N
2898,22.0,32.0,D,N
2899,12.0,48.0,A,N
2900,74.0,5.0,D,Y
2901,40.0,45.0,B,N
2902,88.0,16.0,D,N
2903,85.0,62.0,D,N
2904,77.0,98.0,B,N
2905,60.0,67.0,A,N
2906,58.0,46.0,C,N
2907,46.0,22.0,D,N
2908,36.0,65.0,A,Y
2909,32.0,74.0,D,N
2910,43.0,19.0,C,Y
2911,9.0,11.0,A,N
2912,8.0,24.0,F,N
2913,77.0,92.0,D,N
2914,73.0,95.0,A,Y
2915,88.0,57.0,B,N
2916,68.0,41.0,C,N
2917,34.0,31.0,B,N
2918,60.0,60.0,B,Y
2919,1.0,51.0,B,N
2920,50.0,32.0,C,N
2921,88.0,54.0,F,Y
2922,67.0,54.0,D,N
2923,65.0,75.0,A,N
2924,70.0,52.0,B,N
2925,45.0,40.0,D,N
2926,,,,Y
2927,,,,Y
2928,8.0,37.0,B,N
2929,48.0,52.0,D,N
2930,87.0,11.0,F,N
2931,64.0,67.0,A,N
2932,57.0,65.0,F,N
2933,23.0,41.0,D,N
2934,7.0,17.0,D,N
2935,59.0,49.0,F,N
2936,93.0,37.0,A,N
2937,52.0,27.0,C,Y
2938,21.0,12.0,A,N
2939,75.0,78.0,A,N
2940,65.0,66.0,C,N
2941,61.0,72.0,F,Y
2942,,,,Y
2943,,,,Y
2944,30.0,30.0,D,N
2945,56.0,70.0,B,N
2946,32.0,31.0,D,N
2947,13.0,5.0,A,N
2948,,,,Y
2949,24.0,43.0,D,N
2950,12.0,46.0,C,N
2951,32.0,53.0,B,N
2952,74.0,41.0,A,N
2953,68.0,33.0,B,Y
2954,,,,Y
2955,38.0,6.0,F,Y
2956,93.0,53.0,A,N
2957,52.0,25.0,B,N
2958,12.0,24.0,B,N
2959,51.0,2.0,A,N
2960,84.0,24.0,A,Y
2961,82.0,27.0,A,N
2962,66.0,34.0,D,Y
2963,85.0,57.0,C,N
2964,94.0,57.0,B,N
2965,25.0,49.0,D,N
2966,56.0,36.0,A,N
2967,8.0,34.0,B,N
2968,71.0,23.0,A,N
2969,84.0,31.0,A,N
2970,38.0,44.0,F,N
2971,8.0,24.0,F,N
2972,2.0,33.0,B,N
2973,66.0,12.0,A,Y
2974,71.0,60.0,B,N
2975,80.0,81.0,B,N
2976,,,,Y
2977,87.0,48.0,B,N
2978,3.0,32.0,A,N
2979,44.0,24.0,F,Y
2980,45.0,48.0,D,N
2981,64.0,23.0,C,N
2982,6.0,33.0,B,N
2983,87.0,8.0,D,N
2984,13.0,16.0,C,N
2985,29.0,37.0,D,N
2986,47.0,47.0,B,Y
2987,33.0,11.0,F,Y
2988,36.0,32.0,C,Y
2989,61.0,20.0,A,Y
2990,50.0,63.0,A,N
2991,4.0,56.0,B,N
2992,63.0,14.0,F,Y
2993,58.0,35.0,C,N
2994,26.0,20.0,F,Y
2995,1.0,24.0,B,N
2996,54.0,51.0,D,Y
2997,85.0,47.0,C,N
2998,97.0,51.0,F,N
2999,,,,Y
3000,9.0,17.0,F,N
3001,31.0,30.0,F,Y
3002,60.0,72.0,C,Y
3003,,,,Y
3004,73.0,12.0,F,Y
3005,8.0,43.0,C,N
3006,25.0,36.0,C,N
3007,16.0,59.0,B,N
3008,5.0,48.0,D,N
3009,13.0,45.0,C,N
3010,63.0,14.0,B,Y
3011,4.0,19.0,F,N
3012,85.0,69.0,D,N
3013,72.0,78.0,A,N
3014,77.0,62.0,F,Y
3015,43.0,37.0,B,N
3016,22.0,62.0,A,N
3017,87.0,20.0,D,N
3018,4.0,16.0,D,N
3019,15.0,49.0,F,Y
3020,9.0,44.0,A,N
3021,86.0,39.0,B,N
3022,93.0,71.0,F,N
3023,91.0,74.0,B,N
3024,88.0,79.0,A,N
3025,99.0,15.0,A,N
3026,56.0,63.0,C,N
3027,8.0,33.0,B,N
3028,53.0,61.0,B,Y
3029,83.0,67.0,D,Y
3030,,,,Y
3031,54.0,46.0,C,N
3032,,,,Y
3033,47.0,90.0,F,Y
3034,80.0,53.0,A,N
3035,7.0,57.0,B,N
3036,7.0,31.0,B,N
3037,77.0,7.0,A,N
3038,61.0,70.0,D,Y
3039,67.0,72.0,B,Y
3040,79.0,76.0,D,N
3041,49.0,48.0,F,Y
3042,,,,Y
3043,9.0,12.0,B,N
3044,48.0,2.0,C,Y
3045,53.0,30.0,D,N
3046,90.0,75.0,F,N
3047,71.0,74.0,A,Y
3048,48.0,50.0,D,N
3049,5.0,53.0,A,N
3050,3.0,61.0,D,Y
3051,8.0,38.0,F,N
3052,1.0,17.0,B,N
3053,95.0,53.0,C,N
3054,86.0,11.0,D,N
3055,82.0,10.0,F,Y
3056,22.0,49.0,C,N
3057,28.0,78.0,D,N
3058,44.0,6.0,F,Y
3059,75.0,59.0,C,N
3060,44.0,35.0,B,N
3061,69.0,26.0,D,Y
3062,71.0,94.0,D,N
3063,5.0,48.0,B,N
3064,44.0,59.0,B,N
3065,53.0,23.0,F,Y
3066,28.0,37.0,B,N
3067,76.0,76.0,A,N
3068,68.0,58.0,C,N
3069,68.0,31.0,A,N
3070,8.0,50.0,F,N
3071,,,,Y
3072,20.0,30.0,D,N
3073,35.0,74.0,C,N
3074,54.0,45.0,D,N
3075,39.0,99.0,C,N
3076,29.0,60.0,A,N
3077,26.0,6.0,A,Y
3078,4.0,50.0,B,N
3079,30.0,38.0,D,N
3080,42.0,29.0,F,Y
3081,22.0,31.0,D,N
3082,71.0,83.0,A,N
3083,82.0,56.0,A,N
3084,7.0,42.0,C,N
3085,,,,Y
3086,25.0,59.0,C,N
3087,53.0,68.0,A,N
3088,92.0,34.0,A,N
3089,73.0,80.0,A,N
3090,84.0,29.0,A,N
3091,37.0,21.0,F,Y
3092,89.0,42.0,C,N
3093,62.0,59.0,C,Y
3094,11.0,44.0,A,N
3095,62.0,29.0,B,Y
3096,5.0,30.0,D,N
3097,,,,Y
3098,1.0,11.0,D,N
3099,85.0,33.0,A,N
3100,59.0,36.0,C,N
3101,95.0,3.0,A,Y
3102,55.0,10.0,C,Y
3103,68.0,9.0,C,N
3104,80.0,24.0,C,Y
3105,6.0,46.0,B,N
3106,3.0,26.0,A,N
3107,71.0,89.0,D,N
3108,,,,Y
3109,,,,Y
3110,29.0,36.0,D,N
3111,2.0,22.0,B,N
3112,81.0,58.0,A,N
3113,48.0,36.0,D,N
3114,45.0,37.0,D,N
3115,48.0,62.0,F,Y
3116,,,,Y
3117,36.0,58.0,F,Y
3118,12.0,62.0,B,N
3119,12.0,19.0,D,N
3120,48.0,21.0,F,Y
3121,,,,Y
3122,54.0,68.0,C,N
3123,77.0,51.0,B,N
3124,6.0,17.0,B,N
3125,75.0,18.0,C,N
3126,66.0,3.0,A,Y
3127,23.0,38.0,B,N
3128,22.0,22.0,D,Y
3129,42.0,73.0,C,Y
3130,86.0,43.0,A,N
3131,61.0,68.0,F,N
3132,35.0,42.0,D,N
3133,66.0,63.0,B,Y
3134,80.0,28.0,A,N
3135,,,,Y
3136,76.0,10.0,A,N
3137,,,,Y
3138,90.0,49.0,C,N
3139,84.0,33.0,D,N
3140,54.0,0.0,F,Y
3141,47.0,22.0,F,N
3142,74.0,45.0,F,Y
3143,47.0,64.0,D,Y
3144,68.0,46.0,B,N
3145,19.0,32.0,F,Y
3146,85.0,22.0,A,Y
3147,,,,Y
3148,55.0,2.0,F,Y
3149,98.0,69.0,A,N
3150,66.0,2.0,B,N
3151,30.0,34.0,D,N
3152,50.0,74.0,C,N
3153,32.0,35.0,D,N
3154,58.0,62.0,A,N
3155,49.0,59.0,D,N
3156,82.0,23.0,B,Y
3157,55.0,70.0,B,Y
3158,33.0,34.0,B,N
3159,10.0,52.0,A,N
3160,40.0,45.0,D,Y
3161,58.0,15.0,C,Y
3162,90.0,58.0,A,N
3163,5.0,22.0,B,N
3164,11.0,57.0,B,N
3165,90.0,89.0,A,N
3166,26.0,43.0,A,N
3167,1.0,10.0,F,N
3168,84.0,6.0,A,Y
3169,76.0,31.0,B,N
3170,76.0,33.0,B,N
3171,65.0,21.0,D,N
3172,63.0,34.0,D,Y
3173,79.0,69.0,B,N
3174,75.0,31.0,D,N
3175,15.0,81.0,B,Y
3176,64.0,72.0,A,Y
3177,14.0,14.0,F,N
3178,1.0,31.0,B,N
3179,2.0,12.0,D,N
3180,6.0,14.0,A,N
3181,41.0,91.0,A,N
3182,37.0,44.0,D,N
3183,13.0,32.0,B,N
3184,,,,Y
3185,,,,Y
3186,51.0,73.0,F,Y
3187,93.0,74.0,C,N
3188,67.0,36.0,F,Y
3189,65.0,4.0,F,Y
3190,37.0,54.0,C,Y
3191,,,,Y
3192,2.0,52.0,C,Y
3193,,,,Y
3194,97.0,74.0,A,N
3195,35.0,44.0,D,N
3196,,,,Y
3197,44.0,37.0,D,N
3198,56.0,22.0,F,Y
3199,13.0,36.0,D,N
3200,1.0,17.0,F,N
3201,36.0,93.0,F,N
3202,61.0,97.0,D,Y
3203,26.0,19.0,F,Y
3204,7.0,21.0,D,N
3205,12.0,24.0,B,N
3206,64.0,65.0,C,N
3207,15.0,55.0,C,Y
3208,90.0,42.0,A,N
3209,89.0,22.0,B,N
3210,33.0,8.0,F,Y
3211,88.0,4.0,A,N
3212,59.0,24.0,C,N
3213,60.0,25.0,B,Y
3214,79.0,34.0,A,N
3215,25.0,37.0,A,N
3216,42.0,42.0,D,Y
3217,38.0,39.0,D,N
3218,44.0,57.0,F,Y
3219,69.0,48.0,C,N
3220,69.0,25.0,B,N
3221,40.0,51.0,D,N
3222,54.0,55.0,A,N
3223,8.0,28.0,C,Y
3224,54.0,29.0,D,N
3225,5.0,54.0,F,Y
3226,1.0,23.0,D,N
3227,78.0,32.0,A,N
3228,64.0,5.0,F,Y
3229,51.0,55.0,F,Y
3230,48.0,51.0,D,N
3231,93.0,25.0,D,N
3232,44.0,88.0,C,Y
3233,11.0,4.0,C,Y
3234,65.0,35.0,B,N
3235,52.0,18.0,A,N
3236,23.0,38.0,D,N
3237,42.0,40.0,A,Y
3238,62.0,2.0,B,Y
3239,92.0,70.0,C,N
3240,75.0,65.0,A,N
3241,53.0,63.0,B,N
3242,48.0,98.0,F,N
3243,29.0,49.0,D,N
3244,,,,Y
3245,25.0,32.0,B,N
3246,87.0,34.0,A,Y
3247,13.0,25.0,D,Y
3248,33.0,71.0,B,N
3249,46.0,44.0,D,N
3250,41.0,14.0,D,N
3251,11.0,26.0,B,N
3252,30.0,43.0,D,N
3253,71.0,41.0,A,N
3254,65.0,39.0,C,N
3255,99.0,61.0,B,N
3256,,,,Y
3257,41.0,67.0,C,N
3258,37.0,56.0,F,Y
3259,98.0,26.0,C,N
3260,9.0,34.0,F,N
3261,44.0,17.0,B,Y
3262,68.0,25.0,A,N
3263,19.0,15.0,A,Y
3264,39.0,54.0,C,N
3265,66.0,10.0,F,N
3266,35.0,45.0,B,N
3267,86.0,39.0,B,N
3268,13.0,58.0,C,Y
3269,48.0,20.0,A,N
3270,46.0,46.0,C,N
3271,5.0,52.0,F,N
3272,82.0,84.0,B,N
3273,34.0,8.0,F,Y
3274,56.0,11.0,F,Y
3275,11.0,5.0,C,Y
3276,51.0,90.0,F,N
3277,42.0,73.0,A,N
3278,31.0,35.0,D,N
3279,,,,Y
3280,,,,Y
3281,1.0,37.0,B,N
3282,2.0,49.0,C,N
3283,31.0,37.0,B,N
3284,81.0,30.0,B,N
3285,4.0,39.0,A,N
3286,82.0,15.0,D,N
3287,,,,Y
3288,49.0,51.0,C,N
3289,47.0,30.0,D,N
3290,8.0,22.0,C,N
3291,71.0,78.0,F,Y
3292,48.0,41.0,D,N
3293,32.0,1.0,F,Y
3294,4.0,67.0,A,N
3295,81.0,30.0,C,N
3296,25.0,32.0,C,N
3297,4.0,45.0,D,N
3298,75.0,62.0,D,N
3299,24.0,6.0,A,Y
3300,66.0,12.0,B,N
3301,,,,Y
3302,47.0,1.0,C,Y
3303,87.0,97.0,A,N
3304,82.0,48.0,C,N
3305,65.0,17.0,A,N
3306,23.0,29.0,C,N
3307,50.0,14.0,F,N
3308,39.0,17.0,F,Y
3309,49.0,95.0,D,N
3310,57.0,34.0,D,N
3311,99.0,74.0,B,N
3312,74.0,27.0,F,Y
3313,50.0,9.0,F,Y
3314,,,,Y
3315,88.0,61.0,B,N
3316,50.0,25.0,F,Y
3317,67.0,24.0,D,N
3318,4.0,55.0,C,N
3319,88.0,59.0,B,N
3320,59.0,56.0,B,N
3321,56.0,94.0,A,N
3322,40.0,36.0,D,N
3323,12.0,10.0,D,N
3324,34.0,39.0,C,N
3325,9.0,39.0,B,N
3326,6.0,10.0,F,N
3327,71.0,49.0,B,N
3328,69.0,33.0,D,Y
3329,95.0,38.0,B,N
3330,23.0,54.0,C,N
3331,11.0,33.0,A,N
3332,75.0,64.0,F,Y
3333,21.0,32.0,D,N
3334,91.0,58.0,B,N
3335,48.0,34.0,B,Y
3336,2.0,21.0,B,N
3337,36.0,39.0,B,N
3338,35.0,38.0,C,N
3339,,,,Y
3340,58.0,49.0,A,N
3341,81.0,59.0,D,N
3342,46.0,49.0,D,N
3343,9.0,43.0,C,N
3344,74.0,59.0,D,Y
3345,56.0,26.0,C,N
3346,35.0,15.0,F,Y
3347,62.0,14.0,F,Y
3348,58.0,65.0,D,N
3349,65.0,98.0,A,N
3350,30.0,3.0,F,Y
3351,66.0,32.0,B,N
3352,32.0,43.0,D,N
3353,,,,Y
3354,2.0,57.0,C,N
3355,11.0,17.0,B,N
3356,92.0,21.0,A,N
3357,,,,Y
3358,86.0,59.0,A,N
3359,57.0,77.0,F,N
3360,88.0,27.0,A,N
3361,57.0,18.0,A,N
3362,99.0,78.0,A,N
3363,26.0,54.0,F,N
3364,,,,Y
3365,52.0,12.0,A,N
3366,77.0,45.0,B,N
3367,2.0,49.0,C,N
3368,47.0,42.0,C,N
3369,85.0,87.0,A,N
3370,51.0,39.0,B,N
3371,29.0,56.0,A,Y
3372,1.0,45.0,A,N
3373,73.0,29.0,C,N
3374,23.0,72.0,A,Y
3375,37.0,49.0,B,N
3376,73.0,69.0,C,N
3377,46.0,57.0,C,N
3378,54.0,67.0,B,N
3379,14.0,29.0,B,N
3380,70.0,22.0,F,N
3381,74.0,41.0,A,N
3382,55.0,43.0,D,N
3383,72.0,8.0,A,N
3384,73.0,76.0,A,N
3385,40.0,43.0,D,N
3386,1.0,19.0,C,Y
3387,87.0,55.0,D,N
3388,36.0,53.0,D,N
3389,10.0,32.0,B,N
3390,84.0,99.0,B,N
3391,37.0,35.0,F,N
3392,2.0,65.0,A,Y
3393,59.0,58.0,A,Y
3394,,,,Y
3395,64.0,50.0,F,N
3396,11.0,40.0,F,N
3397,88.0,74.0,B,N
3398,68.0,94.0,F,Y
3399,51.0,75.0,B,N
3400,41.0,16.0,F,Y
3401,8.0,28.0,C,N
3402,36.0,39.0,D,N
3403,62.0,1.0,A,Y
3404,66.0,35.0,B,N
3405,96.0,56.0,D,N
3406,6.0,14.0,D,N
3407,,,,Y
3408,1.0,26.0,D,N
3409,63.0,58.0,A,N
3410,56.0,32.0,B,Y
3411,5.0,47.0,A,N
3412,40.0,52.0,C,N
3413,13.0,52.0,F,N
3414,4.0,22.0,B,N
3415,89.0,58.0,C,Y
3416,7.0,23.0,F,N
3417,1.0,54.0,C,N
3418,51.0,71.0,A,N
3419,55.0,34.0,C,N
3420,56.0,43.0,B,N
3421,,,,Y
3422,11.0,58.0,B,N
3423,88.0,57.0,C,N
3424,53.0,38.0,C,N
3425,24.0,38.0,D,N
3426,86.0,88.0,B,N
3427,3.0,40.0,C,N
3428,,,,Y
3429,,,,Y
3430,67.0,52.0,A,Y
3431,87.0,41.0,C,N
3432,3.0,37.0,A,N
3433,14.0,97.0,F,N
3434,37.0,87.0,B,Y
3435,66.0,90.0,C,N
3436,6.0,21.0,B,N
3437,80.0,9.0,C,N
3438,65.0,18.0,F,Y
3439,52.0,20.0,A,Y
3440,50.0,39.0,C,Y
3441,33.0,35.0,D,Y
3442,69.0,55.0,D,N
3443,58.0,3.0,D,N
3444,,,,Y
3445,91.0,77.0,F,Y
3446,21.0,3.0,C,Y
3447,57.0,43.0,D,N
3448,13.0,52.0,D,Y
3449,30.0,42.0,D,N
3450,2.0,36.0,C,N
3451,,,,Y
3452,47.0,43.0,D,N
3453,31.0,22.0,F,Y
3454,38.0,30.0,C,N
3455,16.0,65.0,F,Y
3456,35.0,68.0,B,N
3457,,,,Y
3458,13.0,29.0,D,N
3459,83.0,31.0,F,Y
3460,91.0,46.0,B,N
3461,53.0,37.0,A,N
3462,77.0,58.0,F,Y
3463,31.0,0.0,F,Y
3464,83.0,15.0,F,N
3465,25.0,43.0,C,N
3466,87.0,63.0,A,N
3467,60.0,13.0,B,N
3468,,,,Y
3469,2.0,32.0,B,N
3470,11.0,17.0,D,N
3471,24.0,6.0,C,Y
3472,31.0,44.0,D,N
3473,84.0,61.0,D,N
3474,70.0,47.0,A,N
3475,87.0,61.0,A,N
3476,44.0,41.0,C,N
3477,7.0,8.0,A,N
3478,,,,Y
3479,2.0,49.0,A,N
3480,71.0,24.0,F,N
3481,61.0,92.0,A,N
3482,56.0,62.0,D,N
3483,73.0,56.0,B,N
3484,31.0,72.0,D,N
3485,,,,Y
3486,13.0,23.0,C,N
3487,83.0,41.0,B,N
3488,50.0,51.0,F,N
3489,15.0,13.0,D,N
3490,,,,Y
3491,58.0,68.0,A,N
3492,74.0,21.0,D,N
3493,,,,Y
3494,41.0,42.0,D,N
3495,5.0,13.0,D,N
3496,66.0,31.0,C,Y
3497,82.0,74.0,A,N
3498,48.0,82.0,C,N
3499,33.0,35.0,D,N
3500,1.0,25.0,C,N
3501,57.0,71.0,F,N
3502,29.0,23.0,F,Y
3503,31.0,47.0,B,N
3504,57.0,32.0,A,N
3505,27.0,29.0,C,Y
3506,41.0,21.0,F,Y
3507,78.0,46.0,A,N
3508,40.0,42.0,D,N
3509,4.0,47.0,D,N
3510,44.0,84.0,C,N
3511,89.0,80.0,A,Y
3512,51.0,82.0,B,N
3513,33.0,45.0,D,N
3514,73.0,21.0,D,N
3515,48.0,52.0,D,N
3516,28.0,40.0,F,N
3517,9.0,50.0,F,Y
3518,57.0,18.0,D,Y
3519,36.0,44.0,D,N
3520,85.0,33.0,C,Y
3521,6.0,51.0,B,N
3522,3.0,29.0,C,Y
3523,9.0,43.0,A,N
3524,96.0,60.0,B,N
3525,33.0,52.0,D,N
3526,51.0,42.0,D,N
3527,89.0,43.0,C,Y
3528,93.0,43.0,C,N
3529,46.0,12.0,F,Y
3530,26.0,91.0,C,N
3531,59.0,66.0,D,Y
3532,45.0,43.0,A,N
3533,16.0,22.0,C,N
3534,,,,Y
3535,,,,Y
3536,55.0,15.0,A,N
3537,7.0,51.0,C,N
3538,75.0,34.0,F,N
3539,10.0,41.0,D,N
3540,79.0,83.0,F,Y
3541,44.0,54.0,A,N
3542,36.0,38.0,D,N
3543,,,,Y
3544,83.0,17.0,F,N
3545,56.0,79.0,C,N
3546,57.0,32.0,B,N
3547,27.0,21.0,D,Y
3548,31.0,49.0,C,Y
3549,7.0,45.0,A,Y
3550,1.0,43.0,B,N
3551,41.0,43.0,C,N
3552,88.0,77.0,B,N
3553,9.0,49.0,D,N
3554,79.0,95.0,D,Y
3555,6.0,39.0,D,N
3556,52.0,10.0,C,N
3557,25.0,87.0,B,N
3558,10.0,74.0,B,N
3559,40.0,7.0,D,Y
3560,6.0,63.0,C,Y
3561,79.0,31.0,C,N
3562,50.0,79.0,D,N
3563,1.0,35.0,B,N
3564,39.0,33.0,C,N
3565,2.0,18.0,B,Y
3566,88.0,78.0,C,N
3567,35.0,35.0,B,Y
3568,45.0,46.0,A,Y
3569,53.0,38.0,F,N
3570,94.0,35.0,B,N
3571,,,,Y
3572,28.0,22.0,C,Y
3573,93.0,52.0,A,N
3574,38.0,30.0,D,N
3575,45.0,36.0,C,N
3576,,,,Y
3577,,,,Y
3578,27.0,6.0,C,Y
3579,41.0,66.0,A,N
3580,12.0,38.0,D,N
3581,,,,Y
3582,50.0,22.0,C,N
3583,5.0,19.0,D,N
3584,,,,Y
3585,49.0,31.0,C,N
3586,25.0,21.0,F,Y
3587,80.0,33.0,A,N
3588,89.0,25.0,D,N
3589,69.0,79.0,A,N
3590,55.0,55.0,B,N
3591,23.0,52.0,D,N
3592,42.0,45.0,C,N
3593,84.0,57.0,A,N
3594,82.0,82.0,C,N
3595,,,,Y
3596,36.0,45.0,D,N
3597,10.0,43.0,C,N
3598,,,,Y
3599,46.0,31.0,D,N
3600,1.0,27.0,C,N
3601,88.0,53.0,B,N
3602,62.0,68.0,C,N
3603,76.0,70.0,A,N
3604,15.0,35.0,C,Y
3605,81.0,33.0,B,Y
3606,43.0,6.0,F,Y
3607,84.0,71.0,B,N
3608,74.0,50.0,C,N
3609,71.0,48.0,F,Y
3610,,,,Y
3611,,,,Y
3612,50.0,65.0,B,N
3613,35.0,31.0,B,N
3614,2.0,14.0,A,N
3615,80.0,50.0,A,N
3616,88.0,71.0,C,N
3617,77.0,83.0,A,N
3618,5.0,85.0,A,Y
3619,1.0,37.0,F,N
3620,60.0,40.0,C,N
3621,,,,Y
3622,55.0,99.0,A,N
3623,14.0,52.0,D,Y
3624,53.0,15.0,D,Y
3625,23.0,72.0,C,Y
3626,11.0,54.0,D,N
3627,89.0,76.0,A,N
3628,56.0,35.0,B,N
3629,,,,Y
3630,73.0,40.0,B,N
3631,13.0,42.0,B,N
3632,55.0,50.0,C,N
3633,,,,Y
3634,87.0,77.0,F,Y
3635,8.0,19.0,C,N
3636,,,,Y
3637,20.0,53.0,D,N
3638,12.0,8.0,B,N
3639,94.0,6.0,A,N
3640,48.0,38.0,C,N
3641,76.0,12.0,A,N
3642,61.0,64.0,F,Y
3643,,,,Y
3644,11.0,35.0,D,N
3645,29.0,59.0,D,Y
3646,75.0,72.0,F,N
3647,43.0,37.0,D,N
3648,24.0,44.0,B,Y
3649,86.0,76.0,A,N
3650,37.0,37.0,B,N
3651,69.0,53.0,B,N
3652,,,,Y
3653,55.0,78.0,A,N
3654,52.0,37.0,D,N
3655,54.0,20.0,A,N
3656,29.0,21.0,D,Y
3657,25.0,50.0,C,N
3658,49.0,43.0,D,N
3659,67.0,22.0,B,Y
3660,89.0,92.0,C,N
3661,,,,Y
3662,58.0,36.0,A,N
3663,75.0,32.0,B,Y
3664,68.0,45.0,D,Y
3665,69.0,86.0,F,N
3666,2.0,50.0,A,Y
3667,51.0,70.0,D,N
3668,98.0,74.0,F,N
3669,55.0,25.0,A,N
3670,61.0,77.0,A,N
3671,14.0,14.0,A,N
3672,,,,Y
3673,7.0,59.0,A,Y
3674,74.0,24.0,C,N
3675,44.0,41.0,C,N
3676,64.0,13.0,B,Y
3677,47.0,50.0,D,N
3678,65.0,16.0,C,N
3679,33.0,66.0,A,Y
3680,33.0,30.0,D,N
3681,0.0,26.0,D,Y
3682,94.0,3.0,B,Y
3683,77.0,20.0,F,Y
3684,63.0,56.0,C,N
3685,85.0,80.0,A,N
3686,54.0,34.0,F,Y
3687,8.0,44.0,D,N
