,External,Year,session 1,session 2,test 1,dropout
2923,Y,third,48,62,A,N
2924,Y,third,45,51,A,N
2925,Y,second,11,7,D,N
2926,Y,first,8,15,B,Y
2927,Y,first,29,51,F,Y
2928,N,second,7,8,A,N
2929,N,third,9,16,F,N
2930,N,third,69,92,D,N
2931,Y,third,26,79,A,N
2932,Y,second,79,67,B,N
2933,Y,first,7,2,D,N
2934,N,third,8,13,A,N
2935,N,first,16,2,F,N
2936,Y,first,59,63,F,N
2937,N,third,34,37,A,Y
2938,N,first,30,4,C,N
2939,N,third,84,91,C,N
2940,N,second,69,64,B,N
2941,Y,second,27,30,B,Y
2942,Y,first,13,0,F,Y
2943,Y,second,23,53,D,Y
2944,N,first,12,25,F,N
2945,Y,third,97,8,D,N
2946,Y,first,16,5,D,N
2947,Y,second,56,41,B,N
2948,Y,first,13,31,C,Y
2949,N,second,12,24,D,N
2950,Y,third,3,8,A,N
2951,Y,second,15,7,F,N
2952,Y,second,36,54,D,N
2953,Y,second,11,28,B,Y
2954,Y,first,14,54,C,Y
2955,Y,second,51,58,D,Y
2956,Y,third,50,67,F,N
2957,Y,first,17,93,B,N
2958,N,third,5,5,A,N
2959,N,second,1,15,A,N
2960,Y,first,59,50,D,Y
2961,Y,first,84,6,D,N
2962,N,third,83,77,F,Y
2963,N,third,65,21,B,N
2964,Y,first,22,68,A,N
2965,N,third,12,8,D,N
2966,Y,second,55,60,D,N
2967,Y,second,72,60,A,N
2968,Y,first,66,82,A,N
2969,Y,third,78,54,D,N
2970,N,third,6,7,F,N
2971,Y,third,8,3,B,N
2972,N,third,7,14,A,N
2973,Y,third,40,86,A,Y
2974,Y,second,79,73,A,N
2975,Y,third,85,37,A,N
2976,Y,first,20,16,D,Y
2977,Y,second,26,68,A,N
2978,N,second,46,96,F,N
2979,N,third,23,41,C,Y
2980,N,first,12,28,D,N
2981,N,second,73,69,D,N
2982,N,third,1,3,F,N
2983,Y,first,81,9,C,N
2984,N,second,2,3,A,N
2985,Y,first,3,24,F,N
2986,Y,third,32,25,C,Y
2987,Y,first,22,48,D,Y
2988,Y,third,32,73,A,Y
2989,Y,third,16,39,A,Y
2990,Y,first,43,76,A,N
2991,N,third,7,15,A,N
2992,Y,third,55,40,C,Y
2993,N,second,37,69,B,N
2994,Y,third,54,58,C,Y
2995,Y,third,7,10,A,N
2996,Y,third,27,32,A,Y
2997,Y,first,70,65,C,N
2998,N,first,68,75,C,N
2999,Y,first,12,19,D,Y
3000,N,third,3,16,A,N
3001,Y,second,33,41,D,Y
3002,Y,third,28,91,B,Y
3003,Y,first,19,18,F,Y
3004,N,third,37,58,B,Y
3005,N,third,7,14,A,N
3006,Y,first,15,14,F,N
3007,Y,first,53,72,F,N
3008,Y,third,9,14,A,N
3009,N,third,7,14,B,N
3010,Y,second,34,56,A,Y
3011,N,third,2,10,A,N
3012,N,second,77,37,C,N
3013,N,second,99,69,B,N
3014,N,first,54,85,D,Y
3015,N,second,12,1,F,N
3016,Y,third,86,60,F,N
3017,N,second,85,4,C,N
3018,Y,third,7,8,A,N
3019,N,third,59,66,B,Y
3020,Y,third,5,9,A,N
3021,Y,third,32,71,F,N
3022,Y,second,14,78,F,N
3023,Y,third,54,69,A,N
3024,N,first,81,35,B,N
3025,Y,second,3,17,A,N
3026,Y,first,85,54,A,N
3027,Y,third,3,1,A,N
3028,Y,second,8,99,C,Y
3029,Y,second,57,82,D,Y
3030,Y,first,12,59,C,Y
3031,N,second,13,28,F,N
3032,N,third,3,25,B,Y
3033,Y,first,39,17,F,Y
3034,N,second,83,66,D,N
3035,N,third,3,9,A,N
3036,Y,third,2,2,A,N
3037,Y,first,78,97,A,N
3038,N,third,93,61,A,Y
3039,Y,third,58,49,D,Y
3040,N,first,86,34,A,N
3041,N,second,54,83,D,Y
3042,Y,second,29,38,D,Y
3043,N,third,8,4,A,N
3044,Y,first,49,56,A,Y
3045,Y,second,10,25,F,N
3046,Y,first,97,11,F,N
3047,Y,second,80,45,C,Y
3048,N,second,19,8,D,N
3049,N,third,4,13,B,N
3050,Y,first,16,62,C,Y
3051,N,third,7,16,A,N
3052,N,second,1,10,A,N
3053,Y,third,75,51,A,N
3054,N,first,10,96,C,N
3055,Y,first,27,36,A,Y
3056,N,first,1,22,F,N
3057,Y,first,73,9,A,N
3058,Y,third,58,59,C,Y
3059,Y,third,37,74,F,N
3060,N,second,10,10,D,N
3061,Y,third,85,79,A,Y
3062,Y,first,47,64,A,N
3063,N,third,4,11,A,N
3064,N,second,76,43,A,N
3065,Y,first,88,25,A,Y
3066,N,second,14,27,D,N
3067,Y,second,65,35,A,N
3068,Y,second,43,21,F,N
3069,Y,third,57,58,C,N
3070,N,third,9,9,B,N
3071,Y,first,13,12,C,Y
3072,Y,second,1,22,D,N
3073,Y,first,65,82,C,N
3074,N,second,1,28,D,N
3075,N,first,14,89,F,N
3076,N,third,90,2,F,N
3077,Y,first,27,5,D,Y
3078,N,third,1,10,A,N
3079,Y,third,12,29,D,N
3080,N,third,94,62,A,Y
3081,N,second,4,24,D,N
3082,N,third,99,36,C,N
3083,Y,second,14,50,A,N
3084,N,third,2,13,F,N
3085,Y,first,1,3,F,Y
3086,N,third,65,78,F,N
3087,Y,third,84,97,A,N
3088,Y,third,21,57,A,N
3089,Y,first,62,5,B,N
3090,Y,second,63,61,F,N
3091,Y,first,54,35,C,Y
3092,Y,third,11,67,D,N
3093,Y,first,0,50,D,Y
3094,N,third,9,11,A,N
3095,Y,second,91,73,F,Y
3096,N,second,1,8,A,N
3097,Y,first,0,17,F,Y
3098,N,third,8,1,B,N
3099,Y,third,82,69,B,N
3100,N,third,16,27,F,N
3101,Y,first,49,82,C,Y
3102,N,third,2,51,F,Y
3103,Y,second,87,73,C,N
3104,N,third,7,97,D,Y
3105,Y,third,6,1,F,N
3106,N,third,8,1,A,N
3107,N,second,17,6,D,N
3108,Y,second,10,19,F,Y
3109,Y,third,18,34,D,Y
3110,N,first,12,6,D,N
3111,N,third,3,11,A,N
3112,Y,third,35,78,B,N
3113,N,first,11,9,F,N
3114,N,second,3,19,F,N
3115,Y,third,61,58,C,Y
3116,Y,first,17,19,F,Y
3117,Y,first,31,33,D,Y
3118,Y,third,64,2,D,N
3119,N,third,1,7,B,N
3120,Y,third,57,48,C,Y
3121,Y,first,18,18,B,Y
3122,Y,third,73,69,B,N
3123,Y,first,14,78,F,N
3124,N,third,2,11,A,N
3125,N,third,76,98,D,N
3126,Y,first,79,36,C,Y
3127,N,second,6,1,F,N
3128,Y,first,94,68,D,Y
3129,Y,third,37,14,D,Y
3130,Y,third,65,56,F,N
3131,Y,first,19,54,C,N
3132,Y,second,14,29,F,N
3133,Y,third,56,7,B,Y
3134,Y,third,30,60,B,N
3135,Y,second,15,18,F,Y
3136,N,second,71,34,A,N
3137,N,third,10,7,F,Y
3138,N,second,80,83,D,N
3139,Y,first,45,53,D,N
3140,Y,second,57,28,B,Y
3141,Y,third,79,63,C,N
3142,Y,second,73,97,C,Y
3143,N,third,63,66,B,Y
3144,Y,third,11,73,D,N
3145,Y,third,60,50,D,Y
3146,N,second,56,54,F,Y
3147,Y,first,15,57,F,Y
3148,Y,third,59,39,D,Y
3149,Y,first,48,64,A,N
3150,N,second,40,31,B,N
3151,N,first,4,26,D,N
3152,Y,third,63,78,A,N
3153,N,second,9,8,D,N
3154,N,third,97,36,B,N
3155,Y,first,64,61,B,N
3156,N,third,60,16,C,Y
3157,Y,first,21,43,A,Y
3158,N,first,13,2,F,N
3159,Y,third,8,1,A,N
3160,N,third,51,61,A,Y
3161,Y,first,16,6,B,Y
3162,Y,first,88,51,A,N
3163,N,third,2,14,B,N
3164,Y,third,5,6,A,N
3165,Y,second,96,87,A,N
3166,Y,third,80,54,A,N
3167,N,third,3,7,A,N
3168,Y,first,34,43,A,Y
3169,Y,third,28,62,F,N
3170,Y,third,15,79,B,N
3171,N,third,76,57,F,N
3172,Y,first,62,20,D,Y
3173,Y,third,22,65,B,N
3174,N,first,76,96,A,N
3175,Y,third,62,96,A,Y
3176,Y,first,89,54,B,Y
3177,N,second,55,38,C,N
3178,Y,third,7,2,A,N
3179,N,second,8,7,B,N
3180,N,third,9,13,A,N
3181,N,first,84,43,B,N
3182,Y,third,14,18,D,N
3183,N,third,7,16,A,N
3184,Y,first,26,11,F,Y
3185,Y,second,15,6,D,Y
3186,Y,third,99,93,A,Y
3187,Y,third,69,68,F,N
3188,N,third,78,78,A,Y
3189,Y,second,50,21,B,Y
3190,Y,third,45,47,D,Y
3191,Y,first,18,26,C,Y
3192,N,third,53,79,C,Y
3193,N,third,27,11,F,Y
3194,Y,first,41,4,F,N
3195,N,first,15,19,F,N
3196,Y,third,24,43,D,Y
3197,N,second,14,13,F,N
3198,Y,first,52,49,D,Y
3199,Y,second,8,1,F,N
3200,Y,second,72,33,A,N
3201,Y,third,60,53,C,N
3202,N,second,58,54,D,Y
3203,Y,second,50,38,C,Y
3204,Y,third,4,3,A,N
3205,N,third,4,13,F,N
3206,N,third,5,17,F,N
3207,Y,third,72,83,A,Y
3208,Y,third,83,72,B,N
3209,Y,third,78,51,C,N
3210,Y,first,57,32,C,Y
3211,N,second,47,39,D,N
3212,N,first,89,74,A,N
3213,Y,third,98,17,F,Y
3214,N,second,74,55,A,N
3215,N,second,80,74,A,N
3216,N,third,65,54,C,Y
3217,N,second,11,20,F,N
3218,N,first,65,90,C,Y
3219,Y,third,58,58,C,N
3220,Y,first,11,46,A,N
3221,N,second,19,3,F,N
3222,Y,second,73,53,F,N
3223,Y,third,29,21,A,Y
3224,Y,third,12,53,C,N
3225,Y,third,39,53,F,Y
3226,Y,second,8,7,B,N
3227,N,third,99,97,B,N
3228,Y,third,53,20,A,Y
3229,Y,third,92,52,A,Y
3230,N,third,1,18,F,N
3231,Y,third,42,52,A,N
3232,Y,first,77,3,A,Y
3233,N,third,36,70,A,Y
3234,Y,third,66,63,A,N
3235,N,third,84,91,B,N
3236,Y,second,5,5,D,N
3237,Y,first,64,81,D,Y
3238,Y,third,7,58,C,Y
3239,Y,second,37,74,F,N
3240,Y,third,62,57,C,N
3241,Y,third,82,30,B,N
3242,N,first,25,68,B,N
3243,N,first,17,2,D,N
3244,N,second,10,2,F,Y
3245,Y,first,6,78,F,N
3246,Y,second,59,21,A,Y
3247,Y,third,22,56,D,Y
3248,N,second,14,90,C,N
3249,N,first,9,2,D,N
3250,N,second,68,50,C,N
3251,N,third,2,3,A,N
3252,N,second,6,16,F,N
3253,Y,second,92,72,A,N
3254,Y,third,23,69,F,N
3255,Y,second,48,51,A,N
3256,Y,first,17,15,B,Y
3257,Y,second,86,34,F,N
3258,Y,third,13,63,D,Y
3259,Y,first,85,36,B,N
3260,N,third,8,8,B,N
3261,Y,second,0,31,B,Y
3262,N,second,96,51,B,N
3263,Y,first,11,49,A,Y
3264,Y,second,19,9,D,N
3265,N,second,78,76,D,N
3266,N,second,16,21,F,N
3267,Y,third,72,52,D,N
3268,Y,first,29,50,D,Y
3269,Y,first,52,79,A,N
3270,Y,third,67,68,C,N
3271,N,third,8,14,A,N
3272,N,third,61,43,A,N
3273,Y,first,30,56,F,Y
3274,Y,third,54,57,C,Y
3275,Y,first,21,0,A,Y
3276,N,third,66,56,A,N
3277,N,third,98,35,A,N
3278,Y,first,16,18,D,N
3279,Y,second,10,47,B,Y
3280,Y,third,4,4,F,Y
3281,N,third,6,5,A,N
3282,N,third,6,16,B,N
3283,N,second,19,6,D,N
3284,Y,third,55,55,A,N
3285,N,second,2,11,F,N
3286,Y,third,29,29,D,N
3287,Y,third,16,15,D,Y
3288,N,first,1,13,D,N
3289,Y,first,16,24,D,N
3290,N,third,3,9,A,N
3291,Y,first,20,89,D,Y
3292,N,third,16,5,D,N
3293,Y,third,51,59,C,Y
3294,Y,first,86,89,C,N
3295,N,second,85,66,A,N
3296,N,first,38,50,C,N
3297,N,third,3,3,A,N
3298,Y,second,84,47,A,N
3299,N,second,51,54,C,Y
3300,N,second,99,41,B,N
3301,N,third,8,31,F,Y
3302,N,second,22,61,C,Y
3303,N,second,76,83,A,N
3304,Y,third,46,36,F,N
3305,N,second,65,88,F,N
3306,Y,third,27,91,D,N
3307,Y,second,69,58,D,N
3308,Y,second,51,58,A,Y
3309,Y,second,56,35,A,N
3310,N,first,14,23,F,N
3311,Y,second,52,54,F,N
3312,N,third,36,65,B,Y
3313,Y,second,54,48,C,Y
3314,Y,first,18,7,F,Y
3315,Y,first,66,68,D,N
3316,Y,first,0,4,F,Y
3317,Y,second,63,58,A,N
3318,N,third,6,1,A,N
3319,Y,third,48,51,F,N
3320,Y,second,23,59,A,N
3321,Y,third,75,32,B,N
3322,N,second,19,3,D,N
3323,N,third,6,12,F,N
3324,Y,second,10,23,F,N
3325,N,third,9,15,A,N
3326,N,third,8,1,B,N
3327,Y,third,35,74,D,N
3328,Y,third,69,86,D,Y
3329,Y,third,75,74,C,N
3330,N,second,29,22,D,N
3331,Y,second,4,11,A,N
3332,Y,third,84,63,A,Y
3333,Y,second,13,11,F,N
3334,Y,third,15,69,D,N
3335,N,second,6,68,A,Y
3336,N,third,4,10,A,N
3337,N,third,16,12,F,N
3338,N,second,10,16,D,N
3339,Y,third,19,38,F,Y
3340,N,second,62,85,A,N
3341,Y,first,41,55,F,N
3342,N,second,14,19,D,N
3343,N,second,75,10,B,N
3344,N,second,33,54,B,Y
3345,Y,third,41,79,A,N
3346,Y,third,55,47,A,Y
3347,Y,third,54,55,D,Y
3348,Y,third,50,69,B,N
3349,Y,first,9,85,D,N
3350,Y,third,52,41,B,Y
3351,Y,second,12,79,A,N
3352,Y,second,19,15,D,N
3353,Y,first,22,34,F,Y
3354,N,second,8,3,B,N
3355,N,third,5,13,B,N
3356,Y,first,48,58,A,N
3357,Y,first,0,19,C,Y
3358,N,first,81,51,C,N
3359,Y,third,15,77,A,N
3360,Y,third,63,53,C,N
3361,N,second,63,40,C,N
3362,Y,second,76,79,F,N
3363,Y,second,12,9,F,N
3364,Y,third,9,11,F,Y
3365,Y,second,4,71,B,N
3366,N,third,87,97,F,N
3367,Y,third,1,2,A,N
3368,N,second,18,18,F,N
3369,Y,second,63,86,A,N
3370,N,first,4,19,D,N
3371,Y,third,14,76,A,Y
3372,N,third,5,10,A,N
3373,Y,first,47,68,F,N
3374,Y,first,89,27,B,Y
3375,Y,second,49,45,F,N
3376,Y,first,60,43,A,N
3377,Y,third,79,66,A,N
3378,Y,third,37,35,D,N
3379,N,second,84,80,C,N
3380,N,third,58,72,D,N
3381,Y,third,62,58,C,N
3382,N,first,15,5,F,N
3383,N,second,63,93,D,N
3384,Y,third,30,98,F,N
3385,N,third,16,11,F,N
3386,N,third,21,97,A,Y
3387,Y,third,27,75,F,N
3388,Y,first,7,8,F,N
3389,Y,second,54,26,F,N
3390,N,third,81,55,A,N
3391,N,second,19,20,D,N
3392,N,second,48,8,B,Y
3393,N,third,62,79,A,Y
3394,Y,first,20,18,D,Y
3395,Y,third,34,58,A,N
3396,N,third,6,8,F,N
3397,Y,second,39,73,F,N
3398,N,third,55,84,A,Y
3399,Y,third,11,77,A,N
3400,Y,first,48,58,B,Y
3401,N,first,41,38,A,N
3402,Y,second,17,8,D,N
3403,Y,first,80,29,A,Y
3404,Y,third,99,50,D,N
3405,Y,second,86,76,C,N
3406,N,third,4,6,B,N
3407,Y,third,4,2,F,Y
3408,N,third,8,10,A,N
3409,Y,third,70,68,A,N
3410,Y,second,33,19,B,Y
3411,Y,third,9,15,A,N
3412,N,third,16,10,D,N
3413,N,third,6,5,F,N
3414,Y,third,1,5,F,N
3415,Y,second,28,67,A,Y
3416,Y,third,1,2,F,N
3417,N,third,2,8,A,N
3418,Y,third,31,53,B,N
3419,N,second,7,24,D,N
3420,Y,third,45,50,D,N
3421,Y,first,26,14,F,Y
3422,N,third,24,59,F,N
3423,Y,third,22,71,A,N
3424,N,third,12,14,F,N
3425,N,third,11,6,F,N
3426,Y,third,83,43,A,N
3427,N,second,5,6,A,N
3428,Y,first,15,22,C,Y
3429,Y,first,13,37,D,Y
3430,N,second,58,88,C,Y
3431,Y,third,10,77,B,N
3432,Y,third,9,4,A,N
3433,Y,second,82,8,A,N
3434,Y,second,47,53,A,Y
3435,N,first,2,40,F,N
3436,N,third,2,7,F,N
3437,Y,second,86,91,B,N
3438,Y,second,58,56,C,Y
3439,N,third,53,9,F,Y
3440,Y,third,39,4,A,Y
3441,Y,second,92,40,A,Y
3442,Y,third,4,5,F,N
3443,Y,first,73,54,F,N
3444,Y,first,18,0,F,Y
3445,N,third,4,49,B,Y
3446,Y,first,29,46,A,Y
3447,N,first,9,23,D,N
3448,Y,first,21,59,D,Y
3449,N,third,5,20,D,N
3450,Y,third,2,9,B,N
3451,Y,first,18,15,D,Y
3452,N,second,16,26,D,N
3453,Y,second,58,59,C,Y
3454,N,first,16,6,D,N
3455,Y,third,36,71,B,Y
3456,N,second,6,29,B,N
3457,N,third,25,26,F,Y
3458,N,third,7,9,F,N
3459,N,second,66,94,F,Y
3460,Y,third,66,62,F,N
3461,N,third,96,89,F,N
3462,Y,third,99,30,B,Y
3463,Y,second,56,22,C,Y
3464,N,second,79,99,A,N
3465,N,second,17,1,D,N
3466,Y,second,71,86,F,N
3467,Y,second,30,32,B,N
3468,Y,first,29,19,B,Y
3469,N,third,1,13,A,N
3470,N,third,6,1,B,N
3471,Y,third,34,10,B,Y
3472,N,third,5,20,D,N
3473,Y,second,31,79,F,N
3474,Y,third,40,52,B,N
3475,Y,third,49,70,C,N
3476,Y,second,4,7,F,N
3477,Y,third,8,7,A,N
3478,N,third,12,15,B,Y
3479,N,third,9,15,A,N
3480,N,third,86,42,F,N
3481,N,second,73,32,C,N
3482,N,second,96,66,D,N
3483,Y,first,39,41,C,N
3484,Y,second,56,21,C,N
3485,Y,second,18,54,D,Y
3486,Y,third,1,7,A,N
3487,N,third,74,84,A,N
3488,Y,second,12,29,F,N
3489,Y,second,23,59,B,N
3490,Y,first,11,26,D,Y
3491,Y,second,22,72,A,N
3492,N,third,2,21,A,N
3493,Y,first,6,17,F,Y
3494,N,first,17,19,F,N
3495,N,third,7,4,A,N
3496,N,third,31,54,B,Y
3497,Y,first,36,1,A,N
3498,Y,first,57,10,C,N
3499,N,third,15,9,F,N
3500,Y,third,2,16,A,N
3501,Y,third,76,22,B,N
3502,Y,third,34,43,D,Y
3503,N,second,5,1,D,N
3504,N,third,90,31,C,N
3505,N,third,64,54,B,Y
3506,Y,second,51,36,A,Y
3507,Y,first,36,73,C,N
3508,Y,third,64,86,C,N
3509,N,third,3,7,F,N
3510,N,first,74,43,F,N
3511,Y,third,80,27,B,Y
3512,N,second,75,82,A,N
3513,N,second,8,2,F,N
3514,Y,third,82,83,A,N
3515,N,third,1,2,F,N
3516,N,second,18,19,F,N
3517,Y,second,30,48,A,Y
3518,Y,first,59,5,A,Y
3519,N,first,16,27,F,N
3520,Y,third,46,96,B,Y
3521,N,third,4,4,F,N
3522,Y,second,80,42,F,Y
3523,N,third,5,5,B,N
3524,Y,first,24,56,A,N
3525,N,first,11,8,F,N
3526,N,third,12,16,F,N
3527,Y,third,74,11,B,Y
3528,Y,third,28,53,F,N
3529,Y,first,38,35,C,Y
3530,N,first,13,76,D,N
3531,N,third,87,90,A,Y
3532,N,second,55,36,C,N
3533,N,second,84,42,F,N
3534,Y,second,16,13,D,Y
3535,Y,first,9,15,F,Y
3536,Y,third,88,65,D,N
3537,Y,second,1,3,F,N
3538,Y,third,86,82,A,N
3539,N,third,4,10,F,N
3540,N,first,73,90,A,Y
3541,N,first,91,31,A,N
3542,N,second,1,5,F,N
3543,Y,first,16,0,F,Y
3544,N,second,95,38,A,N
3545,N,third,1,24,C,N
3546,Y,first,8,28,D,N
3547,Y,second,53,42,D,Y
3548,Y,first,28,57,D,Y
3549,Y,third,7,55,C,Y
3550,N,second,5,16,A,N
3551,N,third,18,20,F,N
3552,N,second,97,60,A,N
3553,Y,third,3,12,A,N
3554,N,second,89,73,C,Y
3555,Y,third,2,8,A,N
3556,N,second,95,47,A,N
3557,Y,third,87,21,C,N
3558,N,third,69,19,D,N
3559,Y,third,43,58,D,Y
3560,Y,second,49,47,F,Y
3561,Y,third,29,64,C,N
3562,Y,third,96,94,A,N
3563,Y,third,3,3,A,N
3564,Y,first,22,34,D,N
3565,Y,first,6,6,D,Y
3566,Y,third,71,70,F,N
3567,Y,third,88,5,B,Y
3568,Y,first,66,92,D,Y
3569,N,second,17,14,D,N
3570,Y,second,68,60,A,N
3571,Y,first,28,47,C,Y
3572,Y,third,39,9,B,Y
3573,Y,second,44,75,D,N
3574,Y,first,19,14,D,N
3575,Y,second,16,9,F,N
3576,Y,first,17,5,B,Y
3577,N,third,5,30,F,Y
3578,Y,second,45,37,D,Y
3579,Y,second,34,65,F,N
3580,N,third,3,13,A,N
3581,Y,third,19,8,D,Y
3582,Y,second,82,85,F,N
3583,Y,third,4,2,F,N
3584,Y,first,25,59,C,Y
3585,N,first,19,3,D,N
3586,Y,third,58,51,A,Y
3587,Y,second,56,49,F,N
3588,Y,second,76,51,F,N
3589,Y,second,63,86,A,N
3590,N,second,93,92,D,N
3591,Y,second,9,3,F,N
3592,N,second,4,29,F,N
3593,Y,third,42,58,C,N
3594,N,second,21,76,B,N
3595,Y,first,14,16,F,Y
3596,N,second,12,5,D,N
3597,N,third,2,2,A,N
3598,Y,first,23,7,D,Y
3599,N,first,9,3,F,N
3600,N,second,6,10,B,N
3601,Y,second,54,75,A,N
3602,Y,third,44,51,C,N
3603,Y,third,50,61,B,N
3604,Y,third,48,58,C,Y
3605,Y,third,56,55,F,Y
3606,Y,third,50,23,B,Y
3607,Y,second,80,35,A,N
3608,N,third,66,55,A,N
3609,Y,second,93,84,B,Y
3610,Y,third,29,50,F,Y
3611,Y,first,23,36,D,Y
3612,Y,third,20,66,A,N
3613,N,first,10,6,F,N
3614,N,third,1,7,A,N
3615,Y,second,65,71,C,N
3616,Y,first,60,69,C,N
3617,Y,second,62,87,B,N
3618,Y,second,26,87,B,Y
3619,N,third,6,16,A,N
3620,Y,third,19,71,F,N
3621,Y,first,6,8,F,Y
3622,N,second,85,23,B,N
3623,Y,first,24,41,D,Y
3624,Y,third,52,46,B,Y
3625,Y,first,55,47,C,Y
3626,N,third,1,9,A,N
3627,Y,third,26,74,C,N
3628,N,third,79,31,F,N
3629,Y,first,1,16,C,Y
3630,Y,first,21,69,D,N
3631,N,second,4,6,A,N
3632,Y,third,33,50,A,N
3633,Y,first,19,8,D,Y
3634,N,first,56,61,A,Y
3635,Y,second,3,14,A,N
3636,Y,first,13,17,B,Y
3637,N,third,4,16,F,N
3638,Y,second,9,9,A,N
3639,N,first,57,40,B,N
3640,N,first,19,12,F,N
3641,Y,second,93,57,D,N
3642,N,third,54,76,D,Y
3643,Y,first,2,17,D,Y
3644,N,third,9,9,A,N
3645,Y,first,99,19,D,Y
3646,Y,third,61,67,A,N
3647,N,first,6,2,F,N
3648,Y,third,18,49,B,Y
3649,Y,third,81,31,F,N
3650,N,third,5,12,D,N
3651,Y,first,49,20,B,N
3652,Y,first,14,15,F,Y
3653,Y,first,61,45,A,N
3654,Y,third,10,3,D,N
3655,Y,first,67,76,B,N
3656,Y,second,53,50,D,Y
3657,N,first,5,18,F,N
3658,N,first,7,22,F,N
3659,Y,first,79,1,D,Y
3660,N,first,79,50,D,N
3661,Y,first,5,4,F,Y
3662,Y,third,96,4,A,N
3663,Y,first,24,78,D,Y
3664,N,first,65,64,A,Y
3665,N,second,92,97,A,N
3666,N,second,63,22,F,Y
3667,N,second,19,1,A,N
3668,N,third,51,30,B,N
3669,Y,first,60,52,B,N
3670,Y,third,59,75,F,N
3671,Y,third,62,50,C,N
3672,Y,first,17,0,F,Y
3673,Y,third,20,30,A,Y
3674,Y,second,83,71,D,N
3675,N,third,14,20,D,N
3676,Y,second,21,16,D,Y
3677,N,second,5,5,F,N
3678,N,second,17,75,B,N
3679,Y,second,37,53,B,Y
3680,N,second,9,12,F,N
3681,N,third,38,58,B,Y
3682,N,third,7,70,A,Y
3683,Y,third,19,15,F,Y
3684,Y,second,88,86,A,N
3685,Y,second,91,89,A,N
3686,N,first,54,79,A,Y
3687,Y,second,2,16,A,N
3688,Y,first,14,29,B,N
3689,N,first,13,19,D,N
3690,N,third,2,10,A,N
3691,Y,first,66,12,B,Y
3692,N,first,5,27,F,N
3693,Y,second,4,31,D,Y
3694,Y,third,69,90,C,N
3695,N,second,82,89,C,N
3696,N,third,7,7,D,N
3697,Y,first,73,68,C,N
3698,N,first,1,28,F,N
3699,Y,second,90,60,A,N
3700,Y,third,18,12,F,N
3701,Y,third,44,71,C,Y
3702,Y,second,19,17,F,N
3703,N,third,97,32,B,N
3704,N,third,7,10,F,N
3705,N,third,2,29,F,N
3706,N,first,18,6,F,N
3707,Y,third,53,51,C,Y
3708,Y,second,52,49,C,Y
3709,Y,third,78,12,B,Y
3710,N,second,15,23,D,N
3711,N,second,61,79,A,N
3712,N,first,74,40,A,N
3713,Y,second,86,70,A,N
3714,Y,first,92,39,A,Y
3715,Y,third,81,44,A,Y
3716,Y,second,36,82,F,N
3717,Y,second,63,4,F,Y
3718,Y,first,24,28,B,Y
3719,Y,first,84,52,A,N
3720,Y,second,90,47,B,N
3721,Y,second,2,5,B,N
3722,Y,third,61,49,D,N
3723,Y,third,40,4,D,N
3724,Y,second,62,10,B,Y
3725,Y,third,52,24,A,N
3726,Y,second,14,43,B,Y
3727,N,second,19,26,F,N
3728,Y,second,68,86,C,N
3729,N,third,7,1,B,N
3730,Y,second,48,54,D,Y
3731,Y,first,70,17,A,N
3732,Y,third,84,11,D,N
3733,Y,first,56,72,D,Y
3734,N,third,10,21,D,N
3735,N,third,24,33,F,Y
3736,N,first,9,5,F,N
3737,Y,third,46,40,B,Y
3738,N,second,6,26,D,N
3739,N,second,71,61,A,N
3740,N,third,8,4,F,Y
3741,N,third,8,3,B,N
3742,Y,third,4,8,F,N
3743,Y,first,1,16,C,Y
3744,Y,second,92,71,A,Y
3745,N,first,76,44,B,N
3746,Y,first,44,52,D,N
3747,Y,second,85,46,A,Y
3748,N,second,93,80,A,N
3749,Y,third,79,60,F,N
3750,Y,first,50,15,A,Y
3751,N,second,78,71,C,N
3752,Y,third,12,15,F,N
3753,Y,second,2,15,F,N
3754,Y,first,34,24,A,N
3755,N,third,30,64,C,Y
3756,Y,second,6,25,D,Y
3757,N,third,1,11,D,N
3758,N,third,18,57,F,N
3759,Y,third,55,56,A,N
3760,Y,third,58,46,C,Y
3761,Y,second,5,27,F,N
3762,Y,third,17,51,B,N
3763,Y,third,52,52,A,N
3764,Y,second,22,12,D,Y
3765,Y,first,6,14,F,Y
3766,Y,third,69,35,C,Y
3767,Y,second,70,72,A,N
3768,Y,first,13,2,D,Y
3769,Y,third,45,72,A,N
3770,N,third,95,68,A,Y
3771,N,third,4,3,D,N
3772,Y,second,79,50,B,N
3773,Y,first,17,14,D,Y
3774,N,third,34,76,A,Y
3775,N,first,69,50,A,N
3776,Y,first,70,43,F,N
3777,Y,third,10,37,F,N
3778,N,third,2,11,F,N
3779,Y,second,77,22,C,Y
3780,Y,second,17,11,D,N
3781,Y,first,9,22,A,N
3782,N,second,63,48,A,N
3783,N,third,60,61,A,Y
3784,N,second,6,14,D,N
3785,Y,first,31,44,D,Y
3786,Y,second,7,70,D,N
3787,Y,second,68,84,F,N
3788,Y,second,27,16,B,Y
3789,Y,second,71,49,F,N
3790,Y,second,95,67,C,N
3791,N,second,16,37,F,Y
3792,Y,second,38,84,A,N
3793,Y,third,36,51,A,N
3794,Y,third,97,81,C,Y
3795,N,third,65,29,A,Y
3796,N,second,17,29,F,Y
3797,Y,first,14,13,D,Y
3798,N,third,6,13,F,N
