,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,dropout,passed_checkpoint_1,passed_checkpoint_2,passed_checkpoint_3
902,N,third,5,2,F,10.0,32.0,D,45.0,A,25.0,A,A,C,1,2,2,N,True,True,True
903,N,first,1,23,D,33.0,38.0,D,61.0,C,78.0,C,A,D,26,4,7,N,True,True,True
904,N,second,3,4,D,39.0,33.0,D,72.0,C,38.0,A,B,B,28,5,5,N,True,True,True
905,Y,third,92,17,D,35.0,85.0,B,16.0,B,70.0,B,C,A,13,6,4,N,True,True,True
906,Y,first,16,16,F,20.0,33.0,D,92.0,C,96.0,C,C,C,11,13,5,N,True,True,True
907,Y,third,80,66,C,18.0,7.0,F,89.0,D,,,,,11,2,0,Y,True,True,False
908,Y,third,23,47,D,,,,,,,,,,2,1,1,Y,False,False,False
909,Y,first,59,32,C,61.0,11.0,F,,,,,,,1,1,0,Y,True,False,False
910,Y,second,7,43,F,66.0,3.0,C,33.0,D,,,,,4,2,0,Y,True,True,False
911,Y,second,96,56,F,2.0,20.0,C,68.0,B,76.0,D,A,C,9,20,3,N,True,True,True
912,N,third,31,93,C,1.0,94.0,A,99.0,D,43.0,B,D,F,0,1,9,N,True,True,True
913,Y,first,29,5,C,33.0,41.0,B,12.0,F,,,,,4,1,1,Y,True,True,False
914,Y,first,33,37,D,31.0,30.0,F,,,,,,,4,1,0,Y,True,False,False
915,Y,second,77,70,C,82.0,53.0,B,11.0,D,19.0,B,D,B,18,18,4,N,True,True,True
916,Y,first,69,69,D,66.0,76.0,A,19.0,F,91.0,A,A,A,6,8,2,N,True,True,True
917,N,third,80,71,A,55.0,66.0,D,68.0,F,90.0,F,B,C,16,8,2,N,True,True,True
918,N,third,63,59,C,2.0,88.0,F,45.0,D,84.0,A,B,B,10,5,2,N,True,True,True
919,Y,first,76,71,B,35.0,3.0,D,77.0,C,20.0,D,F,D,9,5,3,Y,True,True,True
920,N,third,91,84,D,78.0,25.0,D,22.0,C,37.0,C,A,D,3,5,4,N,True,True,True
921,Y,third,26,26,F,,,,,,,,,,2,0,0,Y,False,False,False
922,N,first,12,22,D,4.0,85.0,B,17.0,D,88.0,F,A,A,5,13,1,N,True,True,True
923,Y,third,65,15,A,29.0,55.0,C,34.0,B,41.0,A,D,F,12,3,0,Y,True,True,True
924,Y,first,68,25,A,29.0,34.0,C,6.0,D,40.0,F,A,D,3,9,4,N,True,True,True
925,N,third,5,15,A,2.0,53.0,C,26.0,D,23.0,B,C,D,0,1,1,N,True,True,True
926,N,first,55,57,F,47.0,86.0,C,77.0,A,9.0,D,B,D,14,20,4,N,True,True,True
927,Y,first,8,1,F,,,,,,,,,,2,1,0,Y,False,False,False
928,N,second,69,59,A,79.0,76.0,A,0.0,B,88.0,A,A,A,4,10,4,N,True,True,True
929,Y,third,21,53,A,62.0,44.0,A,6.0,C,81.0,F,F,A,12,8,5,N,True,True,True
930,Y,third,59,38,C,65.0,1.0,D,,,,,,,0,0,1,Y,True,False,False
931,Y,third,55,47,D,37.0,13.0,F,,,,,,,0,0,0,Y,True,False,False
932,Y,second,6,14,B,11.0,24.0,D,49.0,F,28.0,B,C,A,3,3,2,N,True,True,True
933,N,third,9,16,B,3.0,35.0,C,42.0,B,24.0,D,D,A,0,3,1,N,True,True,True
934,Y,third,76,34,B,57.0,52.0,A,73.0,A,45.0,B,A,D,4,3,4,N,True,True,True
935,Y,third,39,63,F,49.0,10.0,B,51.0,F,,,,,3,0,0,Y,True,True,False
936,Y,third,69,50,C,65.0,59.0,A,39.0,D,99.0,A,D,A,16,8,5,N,True,True,True
937,Y,third,97,34,A,54.0,32.0,A,25.0,C,85.0,A,F,A,7,4,3,N,True,True,True
938,N,third,9,14,A,12.0,41.0,C,28.0,D,29.0,A,A,B,4,2,2,N,True,True,True
939,Y,third,6,1,A,5.0,43.0,C,46.0,A,22.0,A,F,D,0,1,2,N,True,True,True
940,N,first,65,69,C,43.0,57.0,B,50.0,D,66.0,F,A,D,5,16,8,N,True,True,True
941,N,third,2,11,A,13.0,57.0,B,35.0,D,22.0,A,C,C,4,2,2,N,True,True,True
942,N,third,21,39,F,,,,,,,,,,3,0,0,Y,False,False,False
943,Y,first,7,61,A,99.0,40.0,A,92.0,F,13.0,B,F,F,2,4,3,Y,True,True,True
944,N,second,89,72,B,86.0,64.0,D,39.0,F,31.0,F,D,A,12,4,2,N,True,True,True
945,Y,first,20,50,D,41.0,42.0,D,,,,,,,4,0,1,Y,True,False,False
946,N,third,27,51,C,61.0,58.0,F,,,,,,,4,3,2,Y,True,False,False
947,N,first,6,6,F,44.0,47.0,D,83.0,F,93.0,A,F,B,3,3,4,N,True,True,True
948,Y,second,3,10,F,37.0,52.0,D,79.0,C,59.0,A,B,D,23,11,6,N,True,True,True
949,Y,third,12,74,D,73.0,62.0,D,1.0,B,59.0,C,F,B,15,9,3,N,True,True,True
950,Y,second,31,48,A,97.0,76.0,B,63.0,C,73.0,D,F,F,7,1,1,Y,True,True,True
951,Y,third,28,32,A,17.0,65.0,C,54.0,D,14.0,C,D,D,4,5,0,Y,True,True,True
952,Y,third,21,45,D,38.0,58.0,F,,,,,,,4,1,0,Y,True,False,False
953,Y,first,58,64,A,29.0,42.0,B,82.0,D,,,,,4,2,0,Y,True,True,False
954,Y,third,18,64,B,51.0,34.0,B,77.0,A,84.0,F,C,F,7,5,5,N,True,True,True
955,N,third,6,13,A,7.0,56.0,D,46.0,A,23.0,A,D,D,2,2,2,N,True,True,True
956,Y,second,26,36,B,2.0,37.0,F,,,,,,,3,0,1,Y,True,False,False
957,N,third,9,97,B,46.0,67.0,A,82.0,C,,,,,9,2,0,Y,True,True,False
958,Y,first,71,2,D,36.0,36.0,F,31.0,B,12.0,F,D,D,0,1,1,Y,True,True,True
959,Y,first,69,77,D,66.0,33.0,C,41.0,A,13.0,D,C,F,15,3,1,N,True,True,True
960,N,third,2,15,A,1.0,45.0,B,36.0,A,24.0,D,A,A,1,2,1,N,True,True,True
961,Y,third,38,58,F,72.0,79.0,F,45.0,F,98.0,D,F,D,8,5,3,N,True,True,True
962,N,second,92,92,D,62.0,40.0,D,,,,,,,2,3,0,Y,True,False,False
963,Y,second,56,85,A,43.0,29.0,D,81.0,D,64.0,C,A,D,13,5,3,Y,True,True,True
964,N,third,8,13,A,7.0,28.0,A,46.0,D,21.0,A,F,C,1,2,1,N,True,True,True
965,N,second,8,3,F,38.0,50.0,D,89.0,C,93.0,C,B,D,29,11,6,N,True,True,True
966,Y,second,4,4,F,13.0,54.0,A,24.0,A,24.0,B,C,C,4,2,2,N,True,True,True
967,Y,second,17,11,C,,,,,,,,,,4,2,0,Y,False,False,False
968,N,second,10,16,D,37.0,54.0,C,49.0,A,62.0,A,B,B,5,9,7,N,True,True,True
969,Y,third,61,68,B,80.0,35.0,A,85.0,B,74.0,C,C,F,11,7,3,N,True,True,True
970,N,third,1,16,A,9.0,18.0,D,47.0,D,26.0,D,A,D,4,1,2,N,True,True,True
971,Y,third,24,69,A,96.0,49.0,A,96.0,B,84.0,F,A,B,13,9,5,N,True,True,True
972,N,second,2,1,A,5.0,36.0,A,25.0,B,21.0,C,D,C,1,3,2,N,True,True,True
973,Y,first,62,61,C,47.0,39.0,A,14.0,B,83.0,B,B,F,14,11,1,N,True,True,True
974,Y,third,50,79,B,52.0,48.0,C,34.0,C,55.0,C,D,B,14,7,5,N,True,True,True
975,N,second,2,4,B,3.0,51.0,B,30.0,B,29.0,F,B,D,2,1,1,N,True,True,True
976,Y,third,35,58,D,66.0,36.0,D,55.0,C,54.0,B,A,A,0,23,4,N,True,True,True
977,Y,second,4,12,F,9.0,48.0,F,44.0,D,27.0,A,C,C,0,3,1,N,True,True,True
978,Y,first,14,14,F,,,,,,,,,,0,1,1,Y,False,False,False
979,Y,third,32,51,D,80.0,28.0,C,46.0,A,78.0,C,F,B,7,6,4,N,True,True,True
980,N,second,9,16,A,9.0,27.0,D,48.0,F,28.0,B,A,D,1,1,1,N,True,True,True
981,Y,first,15,66,A,82.0,62.0,F,5.0,C,6.0,F,A,D,0,3,0,Y,True,True,True
982,Y,first,2,6,F,,,,,,,,,,0,0,1,Y,False,False,False
983,N,third,3,3,A,8.0,38.0,B,31.0,D,29.0,A,A,C,1,1,2,N,True,True,True
984,Y,third,6,2,F,9.0,20.0,B,31.0,A,24.0,C,A,C,1,1,1,N,True,True,True
985,Y,third,18,14,B,,,,,,,,,,0,0,0,Y,False,False,False
986,N,second,49,79,A,62.0,13.0,F,86.0,F,,,,,2,2,3,Y,True,True,False
987,N,third,47,97,D,29.0,20.0,A,93.0,D,37.0,F,F,F,16,24,1,N,True,True,True
988,Y,third,7,5,A,3.0,8.0,B,25.0,D,29.0,B,F,A,0,2,1,N,True,True,True
989,Y,second,57,55,D,57.0,12.0,D,,,,,,,1,1,1,Y,True,False,False
990,Y,third,43,38,A,59.0,20.0,A,44.0,F,52.0,C,A,A,9,5,1,N,True,True,True
991,N,first,38,47,D,25.0,13.0,D,65.0,F,26.0,F,C,D,8,15,6,N,True,True,True
992,Y,third,33,39,C,29.0,20.0,D,4.0,D,50.0,D,A,D,0,0,0,Y,True,True,True
993,Y,third,65,60,F,87.0,83.0,D,77.0,D,62.0,C,B,B,10,5,3,N,True,True,True
994,Y,second,96,34,A,65.0,35.0,F,75.0,B,43.0,A,A,A,5,6,4,N,True,True,True
995,Y,first,1,12,D,,,,,,,,,,3,0,0,Y,False,False,False
996,N,third,4,9,A,4.0,15.0,D,37.0,A,22.0,A,A,B,4,3,1,N,True,True,True
997,Y,third,62,76,F,80.0,74.0,A,22.0,F,60.0,C,D,F,10,7,4,N,True,True,True
998,N,third,8,13,A,4.0,21.0,D,26.0,B,27.0,D,B,A,2,1,2,N,True,True,True
999,N,third,3,13,A,10.0,35.0,D,26.0,B,24.0,A,A,C,2,3,2,N,True,True,True
1000,Y,third,57,55,F,62.0,72.0,D,37.0,F,52.0,C,F,F,11,6,4,N,True,True,True
1001,Y,second,2,6,A,13.0,49.0,A,28.0,A,21.0,B,A,C,4,3,1,N,True,True,True
1002,N,first,10,13,A,16.0,58.0,D,79.0,F,47.0,D,A,D,17,21,4,N,True,True,True
1003,N,third,54,66,C,58.0,56.0,D,,,,,,,4,1,2,Y,True,False,False
1004,Y,first,22,22,C,,,,,,,,,,1,0,1,Y,False,False,False
1005,N,second,3,20,D,26.0,44.0,D,83.0,C,57.0,A,F,C,3,11,8,N,True,True,True
1006,Y,third,37,65,A,81.0,69.0,A,92.0,D,55.0,A,F,A,8,6,2,N,True,True,True
1007,Y,third,14,18,F,,,,,,,,,,0,1,0,Y,False,False,False
1008,Y,second,9,19,F,33.0,48.0,D,58.0,A,69.0,A,D,B,10,3,4,N,True,True,True
1009,N,third,2,10,A,6.0,34.0,D,39.0,A,21.0,D,C,C,3,1,2,N,True,True,True
1010,N,second,70,53,A,66.0,64.0,C,47.0,A,38.0,B,F,A,3,8,5,N,True,True,True
1011,N,third,4,5,A,5.0,37.0,F,27.0,A,28.0,B,D,A,1,3,1,N,True,True,True
1012,Y,second,19,15,D,40.0,36.0,C,47.0,B,34.0,A,C,C,15,9,5,N,True,True,True
1013,Y,third,35,11,A,21.0,36.0,D,67.0,D,31.0,B,D,D,3,0,0,Y,True,True,True
1014,Y,third,63,60,A,69.0,60.0,C,2.0,C,94.0,A,F,B,14,6,3,N,True,True,True
1015,N,third,1,14,F,5.0,15.0,A,26.0,B,22.0,A,C,C,1,3,2,N,True,True,True
1016,Y,second,3,64,C,72.0,71.0,F,6.0,D,50.0,D,D,C,15,21,4,N,True,True,True
1017,Y,third,2,24,F,75.0,32.0,C,20.0,D,,,,,0,0,1,Y,True,True,False
1018,Y,first,9,10,A,49.0,80.0,A,71.0,D,,,,,2,1,0,Y,True,True,False
1019,Y,third,66,63,F,96.0,54.0,A,10.0,A,63.0,B,F,A,6,7,5,N,True,True,True
1020,Y,second,93,92,D,89.0,98.0,A,15.0,B,92.0,A,B,B,7,5,5,N,True,True,True
1021,Y,second,21,50,C,50.0,47.0,C,67.0,D,37.0,D,B,A,5,1,9,N,True,True,True
1022,N,second,5,22,F,59.0,44.0,D,80.0,B,46.0,A,B,B,26,9,8,N,True,True,True
1023,Y,third,56,63,A,37.0,45.0,D,21.0,F,,,,,0,1,0,Y,True,True,False
1024,Y,first,30,78,F,71.0,35.0,A,24.0,D,,,,,4,3,0,Y,True,True,False
1025,Y,second,2,13,A,10.0,52.0,F,43.0,A,22.0,F,A,C,3,1,1,N,True,True,True
1026,Y,first,30,63,B,4.0,7.0,C,50.0,F,88.0,A,D,A,16,9,8,N,True,True,True
1027,N,first,37,27,D,25.0,76.0,F,23.0,B,56.0,A,A,F,10,2,4,N,True,True,True
1028,N,second,10,15,B,,,,,,,,,,4,0,1,Y,False,False,False
1029,N,first,75,39,D,75.0,56.0,A,43.0,B,30.0,C,B,F,10,7,5,N,True,True,True
1030,Y,second,26,49,C,14.0,70.0,A,51.0,F,22.0,B,C,C,0,9,4,N,True,True,True
1031,Y,second,46,79,D,5.0,32.0,B,81.0,F,,,,,9,2,1,Y,True,True,False
1032,Y,first,11,5,F,,,,,,,,,,0,0,1,Y,False,False,False
1033,Y,second,4,7,F,,,,,,,,,,2,1,1,Y,False,False,False
1034,Y,second,18,17,F,53.0,35.0,D,77.0,D,48.0,A,B,B,19,3,7,N,True,True,True
1035,Y,third,21,76,C,86.0,25.0,A,51.0,F,96.0,A,C,A,15,9,4,N,True,True,True
1036,N,second,7,12,A,7.0,35.0,D,29.0,A,23.0,A,C,C,0,2,1,N,True,True,True
1037,Y,second,62,54,A,5.0,16.0,C,56.0,D,,,,,2,2,0,Y,True,True,False
1038,Y,first,8,39,B,25.0,34.0,C,42.0,C,,,,,11,1,1,Y,True,True,False
1039,N,first,70,36,A,18.0,5.0,D,92.0,A,92.0,C,B,B,8,1,7,N,True,True,True
1040,Y,first,79,21,C,62.0,69.0,D,38.0,D,,,,,6,2,1,Y,True,True,False
1041,Y,third,46,59,A,68.0,34.0,A,21.0,B,60.0,A,F,B,13,8,3,N,True,True,True
1042,Y,second,82,66,F,75.0,77.0,D,44.0,D,35.0,B,A,B,4,2,4,N,True,True,True
1043,N,first,2,23,F,46.0,43.0,C,85.0,F,29.0,C,B,B,3,13,7,N,True,True,True
1044,Y,third,71,66,D,8.0,3.0,B,65.0,F,59.0,A,F,F,11,20,8,N,True,True,True
1045,N,second,30,36,D,95.0,79.0,C,56.0,C,,,,,11,4,1,Y,True,True,False
1046,N,third,65,63,D,83.0,64.0,D,10.0,F,42.0,F,D,C,5,3,1,N,True,True,True
1047,Y,second,18,1,D,28.0,52.0,B,92.0,C,35.0,F,F,B,22,15,7,N,True,True,True
1048,N,second,9,6,F,6.0,19.0,B,33.0,A,26.0,C,C,C,2,3,2,N,True,True,True
1049,N,third,23,80,F,19.0,71.0,F,59.0,C,74.0,D,C,F,13,6,1,N,True,True,True
1050,Y,third,7,58,F,78.0,57.0,C,88.0,C,87.0,C,A,C,17,4,4,N,True,True,True
1051,Y,first,6,27,F,28.0,48.0,D,51.0,B,95.0,C,B,B,4,18,4,N,True,True,True
1052,Y,first,89,68,A,81.0,34.0,A,53.0,C,44.0,B,F,A,11,6,1,N,True,True,True
1053,Y,second,53,41,B,35.0,10.0,F,,,,,,,1,2,0,Y,True,False,False
1054,Y,second,14,7,F,41.0,46.0,D,76.0,C,44.0,A,B,D,28,15,6,N,True,True,True
1055,N,second,6,5,B,9.0,11.0,D,38.0,A,29.0,D,A,A,0,2,1,N,True,True,True
1056,Y,first,50,45,C,51.0,1.0,F,,,,,,,0,0,0,Y,True,False,False
1057,Y,third,60,58,F,80.0,75.0,A,71.0,D,63.0,F,C,A,12,9,2,N,True,True,True
1058,Y,second,18,40,D,,,,,,,,,,1,1,0,Y,False,False,False
1059,N,third,71,44,A,57.0,95.0,F,50.0,B,63.0,F,A,B,8,8,4,N,True,True,True
1060,N,second,3,16,F,55.0,37.0,B,51.0,C,27.0,B,B,A,28,16,8,N,True,True,True
1061,N,first,17,17,D,50.0,30.0,D,51.0,B,45.0,A,C,B,3,6,4,N,True,True,True
1062,Y,first,36,18,B,74.0,44.0,C,68.0,B,15.0,D,A,D,4,4,2,Y,True,True,True
1063,Y,third,23,7,B,,,,,,,,,,2,1,0,Y,False,False,False
1064,Y,first,63,27,D,75.0,36.0,D,72.0,C,65.0,A,A,B,4,4,1,N,True,True,True
1065,Y,first,44,58,D,31.0,19.0,D,,,,,,,0,0,1,Y,True,False,False
1066,Y,second,93,73,D,68.0,64.0,C,27.0,F,64.0,B,D,C,12,5,5,N,True,True,True
1067,Y,first,59,31,A,82.0,79.0,A,6.0,D,5.0,F,D,F,4,6,1,Y,True,True,True
1068,Y,third,40,23,A,85.0,55.0,B,37.0,F,50.0,C,A,B,10,7,1,N,True,True,True
1069,Y,third,16,19,D,52.0,43.0,B,75.0,B,60.0,F,B,C,15,3,8,N,True,True,True
1070,N,first,5,18,F,48.0,45.0,D,87.0,C,51.0,B,B,B,29,17,6,N,True,True,True
1071,Y,third,42,50,A,66.0,49.0,A,83.0,A,55.0,D,A,B,7,6,4,N,True,True,True
1072,N,second,78,67,A,65.0,11.0,C,64.0,D,45.0,F,A,F,11,7,3,N,True,True,True
1073,Y,first,12,73,F,56.0,79.0,A,83.0,F,84.0,C,A,A,5,8,4,N,True,True,True
1074,Y,third,90,43,C,76.0,4.0,D,53.0,A,83.0,A,B,A,3,9,3,N,True,True,True
1075,Y,second,16,1,F,29.0,46.0,D,70.0,C,58.0,A,D,C,23,3,4,N,True,True,True
1076,Y,third,81,65,B,22.0,50.0,A,17.0,D,32.0,D,F,F,3,0,1,Y,True,True,True
1077,N,third,77,66,F,61.0,38.0,D,36.0,B,52.0,A,C,C,19,8,9,N,True,True,True
1078,Y,third,1,2,A,13.0,9.0,D,24.0,B,23.0,D,A,C,3,2,2,N,True,True,True
1079,N,third,5,12,A,9.0,51.0,D,38.0,B,24.0,C,A,C,1,1,2,N,True,True,True
1080,Y,first,44,53,B,64.0,59.0,C,91.0,A,55.0,A,F,A,5,8,4,N,True,True,True
1081,N,third,2,11,A,12.0,46.0,B,26.0,B,26.0,A,F,C,1,1,2,N,True,True,True
1082,Y,first,6,19,B,,,,,,,,,,0,0,1,Y,False,False,False
1083,N,second,84,88,A,59.0,70.0,D,43.0,D,91.0,A,A,D,10,4,1,N,True,True,True
1084,N,second,94,62,B,66.0,85.0,A,17.0,C,62.0,F,F,D,15,7,1,N,True,True,True
1085,Y,second,7,11,D,,,,,,,,,,2,1,0,Y,False,False,False
1086,Y,first,72,9,A,68.0,80.0,A,95.0,B,55.0,B,D,F,0,5,6,N,True,True,True
1087,Y,first,25,15,A,33.0,78.0,A,78.0,D,,,,,2,1,0,Y,True,True,False
1088,Y,third,4,14,A,17.0,49.0,C,12.0,C,32.0,D,B,D,14,22,7,N,True,True,True
1089,Y,second,65,51,C,85.0,44.0,A,36.0,F,78.0,B,F,B,10,5,4,N,True,True,True
1090,Y,third,51,35,D,44.0,1.0,D,,,,,,,0,2,1,Y,True,False,False
1091,Y,first,63,35,B,82.0,42.0,A,42.0,A,75.0,A,A,B,10,7,3,N,True,True,True
1092,N,third,30,54,A,5.0,42.0,C,63.0,F,,,,,6,3,2,Y,True,True,False
1093,Y,second,77,63,C,4.0,45.0,B,29.0,C,,,,,1,0,1,Y,True,True,False
1094,N,third,3,3,A,1.0,47.0,F,41.0,A,25.0,A,B,D,0,2,1,N,True,True,True
1095,N,third,55,65,C,15.0,63.0,C,65.0,C,,,,,10,4,3,Y,True,True,False
1096,N,second,60,69,B,72.0,15.0,F,15.0,B,82.0,A,A,C,10,5,3,N,True,True,True
1097,N,first,11,3,F,23.0,49.0,D,47.0,B,60.0,A,B,C,17,18,4,N,True,True,True
1098,Y,third,62,60,F,52.0,76.0,B,41.0,F,53.0,C,D,F,13,8,4,N,True,True,True
1099,N,third,23,49,F,84.0,37.0,F,84.0,C,,,,,7,3,1,Y,True,True,False
1100,Y,second,80,48,A,81.0,34.0,C,44.0,F,17.0,A,A,D,5,2,4,N,True,True,True
1101,Y,second,38,45,B,58.0,30.0,A,26.0,F,3.0,A,F,C,4,17,5,N,True,True,True
1102,N,third,5,15,F,5.0,49.0,C,49.0,D,26.0,B,F,C,1,2,2,N,True,True,True
1103,Y,third,57,40,C,51.0,24.0,F,,,,,,,0,0,1,Y,True,False,False
1104,Y,third,21,39,F,43.0,9.0,D,,,,,,,4,1,1,Y,True,False,False
1105,N,second,78,35,C,20.0,98.0,D,17.0,C,43.0,C,C,A,1,14,2,N,True,True,True
1106,N,second,75,76,D,69.0,68.0,A,49.0,B,80.0,A,D,C,3,8,1,N,True,True,True
1107,N,third,72,81,A,61.0,53.0,F,,,,,,,5,1,1,Y,True,False,False
1108,Y,third,72,68,D,44.0,5.0,D,44.0,B,79.0,A,B,D,8,6,1,N,True,True,True
1109,Y,second,57,21,F,83.0,57.0,B,78.0,A,68.0,D,F,A,10,5,2,N,True,True,True
1110,Y,first,51,22,B,27.0,10.0,F,,,,,,,0,1,0,Y,True,False,False
1111,N,second,9,12,D,41.0,49.0,C,69.0,D,73.0,F,B,B,4,5,6,N,True,True,True
1112,N,third,5,2,A,10.0,36.0,B,28.0,D,21.0,A,C,C,0,2,2,N,True,True,True
1113,N,third,45,39,A,85.0,82.0,D,11.0,A,47.0,D,D,A,4,9,6,N,True,True,True
1114,N,third,48,52,B,66.0,1.0,D,,,,,,,3,3,1,Y,True,False,False
1115,N,third,84,75,D,42.0,46.0,A,21.0,F,86.0,A,B,D,6,10,3,N,True,True,True
1116,N,third,72,48,C,61.0,51.0,F,36.0,C,79.0,B,F,C,9,11,4,N,True,True,True
1117,Y,third,10,21,D,,,,,,,,,,1,2,1,Y,False,False,False
1118,N,second,70,92,D,86.0,20.0,F,62.0,F,,,,,4,2,0,Y,True,True,False
1119,Y,first,7,8,F,,,,,,,,,,0,1,0,Y,False,False,False
1120,Y,first,90,32,D,54.0,97.0,F,74.0,B,86.0,B,B,A,14,12,6,N,True,True,True
1121,Y,third,79,75,A,89.0,78.0,A,36.0,D,50.0,C,C,A,5,8,2,N,True,True,True
1122,Y,first,59,70,F,90.0,66.0,A,93.0,F,63.0,C,F,D,9,6,3,N,True,True,True
1123,Y,second,39,93,C,71.0,96.0,F,32.0,B,89.0,D,F,A,19,23,1,N,True,True,True
1124,N,first,44,42,D,53.0,60.0,D,40.0,A,52.0,A,A,A,5,8,4,N,True,True,True
1125,Y,first,8,22,D,49.0,40.0,B,84.0,C,90.0,A,B,A,25,6,5,N,True,True,True
1126,N,third,64,61,C,55.0,38.0,F,,,,,,,0,1,1,Y,True,False,False
1127,Y,second,14,2,F,,,,,,,,,,2,1,0,Y,False,False,False
1128,N,third,71,74,A,89.0,30.0,F,,,,,,,5,3,2,Y,True,False,False
1129,Y,third,17,13,B,74.0,94.0,B,90.0,B,86.0,D,A,F,4,13,7,N,True,True,True
1130,Y,second,23,44,F,,,,,,,,,,0,2,0,Y,False,False,False
1131,N,third,73,68,F,34.0,26.0,F,,,,,,,3,2,0,Y,True,False,False
1132,Y,first,9,5,F,,,,,,,,,,3,0,1,Y,False,False,False
1133,Y,first,19,15,D,,,,,,,,,,1,1,1,Y,False,False,False
1134,Y,first,86,18,D,6.0,33.0,A,43.0,A,21.0,C,A,C,3,16,2,N,True,True,True
1135,Y,first,29,52,D,18.0,0.0,D,,,,,,,2,0,0,Y,True,False,False
1136,Y,first,6,5,D,,,,,,,,,,2,1,0,Y,False,False,False
1137,Y,third,46,63,A,77.0,28.0,A,67.0,C,96.0,D,F,D,10,7,2,N,True,True,True
1138,Y,first,16,40,D,,,,,,,,,,0,1,0,Y,False,False,False
1139,Y,third,74,68,A,59.0,83.0,D,26.0,F,86.0,A,A,D,8,10,5,N,True,True,True
1140,Y,third,93,34,B,52.0,27.0,A,30.0,C,36.0,D,B,D,10,8,3,N,True,True,True
1141,N,second,91,81,C,45.0,27.0,C,67.0,C,28.0,F,F,C,13,9,4,N,True,True,True
1142,Y,first,0,14,F,,,,,,,,,,0,1,1,Y,False,False,False
1143,Y,third,72,73,A,50.0,3.0,A,38.0,F,21.0,A,F,D,4,9,2,N,True,True,True
1144,N,first,80,60,D,16.0,73.0,B,97.0,D,17.0,F,F,A,0,13,1,N,True,True,True
1145,Y,first,29,39,D,43.0,40.0,C,,,,,,,1,1,1,Y,True,False,False
1146,Y,second,80,67,B,49.0,92.0,F,38.0,A,79.0,F,A,D,16,7,2,N,True,True,True
1147,Y,first,35,32,B,63.0,92.0,F,53.0,D,29.0,D,D,F,16,7,5,N,True,True,True
1148,N,second,7,1,A,2.0,23.0,B,42.0,B,23.0,C,F,A,3,3,1,N,True,True,True
1149,Y,third,24,75,D,58.0,52.0,A,36.0,B,98.0,C,D,A,16,7,3,N,True,True,True
1150,Y,third,49,55,B,91.0,61.0,B,12.0,F,57.0,B,D,B,12,8,4,N,True,True,True
1151,Y,third,87,78,C,73.0,28.0,A,,,,,,,3,2,1,Y,True,False,False
1152,N,second,19,96,A,90.0,64.0,A,81.0,C,,,,,8,3,3,Y,True,True,False
1153,Y,first,10,1,D,,,,,,,,,,1,0,1,Y,False,False,False
1154,Y,first,16,56,C,,,,,,,,,,3,0,1,Y,False,False,False
1155,Y,first,17,33,B,49.0,23.0,F,57.0,D,,,,,5,1,1,Y,True,True,False
1156,N,third,4,12,B,2.0,33.0,B,34.0,A,22.0,A,C,C,3,1,2,N,True,True,True
1157,Y,first,11,12,B,,,,,,,,,,3,1,1,Y,False,False,False
1158,Y,third,75,71,C,74.0,40.0,B,37.0,F,,,,,2,0,0,Y,True,True,False
1159,N,first,8,18,F,44.0,36.0,D,49.0,B,63.0,C,D,D,10,9,8,N,True,True,True
1160,Y,second,99,46,A,67.0,94.0,D,38.0,B,39.0,F,C,F,9,6,3,N,True,True,True
1161,Y,second,51,52,D,29.0,19.0,F,,,,,,,1,1,0,Y,True,False,False
1162,N,first,14,16,D,30.0,30.0,D,46.0,B,98.0,F,F,B,24,6,8,N,True,True,True
1163,N,second,8,22,D,32.0,36.0,C,70.0,C,33.0,A,D,B,19,3,4,N,True,True,True
1164,Y,third,9,11,A,3.0,51.0,F,49.0,B,26.0,A,A,C,4,3,2,N,True,True,True
1165,Y,third,15,27,F,,,,,,,,,,3,0,1,Y,False,False,False
1166,Y,first,35,60,F,61.0,77.0,D,80.0,A,97.0,D,F,D,8,8,5,N,True,True,True
1167,Y,third,37,54,C,58.0,27.0,D,42.0,B,28.0,F,D,F,12,2,0,Y,True,True,True
1168,Y,third,95,36,C,53.0,90.0,B,63.0,A,39.0,D,F,D,8,7,1,Y,True,True,True
1169,N,first,8,11,F,38.0,49.0,D,86.0,B,50.0,D,A,D,15,4,4,N,True,True,True
1170,N,third,4,6,A,3.0,25.0,F,47.0,B,25.0,A,A,C,3,2,2,N,True,True,True
1171,Y,second,82,41,A,80.0,34.0,B,34.0,F,80.0,A,B,A,11,5,4,N,True,True,True
1172,Y,third,7,53,C,26.0,31.0,D,8.0,D,82.0,B,F,A,15,12,9,N,True,True,True
1173,N,second,1,4,F,59.0,41.0,D,92.0,D,23.0,D,B,A,27,14,6,N,True,True,True
1174,Y,second,58,17,F,65.0,70.0,F,68.0,F,24.0,C,D,F,1,3,1,Y,True,True,True
1175,Y,first,48,51,D,0.0,53.0,F,,,,,,,3,1,0,Y,True,False,False
1176,N,second,8,21,F,49.0,44.0,D,50.0,C,38.0,A,C,C,19,15,6,N,True,True,True
1177,Y,first,12,30,B,44.0,44.0,F,7.0,A,67.0,A,F,C,8,2,6,N,True,True,True
